reference,rr_mae_delta,rr_mae_ci_low,rr_mae_ci_high,event_f1_ci_low,event_f1_ci_high
R2,0.6127167630057804,0.14938283699059562,1.0941456582633053,-0.019991594721245134,0.010556086609026783
R3,0.0,-2.2857142857142856,1.7142857142857142,0.0022418430679277965,0.09372187336473055
