reference,method,window_id,cluster,truth_count,predicted_count,truth_rr,predicted_rr
R2,frozen,jiufu_aed96a8cd6dde3_first30,A1022198,11,9.0,22.0,18.0
R2,direct_roi_only,jiufu_aed96a8cd6dde3_first30,A1022198,11,9.0,22.0,18.0
R2,frozen,jiufu_d57a389e370ce5_first30,508,20,20.0,40.0,40.0
R2,direct_roi_only,jiufu_d57a389e370ce5_first30,508,20,21.0,40.0,42.0
R2,frozen,jiufu_b79d91910dc17a_first30,681,13,9.0,26.0,18.0
R2,direct_roi_only,jiufu_b79d91910dc17a_first30,681,13,10.0,26.0,20.0
R2,frozen,jiufu_8db6ed7f9c3ad8_first30,677,12,16.0,24.0,32.0
R2,direct_roi_only,jiufu_8db6ed7f9c3ad8_first30,677,12,16.0,24.0,32.0
R2,frozen,jiufu_75a484b3f5253b_first30,1425,7,10.0,14.0,20.0
R2,direct_roi_only,jiufu_75a484b3f5253b_first30,1425,7,10.0,14.0,20.0
R2,frozen,jiufu_35f0adf19ed368_first30,622,20,21.0,40.0,42.0
R2,direct_roi_only,jiufu_35f0adf19ed368_first30,622,20,20.0,40.0,40.0
R2,frozen,jiufu_21e342957e0fd7_first30,1420,24,22.0,48.0,44.0
R2,direct_roi_only,jiufu_21e342957e0fd7_first30,1420,24,22.0,48.0,44.0
R2,frozen,jiufu_c92bd308748a09_first30,A1021154,17,15.0,34.0,30.0
R2,direct_roi_only,jiufu_c92bd308748a09_first30,A1021154,17,15.0,34.0,30.0
R2,frozen,jiufu_551d99f2e9c264_first30,1241,15,12.0,30.0,24.0
R2,direct_roi_only,jiufu_551d99f2e9c264_first30,1241,15,11.0,30.0,22.0
R2,frozen,jiufu_c95ae69597cc50_first30,1279,13,10.0,26.0,20.0
R2,direct_roi_only,jiufu_c95ae69597cc50_first30,1279,13,11.0,26.0,22.0
R2,frozen,jiufu_94796ccea127be_first30,989,13,14.0,26.0,28.0
R2,direct_roi_only,jiufu_94796ccea127be_first30,989,13,12.0,26.0,24.0
R2,frozen,jiufu_3ac83315834f77_first30,713,7,7.0,14.0,14.0
R2,direct_roi_only,jiufu_3ac83315834f77_first30,713,7,7.0,14.0,14.0
R2,frozen,jiufu_c68c62cb67dede_first30,623,10,13.0,20.0,26.0
R2,direct_roi_only,jiufu_c68c62cb67dede_first30,623,10,12.0,20.0,24.0
R2,frozen,jiufu_3721f7cf5a844c_first30,653,6,6.0,12.0,12.0
R2,direct_roi_only,jiufu_3721f7cf5a844c_first30,653,6,5.0,12.0,10.0
R2,frozen,jiufu_65b745e540b8c7_first30,281,11,12.0,22.0,24.0
R2,direct_roi_only,jiufu_65b745e540b8c7_first30,281,11,12.0,22.0,24.0
R2,frozen,jiufu_2e919f7b4ce7d4_first30,353,18,0.0,36.0,0.0
R2,direct_roi_only,jiufu_2e919f7b4ce7d4_first30,353,18,1.0,36.0,2.0
R2,frozen,jiufu_f7266533e3399d_first30,558,17,17.0,34.0,34.0
R2,direct_roi_only,jiufu_f7266533e3399d_first30,558,17,17.0,34.0,34.0
R2,frozen,jiufu_bd77cfa7950eaa_first30,743,15,15.0,30.0,30.0
R2,direct_roi_only,jiufu_bd77cfa7950eaa_first30,743,15,16.0,30.0,32.0
R2,frozen,jiufu_90ed4ac916a295_first30,179,22,4.0,44.0,8.0
R2,direct_roi_only,jiufu_90ed4ac916a295_first30,179,22,5.0,44.0,10.0
R2,frozen,jiufu_cd5eea76388f30_first30,728,14,11.0,28.0,22.0
R2,direct_roi_only,jiufu_cd5eea76388f30_first30,728,14,7.0,28.0,14.0
R2,frozen,jiufu_6cbcb0311b3ebf_first30,956,14,17.0,28.0,34.0
R2,direct_roi_only,jiufu_6cbcb0311b3ebf_first30,956,14,16.0,28.0,32.0
R2,frozen,jiufu_6a641dd078f572_first30,753,20,17.0,40.0,34.0
R2,direct_roi_only,jiufu_6a641dd078f572_first30,753,20,16.0,40.0,32.0
R2,frozen,jiufu_edd9eebe6de991_first30,943,19,20.0,38.0,40.0
R2,direct_roi_only,jiufu_edd9eebe6de991_first30,943,19,18.0,38.0,36.0
R2,frozen,jiufu_58c38973aff558_first30,771,10,14.0,20.0,28.0
R2,direct_roi_only,jiufu_58c38973aff558_first30,771,10,12.0,20.0,24.0
R2,frozen,jiufu_665326590feedb_first30,447,16,8.0,32.0,16.0
R2,direct_roi_only,jiufu_665326590feedb_first30,447,16,4.0,32.0,8.0
R2,frozen,jiufu_124bf365605cd6_first30,1299,17,10.0,34.0,20.0
R2,direct_roi_only,jiufu_124bf365605cd6_first30,1299,17,10.0,34.0,20.0
R2,frozen,jiufu_cc565ea0bfa396_first30,1246,15,17.0,30.0,34.0
R2,direct_roi_only,jiufu_cc565ea0bfa396_first30,1246,15,12.0,30.0,24.0
R2,frozen,jiufu_0a14da4ad52431_first30,1134,18,17.0,36.0,34.0
R2,direct_roi_only,jiufu_0a14da4ad52431_first30,1134,18,16.0,36.0,32.0
R2,frozen,jiufu_abada3dda3e8b7_first30,846,18,16.0,36.0,32.0
R2,direct_roi_only,jiufu_abada3dda3e8b7_first30,846,18,14.0,36.0,28.0
R2,frozen,jiufu_0ef3b83bc00130_first30,1428,17,16.0,34.0,32.0
R2,direct_roi_only,jiufu_0ef3b83bc00130_first30,1428,17,17.0,34.0,34.0
R2,frozen,jiufu_a6ed80c55f7be6_first30,1436,3,6.0,6.0,12.0
R2,direct_roi_only,jiufu_a6ed80c55f7be6_first30,1436,3,6.0,6.0,12.0
R2,frozen,jiufu_6fa0bbd661c8bb_first30,1423,19,15.0,38.0,30.0
R2,direct_roi_only,jiufu_6fa0bbd661c8bb_first30,1423,19,15.0,38.0,30.0
R2,frozen,jiufu_9eb853207f9233_first30,640,13,14.0,26.0,28.0
R2,direct_roi_only,jiufu_9eb853207f9233_first30,640,13,11.0,26.0,22.0
R2,frozen,jiufu_494e84a71f0d53_first30,1268,4,5.0,8.0,10.0
R2,direct_roi_only,jiufu_494e84a71f0d53_first30,1268,4,2.0,8.0,4.0
R2,frozen,jiufu_8953d49083882b_first30,1150,24,25.0,48.0,50.0
R2,direct_roi_only,jiufu_8953d49083882b_first30,1150,24,24.0,48.0,48.0
R2,frozen,jiufu_577eb87b4ec0fa_first30,1442,14,16.0,28.0,32.0
R2,direct_roi_only,jiufu_577eb87b4ec0fa_first30,1442,14,7.0,28.0,14.0
R2,frozen,jiufu_ac7d209f2a6aec_first30,214,6,7.0,12.0,14.0
R2,direct_roi_only,jiufu_ac7d209f2a6aec_first30,214,6,6.0,12.0,12.0
R2,frozen,jiufu_45e262858c1edf_first30,1146,20,13.0,40.0,26.0
