reference,method,window_id,cluster,truth_count,predicted_count,truth_rr,predicted_rr
R2,direct_roi_only,jiufu_45e262858c1edf_first30,1146,20,14.0,40.0,28.0
R2,frozen,jiufu_59f7f9462f2c30_first30,165,19,17.0,38.0,34.0
R2,direct_roi_only,jiufu_59f7f9462f2c30_first30,165,19,18.0,38.0,36.0
R2,frozen,jiufu_6454a9e613172b_first30,A1022182,23,25.0,46.0,50.0
R2,direct_roi_only,jiufu_6454a9e613172b_first30,A1022182,23,22.0,46.0,44.0
R2,frozen,jiufu_80fa8dbe195b66_first30,353,22,18.0,44.0,36.0
R2,direct_roi_only,jiufu_80fa8dbe195b66_first30,353,22,17.0,44.0,34.0
R2,frozen,jiufu_012d9efb7d8d4c_first30,1213,19,10.0,38.0,20.0
R2,direct_roi_only,jiufu_012d9efb7d8d4c_first30,1213,19,9.0,38.0,18.0
R2,frozen,jiufu_5623dc263f1364_first30,872,12,14.0,24.0,28.0
R2,direct_roi_only,jiufu_5623dc263f1364_first30,872,12,16.0,24.0,32.0
R2,frozen,jiufu_8254fd394c755d_first30,1180,14,12.0,28.0,24.0
R2,direct_roi_only,jiufu_8254fd394c755d_first30,1180,14,9.0,28.0,18.0
R2,frozen,jiufu_33ff2c90bde0a7_first30,872,8,11.0,16.0,22.0
R2,direct_roi_only,jiufu_33ff2c90bde0a7_first30,872,8,7.0,16.0,14.0
R2,frozen,jiufu_c37db5cf8c7d4e_first30,1165,7,6.0,14.0,12.0
R2,direct_roi_only,jiufu_c37db5cf8c7d4e_first30,1165,7,5.0,14.0,10.0
R2,frozen,jiufu_8ac17622997976_first30,1408,10,10.0,20.0,20.0
R2,direct_roi_only,jiufu_8ac17622997976_first30,1408,10,11.0,20.0,22.0
R2,frozen,jiufu_ee2427b1f91c14_first30,1428,14,14.0,28.0,28.0
R2,direct_roi_only,jiufu_ee2427b1f91c14_first30,1428,14,13.0,28.0,26.0
R2,frozen,jiufu_d40d50640e24a1_first30,165,29,29.0,58.0,58.0
R2,direct_roi_only,jiufu_d40d50640e24a1_first30,165,29,29.0,58.0,58.0
R2,frozen,jiufu_e20abde4e3a043_first30,1422,21,18.0,42.0,36.0
R2,direct_roi_only,jiufu_e20abde4e3a043_first30,1422,21,17.0,42.0,34.0
R2,frozen,jiufu_fffa829b4cfc5f_first30,878,13,11.0,26.0,22.0
R2,direct_roi_only,jiufu_fffa829b4cfc5f_first30,878,13,11.0,26.0,22.0
R2,frozen,jiufu_39742bec07007b_first30,1146,20,10.0,40.0,20.0
R2,direct_roi_only,jiufu_39742bec07007b_first30,1146,20,10.0,40.0,20.0
R2,frozen,jiufu_a7f96cc7661e4a_first30,1371,16,14.0,32.0,28.0
R2,direct_roi_only,jiufu_a7f96cc7661e4a_first30,1371,16,12.0,32.0,24.0
R2,frozen,jiufu_f5a7ada186a785_first30,281,13,18.0,26.0,36.0
R2,direct_roi_only,jiufu_f5a7ada186a785_first30,281,13,16.0,26.0,32.0
R2,frozen,jiufu_8f2aab0fc1ae4b_first30,347,26,30.0,52.0,60.0
R2,direct_roi_only,jiufu_8f2aab0fc1ae4b_first30,347,26,29.0,52.0,58.0
R2,frozen,jiufu_05aaedc28c6708_first30,161,9,11.0,18.0,22.0
R2,direct_roi_only,jiufu_05aaedc28c6708_first30,161,9,7.0,18.0,14.0
R2,frozen,jiufu_0d1522aef374ec_first30,A1022205,14,14.0,28.0,28.0
R2,direct_roi_only,jiufu_0d1522aef374ec_first30,A1022205,14,15.0,28.0,30.0
R2,frozen,jiufu_2cdb051142d5ab_first30,670,14,14.0,28.0,28.0
R2,direct_roi_only,jiufu_2cdb051142d5ab_first30,670,14,13.0,28.0,26.0
R2,frozen,jiufu_d4707a9c23271d_first30,670,14,14.0,28.0,28.0
R2,direct_roi_only,jiufu_d4707a9c23271d_first30,670,14,13.0,28.0,26.0
R2,frozen,jiufu_2f0c90ece853b4_first30,710,17,17.0,34.0,34.0
R2,direct_roi_only,jiufu_2f0c90ece853b4_first30,710,17,17.0,34.0,34.0
R2,frozen,jiufu_57c74728570ec9_first30,A1022211,20,18.0,40.0,36.0
R2,direct_roi_only,jiufu_57c74728570ec9_first30,A1022211,20,18.0,40.0,36.0
R2,frozen,jiufu_2fc7ddf8f284e4_first30,627,19,18.0,38.0,36.0
R2,direct_roi_only,jiufu_2fc7ddf8f284e4_first30,627,19,22.0,38.0,44.0
R2,frozen,jiufu_a04e9f770a2bb9_first30,606,23,20.0,46.0,40.0
R2,direct_roi_only,jiufu_a04e9f770a2bb9_first30,606,23,20.0,46.0,40.0
R2,frozen,jiufu_333df78fe49441_first30,878,14,15.0,28.0,30.0
R2,direct_roi_only,jiufu_333df78fe49441_first30,878,14,14.0,28.0,28.0
R2,frozen,jiufu_4263d1ee2b7d38_first30,A1022211,22,20.0,44.0,40.0
R2,direct_roi_only,jiufu_4263d1ee2b7d38_first30,A1022211,22,22.0,44.0,44.0
R2,frozen,jiufu_7cb985938d0a6a_first30,659,12,12.0,24.0,24.0
R2,direct_roi_only,jiufu_7cb985938d0a6a_first30,659,12,11.0,24.0,22.0
R2,frozen,jiufu_7c448f9ef64639_first30,A1021135,15,16.0,30.0,32.0
R2,direct_roi_only,jiufu_7c448f9ef64639_first30,A1021135,15,14.0,30.0,28.0
R2,frozen,jiufu_bc495978774317_first30,608,10,13.0,20.0,26.0
R2,direct_roi_only,jiufu_bc495978774317_first30,608,10,11.0,20.0,22.0
R2,frozen,jiufu_e3cef2504bbb4a_first30,678,16,15.0,32.0,30.0
R2,direct_roi_only,jiufu_e3cef2504bbb4a_first30,678,16,12.0,32.0,24.0
R2,frozen,jiufu_d7a117e86dae24_first30,604,15,15.0,30.0,30.0
R2,direct_roi_only,jiufu_d7a117e86dae24_first30,604,15,13.0,30.0,26.0
R2,frozen,jiufu_f339ead1fdb0ac_first30,648,16,18.0,32.0,36.0
R2,direct_roi_only,jiufu_f339ead1fdb0ac_first30,648,16,18.0,32.0,36.0
R2,frozen,jiufu_92e9f652faa64a_first30,1145,25,18.0,50.0,36.0
R2,direct_roi_only,jiufu_92e9f652faa64a_first30,1145,25,18.0,50.0,36.0
R2,frozen,jiufu_fe09caa146ddbd_first30,648,14,13.0,28.0,26.0
R2,direct_roi_only,jiufu_fe09caa146ddbd_first30,648,14,11.0,28.0,22.0
R2,frozen,jiufu_f6c192eaf6c290_first30,854,13,8.0,26.0,16.0
R2,direct_roi_only,jiufu_f6c192eaf6c290_first30,854,13,12.0,26.0,24.0
R2,frozen,jiufu_42e874dae20aee_first30,868,9,7.0,18.0,14.0
R2,direct_roi_only,jiufu_42e874dae20aee_first30,868,9,10.0,18.0,20.0
R2,frozen,jiufu_b45e99f5e3803e_first30,1290,22,23.0,44.0,46.0
R2,direct_roi_only,jiufu_b45e99f5e3803e_first30,1290,22,22.0,44.0,44.0
R2,frozen,jiufu_fbbccb98b40ed8_first30,A1022182,8,8.0,16.0,16.0
R2,direct_roi_only,jiufu_fbbccb98b40ed8_first30,A1022182,8,9.0,16.0,18.0
R2,frozen,jiufu_b7367092cbf12f_first30,1039,18,12.0,36.0,24.0
R2,direct_roi_only,jiufu_b7367092cbf12f_first30,1039,18,11.0,36.0,22.0
R2,frozen,jiufu_fbaed9c05fdf1a_first30,874,12,19.0,24.0,38.0
R2,direct_roi_only,jiufu_fbaed9c05fdf1a_first30,874,12,20.0,24.0,40.0
R2,frozen,jiufu_09732493a874e4_first30,623,10,21.0,20.0,42.0
R2,direct_roi_only,jiufu_09732493a874e4_first30,623,10,20.0,20.0,40.0
R2,frozen,jiufu_c2f523dbca4113_first30,919,16,16.0,32.0,32.0
R2,direct_roi_only,jiufu_c2f523dbca4113_first30,919,16,17.0,32.0,34.0
R2,frozen,jiufu_19a4aa849045e9_first30,1185,17,18.0,34.0,36.0
R2,direct_roi_only,jiufu_19a4aa849045e9_first30,1185,17,17.0,34.0,34.0
R2,frozen,jiufu_bfba3aa9a87b7c_first30,A1022181,16,20.0,32.0,40.0
R2,direct_roi_only,jiufu_bfba3aa9a87b7c_first30,A1022181,16,17.0,32.0,34.0
R2,frozen,jiufu_542013dcb78dc0_first30,878,13,16.0,26.0,32.0
R2,direct_roi_only,jiufu_542013dcb78dc0_first30,878,13,14.0,26.0,28.0
R2,frozen,jiufu_596ccaaf7a001c_first30,632,15,14.0,30.0,28.0
R2,direct_roi_only,jiufu_596ccaaf7a001c_first30,632,15,13.0,30.0,26.0
R2,frozen,jiufu_9b4d8a24856a9f_first30,1436,6,10.0,12.0,20.0
R2,direct_roi_only,jiufu_9b4d8a24856a9f_first30,1436,6,10.0,12.0,20.0
R2,frozen,jiufu_a1fad2b6534006_first30,353,18,12.0,36.0,24.0
R2,direct_roi_only,jiufu_a1fad2b6534006_first30,353,18,13.0,36.0,26.0
R2,frozen,jiufu_4923eea2509695_first30,1308,21,23.0,42.0,46.0
R2,direct_roi_only,jiufu_4923eea2509695_first30,1308,21,18.0,42.0,36.0
R2,frozen,jiufu_ff4c4ac565e3b0_first30,1539,10,10.0,20.0,20.0
R2,direct_roi_only,jiufu_ff4c4ac565e3b0_first30,1539,10,8.0,20.0,16.0
R2,frozen,jiufu_24afbde80aa2d4_first30,493,7,7.0,14.0,14.0
R2,direct_roi_only,jiufu_24afbde80aa2d4_first30,493,7,6.0,14.0,12.0
R2,frozen,jiufu_135fcf30e11031_first30,A1022245,16,19.0,32.0,38.0
R2,direct_roi_only,jiufu_135fcf30e11031_first30,A1022245,16,18.0,32.0,36.0
R2,frozen,jiufu_21792037472910_first30,493,6,7.0,12.0,14.0
R2,direct_roi_only,jiufu_21792037472910_first30,493,6,6.0,12.0,12.0
R2,frozen,jiufu_fdc3b301cd9ef1_first30,653,6,6.0,12.0,12.0
R2,direct_roi_only,jiufu_fdc3b301cd9ef1_first30,653,6,6.0,12.0,12.0
R2,frozen,jiufu_b1efccc0572872_first30,A1021145,9,11.0,18.0,22.0
R2,direct_roi_only,jiufu_b1efccc0572872_first30,A1021145,9,12.0,18.0,24.0
R2,frozen,jiufu_cbf053d260a726_first30,218,17,12.0,34.0,24.0
R2,direct_roi_only,jiufu_cbf053d260a726_first30,218,17,12.0,34.0,24.0
R2,frozen,jiufu_b7a3631a4e36ce_first30,588,11,10.0,22.0,20.0
R2,direct_roi_only,jiufu_b7a3631a4e36ce_first30,588,11,10.0,22.0,20.0
R2,frozen,jiufu_4cadeee3a7496f_first30,697,10,15.0,20.0,30.0
R2,direct_roi_only,jiufu_4cadeee3a7496f_first30,697,10,12.0,20.0,24.0
R2,frozen,jiufu_0bede2d3d6e2ef_first30,1233,23,18.0,46.0,36.0
R2,direct_roi_only,jiufu_0bede2d3d6e2ef_first30,1233,23,19.0,46.0,38.0
R2,frozen,jiufu_771e73351d8f0d_first30,1316,30,25.0,60.0,50.0
R2,direct_roi_only,jiufu_771e73351d8f0d_first30,1316,30,27.0,60.0,54.0
R2,frozen,jiufu_ed4591eaed0b3f_first30,1496,23,18.0,46.0,36.0
R2,direct_roi_only,jiufu_ed4591eaed0b3f_first30,1496,23,20.0,46.0,40.0
R2,frozen,jiufu_39c814598b6c9a_first30,1589,18,15.0,36.0,30.0
R2,direct_roi_only,jiufu_39c814598b6c9a_first30,1589,18,19.0,36.0,38.0
R2,frozen,jiufu_72f9214b6e39c9_first30,950,5,9.0,10.0,18.0
R2,direct_roi_only,jiufu_72f9214b6e39c9_first30,950,5,6.0,10.0,12.0
R2,frozen,jiufu_44a8b44ef7ff55_first30,1268,10,15.0,20.0,30.0
R2,direct_roi_only,jiufu_44a8b44ef7ff55_first30,1268,10,16.0,20.0,32.0
R2,frozen,jiufu_46aefc048b6969_first30,989,12,12.0,24.0,24.0
R2,direct_roi_only,jiufu_46aefc048b6969_first30,989,12,12.0,24.0,24.0
R2,frozen,jiufu_f19803e664a7cb_first30,A1022198,12,12.0,24.0,24.0
R2,direct_roi_only,jiufu_f19803e664a7cb_first30,A1022198,12,12.0,24.0,24.0
R2,frozen,jiufu_ca838441c991bb_first30,1634,21,21.0,42.0,42.0
R2,direct_roi_only,jiufu_ca838441c991bb_first30,1634,21,22.0,42.0,44.0
R2,frozen,jiufu_366cb8600d5450_first30,1469,9,9.0,18.0,18.0
R2,direct_roi_only,jiufu_366cb8600d5450_first30,1469,9,11.0,18.0,22.0
R2,frozen,jiufu_a72be27aa4d574_first30,546,9,15.0,18.0,30.0
R2,direct_roi_only,jiufu_a72be27aa4d574_first30,546,9,16.0,18.0,32.0
R2,frozen,jiufu_cc8f24e9070eb6_first30,677,10,10.0,20.0,20.0
R2,direct_roi_only,jiufu_cc8f24e9070eb6_first30,677,10,7.0,20.0,14.0
R2,frozen,jiufu_658fffa214f378_first30,606,22,24.0,44.0,48.0
R2,direct_roi_only,jiufu_658fffa214f378_first30,606,22,24.0,44.0,48.0
R2,frozen,jiufu_a005ae733f6503_first30,664,8,10.0,16.0,20.0
R2,direct_roi_only,jiufu_a005ae733f6503_first30,664,8,8.0,16.0,16.0
R2,frozen,jiufu_1f9c8c3925bc30_first30,A1022186,14,14.0,28.0,28.0
R2,direct_roi_only,jiufu_1f9c8c3925bc30_first30,A1022186,14,11.0,28.0,22.0
R2,frozen,jiufu_2b9099fd06d9e1_first30,678,12,17.0,24.0,34.0
R2,direct_roi_only,jiufu_2b9099fd06d9e1_first30,678,12,15.0,24.0,30.0
R2,frozen,jiufu_370ef65c280bd7_first30,A1022249,15,17.0,30.0,34.0
R2,direct_roi_only,jiufu_370ef65c280bd7_first30,A1022249,15,9.0,30.0,18.0
R2,frozen,jiufu_931fb29cee6b4b_first30,880,14,9.0,28.0,18.0
R2,direct_roi_only,jiufu_931fb29cee6b4b_first30,880,14,11.0,28.0,22.0
R2,frozen,jiufu_b01f0755dc6a1f_first30,639,13,12.0,26.0,24.0
R2,direct_roi_only,jiufu_b01f0755dc6a1f_first30,639,13,14.0,26.0,28.0
R2,frozen,jiufu_f242385ce55e15_first30,1436,10,10.0,20.0,20.0
R2,direct_roi_only,jiufu_f242385ce55e15_first30,1436,10,10.0,20.0,20.0
R2,frozen,jiufu_f920435ef76ec4_first30,1428,8,8.0,16.0,16.0
R2,direct_roi_only,jiufu_f920435ef76ec4_first30,1428,8,7.0,16.0,14.0
R2,frozen,jiufu_7f52d294468aa5_first30,1398,15,16.0,30.0,32.0
R2,direct_roi_only,jiufu_7f52d294468aa5_first30,1398,15,12.0,30.0,24.0
R2,frozen,jiufu_11acdc6d1c6ccc_first30,987,12,10.0,24.0,20.0
R2,direct_roi_only,jiufu_11acdc6d1c6ccc_first30,987,12,14.0,24.0,28.0
R2,frozen,jiufu_cc60214ff2d564_first30,1308,12,10.0,24.0,20.0
R2,direct_roi_only,jiufu_cc60214ff2d564_first30,1308,12,11.0,24.0,22.0
R2,frozen,jiufu_f23fd2fe9eb848_first30,1618,10,9.0,20.0,18.0
R2,direct_roi_only,jiufu_f23fd2fe9eb848_first30,1618,10,8.0,20.0,16.0
R2,frozen,jiufu_126bdac0bd036b_first30,1630,12,12.0,24.0,24.0
R2,direct_roi_only,jiufu_126bdac0bd036b_first30,1630,12,12.0,24.0,24.0
R2,frozen,jiufu_c6e5a206ad0c30_first30,A1021178,18,17.0,36.0,34.0
R2,direct_roi_only,jiufu_c6e5a206ad0c30_first30,A1021178,18,17.0,36.0,34.0
R2,frozen,jiufu_0f7af9c769fda5_first30,508,16,10.0,32.0,20.0
R2,direct_roi_only,jiufu_0f7af9c769fda5_first30,508,16,12.0,32.0,24.0
R2,frozen,jiufu_42402108cd09a9_first30,A1021154,5,7.0,10.0,14.0
R2,direct_roi_only,jiufu_42402108cd09a9_first30,A1021154,5,8.0,10.0,16.0
R2,frozen,jiufu_a97a8ff157139f_first30,1631,11,11.0,22.0,22.0
R2,direct_roi_only,jiufu_a97a8ff157139f_first30,1631,11,11.0,22.0,22.0
R2,frozen,jiufu_a45d837f891e44_first30,605,8,7.0,16.0,14.0
R2,direct_roi_only,jiufu_a45d837f891e44_first30,605,8,9.0,16.0,18.0
R2,frozen,jiufu_3a993354ebd1c7_first30,1634,23,17.0,46.0,34.0
R2,direct_roi_only,jiufu_3a993354ebd1c7_first30,1634,23,11.0,46.0,22.0
R2,frozen,jiufu_13f838ff73e069_first30,683,3,5.0,6.0,10.0
R2,direct_roi_only,jiufu_13f838ff73e069_first30,683,3,6.0,6.0,12.0
R2,frozen,jiufu_7388b7efc8afb3_first30,608,14,13.0,28.0,26.0
R2,direct_roi_only,jiufu_7388b7efc8afb3_first30,608,14,11.0,28.0,22.0
R2,frozen,jiufu_2fdd36fbe9a8ce_first30,A1022253,16,16.0,32.0,32.0
R2,direct_roi_only,jiufu_2fdd36fbe9a8ce_first30,A1022253,16,15.0,32.0,30.0
R2,frozen,jiufu_ef58cd171d4783_first30,691,15,14.0,30.0,28.0
R2,direct_roi_only,jiufu_ef58cd171d4783_first30,691,15,15.0,30.0,30.0
R2,frozen,jiufu_dfa58f3a711e47_first30,638,7,10.0,14.0,20.0
R2,direct_roi_only,jiufu_dfa58f3a711e47_first30,638,7,9.0,14.0,18.0
R2,frozen,jiufu_a1ceaa6025ff79_first30,1604,17,10.0,34.0,20.0
R2,direct_roi_only,jiufu_a1ceaa6025ff79_first30,1604,17,10.0,34.0,20.0
R2,frozen,jiufu_9a1c40cbb80bb1_first30,588,10,9.0,20.0,18.0
R2,direct_roi_only,jiufu_9a1c40cbb80bb1_first30,588,10,10.0,20.0,20.0
R2,frozen,jiufu_161f93bfffbe11_first30,1437,10,9.0,20.0,18.0
R2,direct_roi_only,jiufu_161f93bfffbe11_first30,1437,10,11.0,20.0,22.0
R2,frozen,jiufu_014c9b6a274fed_first30,372,16,12.0,32.0,24.0
R2,direct_roi_only,jiufu_014c9b6a274fed_first30,372,16,6.0,32.0,12.0
R2,frozen,jiufu_028724ccc9868d_first30,1010,18,17.0,36.0,34.0
R2,direct_roi_only,jiufu_028724ccc9868d_first30,1010,18,13.0,36.0,26.0
R2,frozen,jiufu_0c053f837a8b23_first30,1136,14,17.0,28.0,34.0
R2,direct_roi_only,jiufu_0c053f837a8b23_first30,1136,14,14.0,28.0,28.0
R2,frozen,jiufu_8f6eabd7f2cb6e_first30,868,10,10.0,20.0,20.0
R2,direct_roi_only,jiufu_8f6eabd7f2cb6e_first30,868,10,10.0,20.0,20.0
R2,frozen,jiufu_21b4c4c26061d0_first30,1646,14,15.0,28.0,30.0
R2,direct_roi_only,jiufu_21b4c4c26061d0_first30,1646,14,14.0,28.0,28.0
R2,frozen,jiufu_37333d1afc0ec2_first30,1518,12,15.0,24.0,30.0
R2,direct_roi_only,jiufu_37333d1afc0ec2_first30,1518,12,12.0,24.0,24.0
R2,frozen,jiufu_b273cec8024eb2_first30,878,13,13.0,26.0,26.0
R2,direct_roi_only,jiufu_b273cec8024eb2_first30,878,13,14.0,26.0,28.0
R2,frozen,jiufu_d1a9a7ab944633_first30,961,17,12.0,34.0,24.0
R2,direct_roi_only,jiufu_d1a9a7ab944633_first30,961,17,10.0,34.0,20.0
R2,frozen,jiufu_908496549f5b42_first30,A1022182,7,6.0,14.0,12.0
R2,direct_roi_only,jiufu_908496549f5b42_first30,A1022182,7,5.0,14.0,10.0
R2,frozen,jiufu_04fd6f8dc56a73_first30,165,11,10.0,22.0,20.0
R2,direct_roi_only,jiufu_04fd6f8dc56a73_first30,165,11,12.0,22.0,24.0
R2,frozen,jiufu_440a29cebcae1c_first30,1487,13,11.0,26.0,22.0
R2,direct_roi_only,jiufu_440a29cebcae1c_first30,1487,13,11.0,26.0,22.0
R2,frozen,jiufu_e2821e37ff899d_first30,281,13,18.0,26.0,36.0
R2,direct_roi_only,jiufu_e2821e37ff899d_first30,281,13,18.0,26.0,36.0
R2,frozen,jiufu_b80d393ca25ef8_first30,1165,4,5.0,8.0,10.0
R2,direct_roi_only,jiufu_b80d393ca25ef8_first30,1165,4,2.0,8.0,4.0
R2,frozen,jiufu_adb9b6776eb349_first30,869,21,19.0,42.0,38.0
R2,direct_roi_only,jiufu_adb9b6776eb349_first30,869,21,17.0,42.0,34.0
R2,frozen,jiufu_d837d576df8e43_first30,1539,8,9.0,16.0,18.0
R2,direct_roi_only,jiufu_d837d576df8e43_first30,1539,8,6.0,16.0,12.0
R2,frozen,jiufu_281bc808f4d3ff_first30,A1022182,13,8.0,26.0,16.0
R2,direct_roi_only,jiufu_281bc808f4d3ff_first30,A1022182,13,8.0,26.0,16.0
R2,frozen,jiufu_4206de92a27bce_first30,1539,14,15.0,28.0,30.0
R2,direct_roi_only,jiufu_4206de92a27bce_first30,1539,14,15.0,28.0,30.0
R2,frozen,jiufu_43743cb152c168_first30,1022249,15,13.0,30.0,26.0
R2,direct_roi_only,jiufu_43743cb152c168_first30,1022249,15,11.0,30.0,22.0
R2,frozen,jiufu_d7498380edb383_first30,719,12,12.0,24.0,24.0
R2,direct_roi_only,jiufu_d7498380edb383_first30,719,12,15.0,24.0,30.0
R2,frozen,jiufu_512d98136d6412_first30,A1022251,14,14.0,28.0,28.0
R2,direct_roi_only,jiufu_512d98136d6412_first30,A1022251,14,15.0,28.0,30.0
R2,frozen,jiufu_1b1d8d9b6faec7_first30,1823,14,10.0,28.0,20.0
