frame_name,left_temp,right_temp,left_x,left_y,right_x,right_y,left_conf,right_conf,left_source,right_source,status,roi_radius
zs200783_frame_000000.jpg,32.289744687148506,33.422823845756874,536.676025390625,533.9690551757812,389.4063415527344,534.0076904296875,0.9999991655349731,0.9999845027923584,detected,detected,ok,20
zs200783_frame_000001.jpg,32.287477692227206,33.41919073125922,537.1372680664062,532.1536254882812,390.5653991699219,532.2411499023438,0.9999954700469972,0.9999730587005616,detected,detected,ok,20
zs200783_frame_000002.jpg,32.40379863839994,33.480505408387906,537.4029541015625,534.317138671875,389.5628356933594,534.3619384765625,0.9999991655349731,0.9999828338623048,detected,detected,ok,20
zs200783_frame_000003.jpg,32.53903972973119,33.498921148394416,535.1747436523438,533.8134155273438,391.07623291015625,533.9542236328125,0.9999951124191284,0.9999175071716307,detected,detected,ok,20
zs200783_frame_000004.jpg,32.34793341825719,33.110635313603204,535.845458984375,533.5928955078125,391.0015563964844,533.7625732421875,0.9999955892562866,0.9998669624328612,detected,detected,ok,20
zs200783_frame_000005.jpg,32.156869654129515,32.97352340152099,536.5004272460938,533.9281616210938,390.83099365234375,534.10205078125,0.9999955892562866,0.9998607635498048,detected,detected,ok,20
zs200783_frame_000006.jpg,32.10384982382036,32.90989557421128,536.06591796875,533.2619018554688,391.1217346191406,533.4111938476562,0.999995231628418,0.9998964071273804,detected,detected,ok,20
zs200783_frame_000007.jpg,31.940321883433604,32.64096842441086,536.64208984375,532.6653442382812,391.9565124511719,532.8067626953125,0.9999946355819702,0.9999014139175416,detected,detected,ok,20
zs200783_frame_000008.jpg,31.835963727739443,32.59586396460331,539.3750610351562,533.6610107421875,391.76361083984375,533.7171020507812,0.9999990463256836,0.9999791383743286,detected,detected,ok,20
zs200783_frame_000009.jpg,31.820943502078222,32.56598709250647,539.3021850585938,534.140380859375,391.9849853515625,534.1939697265625,0.999998927116394,0.9999794960021972,detected,detected,ok,20
zs200783_frame_000010.jpg,31.88586958729495,33.104561449366464,538.9454956054688,532.4944458007812,393.260009765625,532.5809326171875,0.9999951124191284,0.9999737739562988,detected,detected,ok,20
zs200783_frame_000011.jpg,32.01081039783604,33.180465643643664,539.0108642578125,534.8634033203125,394.2364807128906,534.9091186523438,0.999997854232788,0.9999785423278807,detected,detected,ok,20
zs200783_frame_000012.jpg,32.015612531706694,33.23718440727483,539.523193359375,535.65625,394.5093383789063,535.7094116210938,0.9999982118606568,0.9999783039093018,detected,detected,ok,20
zs200783_frame_000013.jpg,32.1154562099544,33.307269987079415,539.6066284179688,536.4462890625,394.2067260742188,536.6577758789062,0.9999953508377076,0.9999281167984008,detected,detected,ok,20
zs200783_frame_000014.jpg,32.21387106689966,33.451383900631185,539.9760131835938,535.7269897460938,395.3180847167969,535.7889404296875,0.9999984502792358,0.9999727010726928,detected,detected,ok,20
zs200783_frame_000015.jpg,32.39676600827057,33.489324057893995,539.73388671875,536.0453491210938,395.2835998535156,536.10546875,0.9999984502792358,0.9999727010726928,detected,detected,ok,20
zs200783_frame_000016.jpg,32.40247964026574,33.40924837121432,539.7489013671875,535.5671997070312,393.878173828125,535.6422729492188,0.9999984502792358,0.9999620914459229,detected,detected,ok,20
zs200783_frame_000017.jpg,31.948827416282185,33.0360318056829,541.0059204101562,535.0821533203125,393.7871398925781,535.1710205078125,0.9999984502792358,0.9999513626098632,detected,detected,ok,20
zs200783_frame_000018.jpg,31.823111910348494,32.93776302246563,541.3024291992188,533.8377685546875,393.4209899902344,533.9088134765625,0.9999980926513672,0.999962329864502,detected,detected,ok,20
zs200783_frame_000019.jpg,31.645485658919974,32.742771771341914,541.6903686523438,534.4931030273438,392.493408203125,534.55419921875,0.9999991655349731,0.999980092048645,detected,detected,ok,20
zs200783_frame_000020.jpg,31.640450819086883,32.70302422676198,540.687255859375,533.3745727539062,392.90045166015625,533.4302978515625,0.9999982118606568,0.9999690055847168,detected,detected,ok,20
