cohort,video_id,arm,event_id,frame_index,time_seconds,timebase
internal73,16170075,C1P1,p13,120,13.793103448275863,nominal_8.7_no_event_truth
internal73,170333,C0P0,p1,11,1.264367816091954,nominal_8.7_no_event_truth
internal73,170333,C0P0,p2,23,2.6436781609195403,nominal_8.7_no_event_truth
internal73,170333,C0P0,p3,43,4.942528735632185,nominal_8.7_no_event_truth
internal73,170333,C0P0,p4,58,6.666666666666667,nominal_8.7_no_event_truth
internal73,170333,C0P0,p5,70,8.045977011494253,nominal_8.7_no_event_truth
internal73,170333,C0P0,p6,81,9.310344827586208,nominal_8.7_no_event_truth
internal73,170333,C1P0,p1,11,1.264367816091954,nominal_8.7_no_event_truth
internal73,170333,C1P0,p2,23,2.6436781609195403,nominal_8.7_no_event_truth
internal73,170333,C1P0,p3,43,4.942528735632185,nominal_8.7_no_event_truth
internal73,170333,C1P0,p4,58,6.666666666666667,nominal_8.7_no_event_truth
internal73,170333,C1P0,p5,70,8.045977011494253,nominal_8.7_no_event_truth
internal73,170333,C1P0,p6,81,9.310344827586208,nominal_8.7_no_event_truth
internal73,170333,C0P1,p1,11,1.264367816091954,nominal_8.7_no_event_truth
internal73,170333,C0P1,p2,23,2.6436781609195403,nominal_8.7_no_event_truth
internal73,170333,C0P1,p3,43,4.942528735632185,nominal_8.7_no_event_truth
internal73,170333,C0P1,p4,58,6.666666666666667,nominal_8.7_no_event_truth
internal73,170333,C0P1,p5,70,8.045977011494253,nominal_8.7_no_event_truth
internal73,170333,C0P1,p6,81,9.310344827586208,nominal_8.7_no_event_truth
internal73,170333,C1P1,p1,11,1.264367816091954,nominal_8.7_no_event_truth
internal73,170333,C1P1,p2,23,2.6436781609195403,nominal_8.7_no_event_truth
internal73,170333,C1P1,p3,43,4.942528735632185,nominal_8.7_no_event_truth
internal73,170333,C1P1,p4,58,6.666666666666667,nominal_8.7_no_event_truth
internal73,170333,C1P1,p5,70,8.045977011494253,nominal_8.7_no_event_truth
internal73,170333,C1P1,p6,81,9.310344827586208,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p1,13,1.4942528735632186,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p2,23,2.6436781609195403,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p3,32,3.6781609195402303,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p4,42,4.8275862068965525,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p5,53,6.0919540229885065,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p6,62,7.126436781609196,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p7,71,8.160919540229886,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p8,80,9.195402298850576,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p9,91,10.459770114942529,nominal_8.7_no_event_truth
internal73,zs197000,C0P0,p10,102,11.724137931034484,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p1,13,1.4942528735632186,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p2,23,2.6436781609195403,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p3,32,3.6781609195402303,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p4,42,4.8275862068965525,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p5,53,6.0919540229885065,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p6,62,7.126436781609196,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p7,71,8.160919540229886,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p8,80,9.195402298850576,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p9,91,10.459770114942529,nominal_8.7_no_event_truth
internal73,zs197000,C1P0,p10,102,11.724137931034484,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p1,13,1.4942528735632186,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p2,23,2.6436781609195403,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p3,32,3.6781609195402303,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p4,42,4.8275862068965525,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p5,53,6.0919540229885065,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p6,62,7.126436781609196,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p7,71,8.160919540229886,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p8,80,9.195402298850576,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p9,91,10.459770114942529,nominal_8.7_no_event_truth
internal73,zs197000,C0P1,p10,102,11.724137931034484,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p1,13,1.4942528735632186,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p2,23,2.6436781609195403,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p3,32,3.6781609195402303,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p4,42,4.8275862068965525,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p5,53,6.0919540229885065,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p6,62,7.126436781609196,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p7,71,8.160919540229886,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p8,80,9.195402298850576,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p9,91,10.459770114942529,nominal_8.7_no_event_truth
internal73,zs197000,C1P1,p10,102,11.724137931034484,nominal_8.7_no_event_truth
anchored49,16170075,C0P0,p1,2,0.2311871459946827,R2_bound_frame_PTS
anchored49,16170075,C0P0,p2,12,1.3871228759680962,R2_bound_frame_PTS
anchored49,16170075,C0P0,p3,21,2.4274650329441685,R2_bound_frame_PTS
anchored49,16170075,C0P0,p4,30,3.4678071899202405,R2_bound_frame_PTS
anchored49,16170075,C0P0,p5,39,4.508149346896313,R2_bound_frame_PTS
anchored49,16170075,C0P0,p6,56,6.473240087851115,R2_bound_frame_PTS
anchored49,16170075,C0P0,p7,68,7.860362963819211,R2_bound_frame_PTS
anchored49,16170075,C0P0,p8,76,8.785111547797943,R2_bound_frame_PTS
anchored49,16170075,C0P0,p9,84,9.709860131776674,R2_bound_frame_PTS
anchored49,16170075,C0P0,p10,91,10.519015142758064,R2_bound_frame_PTS
anchored49,16170075,C0P0,p11,99,11.443763726736794,R2_bound_frame_PTS
anchored49,16170075,C0P0,p12,106,12.252918737718185,R2_bound_frame_PTS
anchored49,16170075,C0P0,p13,117,13.524448040688938,R2_bound_frame_PTS
anchored49,16170075,C0P0,p14,127,14.68038377066235,R2_bound_frame_PTS
anchored49,16170075,C0P0,p15,137,15.836319500635764,R2_bound_frame_PTS
anchored49,16170075,C0P0,p16,147,16.992255230609178,R2_bound_frame_PTS
anchored49,16170075,C0P0,p17,156,18.03259738758525,R2_bound_frame_PTS
anchored49,16170075,C0P0,p18,166,19.188533117558663,R2_bound_frame_PTS
anchored49,16170075,C0P0,p19,176,20.34446884753208,R2_bound_frame_PTS
anchored49,16170075,C0P0,p20,185,21.38481100450815,R2_bound_frame_PTS
anchored49,16170075,C0P0,p21,194,22.42515316148422,R2_bound_frame_PTS
anchored49,16170075,C0P0,p22,202,23.34990174546295,R2_bound_frame_PTS
anchored49,16170075,C0P0,p23,211,24.390243902439025,R2_bound_frame_PTS
anchored49,16170075,C0P0,p24,219,25.314992486417754,R2_bound_frame_PTS
anchored49,16170075,C0P0,p25,227,26.239741070396487,R2_bound_frame_PTS
anchored49,16170075,C0P0,p26,235,27.164489654375217,R2_bound_frame_PTS
anchored49,16170075,C0P0,p27,243,28.089238238353943,R2_bound_frame_PTS
anchored49,16170075,C0P0,p28,251,29.01398682233268,R2_bound_frame_PTS
anchored49,16170075,C1P0,p1,22,2.5430586059415097,R2_bound_frame_PTS
anchored49,16170075,C1P0,p2,38,4.392555773898971,R2_bound_frame_PTS
anchored49,16170075,C1P0,p3,56,6.473240087851115,R2_bound_frame_PTS
anchored49,16170075,C1P0,p4,66,7.629175817824529,R2_bound_frame_PTS
anchored49,16170075,C1P0,p5,77,8.900705120795283,R2_bound_frame_PTS
anchored49,16170075,C1P0,p6,83,9.594266558779331,R2_bound_frame_PTS
anchored49,16170075,C1P0,p7,91,10.519015142758064,R2_bound_frame_PTS
anchored49,16170075,C1P0,p8,99,11.443763726736794,R2_bound_frame_PTS
anchored49,16170075,C1P0,p9,106,12.252918737718185,R2_bound_frame_PTS
anchored49,16170075,C1P0,p10,117,13.524448040688938,R2_bound_frame_PTS
anchored49,16170075,C1P0,p11,127,14.68038377066235,R2_bound_frame_PTS
anchored49,16170075,C1P0,p12,137,15.836319500635764,R2_bound_frame_PTS
anchored49,16170075,C1P0,p13,147,16.992255230609178,R2_bound_frame_PTS
anchored49,16170075,C1P0,p14,157,18.148190960582596,R2_bound_frame_PTS
anchored49,16170075,C1P0,p15,166,19.188533117558663,R2_bound_frame_PTS
anchored49,16170075,C1P0,p16,176,20.34446884753208,R2_bound_frame_PTS
anchored49,16170075,C1P0,p17,185,21.38481100450815,R2_bound_frame_PTS
anchored49,16170075,C1P0,p18,194,22.42515316148422,R2_bound_frame_PTS
anchored49,16170075,C1P0,p19,202,23.34990174546295,R2_bound_frame_PTS
anchored49,16170075,C1P0,p20,211,24.390243902439025,R2_bound_frame_PTS
anchored49,16170075,C1P0,p21,219,25.314992486417754,R2_bound_frame_PTS
anchored49,16170075,C1P0,p22,227,26.239741070396487,R2_bound_frame_PTS
anchored49,16170075,C1P0,p23,235,27.164489654375217,R2_bound_frame_PTS
anchored49,16170075,C1P0,p24,243,28.089238238353943,R2_bound_frame_PTS
anchored49,16170075,C1P0,p25,251,29.01398682233268,R2_bound_frame_PTS
anchored49,16170075,C0P1,p1,2,0.2311871459946827,R2_bound_frame_PTS
anchored49,16170075,C0P1,p2,12,1.3871228759680962,R2_bound_frame_PTS
anchored49,16170075,C0P1,p3,21,2.4274650329441685,R2_bound_frame_PTS
anchored49,16170075,C0P1,p4,30,3.4678071899202405,R2_bound_frame_PTS
anchored49,16170075,C0P1,p5,39,4.508149346896313,R2_bound_frame_PTS
anchored49,16170075,C0P1,p6,56,6.473240087851115,R2_bound_frame_PTS
anchored49,16170075,C0P1,p7,68,7.860362963819211,R2_bound_frame_PTS
anchored49,16170075,C0P1,p8,76,8.785111547797943,R2_bound_frame_PTS
anchored49,16170075,C0P1,p9,84,9.709860131776674,R2_bound_frame_PTS
anchored49,16170075,C0P1,p10,91,10.519015142758064,R2_bound_frame_PTS
anchored49,16170075,C0P1,p11,99,11.443763726736794,R2_bound_frame_PTS
anchored49,16170075,C0P1,p12,106,12.252918737718185,R2_bound_frame_PTS
anchored49,16170075,C0P1,p13,117,13.524448040688938,R2_bound_frame_PTS
anchored49,16170075,C0P1,p14,127,14.68038377066235,R2_bound_frame_PTS
anchored49,16170075,C0P1,p15,137,15.836319500635764,R2_bound_frame_PTS
anchored49,16170075,C0P1,p16,147,16.992255230609178,R2_bound_frame_PTS
anchored49,16170075,C0P1,p17,156,18.03259738758525,R2_bound_frame_PTS
anchored49,16170075,C0P1,p18,166,19.188533117558663,R2_bound_frame_PTS
anchored49,16170075,C0P1,p19,176,20.34446884753208,R2_bound_frame_PTS
anchored49,16170075,C0P1,p20,185,21.38481100450815,R2_bound_frame_PTS
anchored49,16170075,C0P1,p21,194,22.42515316148422,R2_bound_frame_PTS
anchored49,16170075,C0P1,p22,202,23.34990174546295,R2_bound_frame_PTS
anchored49,16170075,C0P1,p23,211,24.390243902439025,R2_bound_frame_PTS
anchored49,16170075,C0P1,p24,219,25.314992486417754,R2_bound_frame_PTS
anchored49,16170075,C0P1,p25,227,26.239741070396487,R2_bound_frame_PTS
anchored49,16170075,C0P1,p26,235,27.164489654375217,R2_bound_frame_PTS
anchored49,16170075,C0P1,p27,243,28.089238238353943,R2_bound_frame_PTS
anchored49,16170075,C0P1,p28,251,29.01398682233268,R2_bound_frame_PTS
anchored49,16170075,C1P1,p1,3,0.346780718992024,R2_bound_frame_PTS
anchored49,16170075,C1P1,p2,22,2.5430586059415097,R2_bound_frame_PTS
anchored49,16170075,C1P1,p3,38,4.392555773898971,R2_bound_frame_PTS
anchored49,16170075,C1P1,p4,56,6.473240087851115,R2_bound_frame_PTS
anchored49,16170075,C1P1,p5,66,7.629175817824529,R2_bound_frame_PTS
anchored49,16170075,C1P1,p6,77,8.900705120795283,R2_bound_frame_PTS
anchored49,16170075,C1P1,p7,83,9.594266558779331,R2_bound_frame_PTS
anchored49,16170075,C1P1,p8,91,10.519015142758064,R2_bound_frame_PTS
anchored49,16170075,C1P1,p9,99,11.443763726736794,R2_bound_frame_PTS
anchored49,16170075,C1P1,p10,106,12.252918737718185,R2_bound_frame_PTS
anchored49,16170075,C1P1,p11,117,13.524448040688938,R2_bound_frame_PTS
anchored49,16170075,C1P1,p12,127,14.68038377066235,R2_bound_frame_PTS
anchored49,16170075,C1P1,p13,137,15.836319500635764,R2_bound_frame_PTS
anchored49,16170075,C1P1,p14,147,16.992255230609178,R2_bound_frame_PTS
anchored49,16170075,C1P1,p15,157,18.148190960582596,R2_bound_frame_PTS
anchored49,16170075,C1P1,p16,166,19.188533117558663,R2_bound_frame_PTS
