video_id,arm,truth_count,predicted_count,count_error,tp,fp,fn,missing_direct_left,missing_direct_right
16170075,C0P0,28,28,0,19,9,9,24,0
16170075,C1P0,28,25,-3,17,8,11,24,0
16170075,C0P1,28,28,0,19,9,9,24,0
16170075,C1P1,28,26,-2,17,9,11,24,0
170333,C0P0,16,19,3,12,7,4,32,38
170333,C1P0,16,18,2,11,7,5,32,38
170333,C0P1,16,19,3,12,7,4,32,38
170333,C1P1,16,18,2,11,7,5,32,38
zs197000,C0P0,26,24,-2,22,2,4,0,0
zs197000,C1P0,26,20,-6,17,3,9,0,0
zs197000,C0P1,26,24,-2,22,2,4,0,0
zs197000,C1P1,26,20,-6,17,3,9,0,0
