video_id,arm,type,predicted_event_id,reference_event_id,time_error_seconds
16170075,C0P0,TP,p2,54db66d2-0340-4b27-aac7-a887854e382c,0.14787712403190367
16170075,C0P0,TP,p3,cc51ee08-8f99-43a1-8aca-72ce36210040,0.13953496705583168
16170075,C0P0,TP,p4,02c9eda5-6d45-4358-8206-8547ffc7a80e,0.036192810079759496
16170075,C0P0,TP,p5,e50dc50f-39e9-4bd4-89bc-bd54478a2789,0.026149346896312764
16170075,C0P0,TP,p6,f67b00bf-5d55-4618-8d9f-d5244026d3af,0.07075991214888422
16170075,C0P0,TP,p7,e6eb3003-aa0c-450e-a916-8186ad8ea289,0.03636296381921156
16170075,C0P0,TP,p8,b93b37de-1085-4259-bc41-b08ed751d467,0.10388845220205667
16170075,C0P0,TP,p9,7aee85c7-b382-45e5-bf85-7912ac082b93,0.1531398682233256
16170075,C0P0,TP,p13,c5be70eb-a02a-464b-b1f1-aaa221d69c63,0.14055195931106113
16170075,C0P0,TP,p14,beb2b4ff-d629-46ee-8352-d59d573383f2,0.1756162293376491
16170075,C0P0,TP,p15,e7be4bb1-f804-42a4-af5f-5ea1d87f116f,0.15568049936423733
16170075,C0P0,TP,p16,5ab8071c-363d-4d35-9ef7-b1f7dfa94b13,0.1837447693908203
16170075,C0P0,TP,p17,e548e6fc-36cc-4e2a-8f93-51a2ff25218c,0.08740261241475267
16170075,C0P0,TP,p18,f5e0fc11-f89d-4514-9efe-40778ca510b1,0.24346688244133574
16170075,C0P0,TP,p19,40440b2c-30a1-4ca5-8dfb-23048fd1b7bf,0.25553115246792046
16170075,C0P0,TP,p20,44a6d9f3-e402-41ad-9e5b-fdfa37385056,0.2711889954918476
16170075,C0P0,TP,p21,c1ec459d-e2ee-4e44-8ce5-f13f874d2925,0.24684683851577915
16170075,C0P0,TP,p27,75b62d45-b470-464d-ac68-d09939778cdc,0.289238238353942
16170075,C0P0,TP,p28,0d77ca10-380a-4918-b1bc-7da78ff370ff,0.2859868223326778
16170075,C0P0,FP,p1,,
16170075,C0P0,FP,p10,,
