relative_seconds,absolute_seconds
0.0,0.0
0.10500000000000001,0.10500000000000001
0.21666666666666667,0.21666666666666667
0.30833333333333335,0.30833333333333335
0.46166666666666667,0.46166666666666667
0.5666666666666667,0.5666666666666667
0.6983333333333334,0.6983333333333334
0.7483333333333334,0.7483333333333334
0.9166666666666667,0.9166666666666667
1.0166666666666668,1.0166666666666668
1.1466666666666667,1.1466666666666667
1.2483333333333335,1.2483333333333335
1.3766666666666667,1.3766666666666667
1.4783333333333335,1.4783333333333335
1.6066666666666667,1.6066666666666667
1.6983333333333335,1.6983333333333335
1.8250000000000002,1.8250000000000002
1.935,1.935
2.066666666666667,2.066666666666667
2.166666666666667,2.166666666666667
2.2733333333333334,2.2733333333333334
2.3666666666666667,2.3666666666666667
2.43,2.43
2.626666666666667,2.626666666666667
2.725,2.725
2.836666666666667,2.836666666666667
2.9250000000000003,2.9250000000000003
3.086666666666667,3.086666666666667
3.1766666666666667,3.1766666666666667
3.2883333333333336,3.2883333333333336
3.381666666666667,3.381666666666667
3.536666666666667,3.536666666666667
3.6383333333333336,3.6383333333333336
3.7500000000000004,3.7500000000000004
3.836666666666667,3.836666666666667
3.9983333333333335,3.9983333333333335
4.108333333333333,4.108333333333333
4.123333333333334,4.123333333333334
4.383333333333334,4.383333333333334
4.46,4.46
4.543333333333334,4.543333333333334
4.668333333333334,4.668333333333334
4.843333333333334,4.843333333333334
4.898333333333333,4.898333333333333
5.001666666666667,5.001666666666667
5.128333333333334,5.128333333333334
5.293333333333334,5.293333333333334
5.351666666666667,5.351666666666667
5.461666666666667,5.461666666666667
5.586666666666667,5.586666666666667
5.758333333333334,5.758333333333334
5.776666666666667,5.776666666666667
5.836666666666667,5.836666666666667
6.116666666666667,6.116666666666667
6.130000000000001,6.130000000000001
6.296666666666667,6.296666666666667
6.311666666666668,6.311666666666668
6.503333333333334,6.503333333333334
6.568333333333333,6.568333333333333
6.738333333333334,6.738333333333334
6.828333333333334,6.828333333333334
6.958333333333334,6.958333333333334
7.025,7.025
7.1883333333333335,7.1883333333333335
7.283333333333334,7.283333333333334
7.408333333333334,7.408333333333334
7.483333333333333,7.483333333333333
7.653333333333334,7.653333333333334
7.668333333333334,7.668333333333334
7.888333333333334,7.888333333333334
