frame_id,video_group,json_path,json_sha256,declared_width,declared_height,image_path,has_embedded_image,group_count,shape_count,scored_shapes,image_decoded,image_size_matches,pixel_sha256,exact_review_pixel_overlap,label_issues,yolo_exists,yolo_parse_ok,yolo_instances,yolo_sha256,max_point_delta_px,max_box_delta_px,same_instance_count
16170075_frame_000000,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000000.json,d63589dc0ca25cb065394bd40dcb8130ceb3082adf6733fd5213cf8b49663b9b,1080,1440,16170075_frame_000000.jpg,True,1,3,3,True,True,6448f77b62727f4762e7e56b960ec6b43d265b27e9dd593aeb4150acf896e68e,,,True,True,1,04dd6c8c3bd426bdccd931df8d7981fd96722db38dcd21542a2d43f016c8cefc,8.545127865631915,2.9601571289061894,True
16170075_frame_000003,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000003.json,9d808ead1641a8265d8edd01560ff289aa3791410b6a53d9e0a63bdc92804165,1080,1440,16170075_frame_000003.jpg,True,1,3,3,True,True,8e8fc073c40fe0afd3f76c8965eaa43aa892a147d77b74ec5e47cbd0046b0cfd,,,True,True,1,c50f00c37ae49df42200ebbc8fe2b27dff78591d796bebe2d3237d685bd37f5b,8.601627836636528,4.4878082519530835,True
16170075_frame_000006,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000006.json,bdb45c620327892ba901cbc673b777b7fef45537f01646cdeb5927d9662da030,1080,1440,16170075_frame_000006.jpg,True,1,3,3,True,True,4b1ea180f7137f909a14a15642c84f12d589fd4892497cdb88b511c43e3e2c76,,,True,True,1,4aa1fd3f757b4b63c513edcb2eda12cb4ffe78d4dd6cdc75001a2eaef50fdde1,8.549059924927407,5.305253686523429,True
16170075_frame_000009,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000009.json,1b4a2cae7814776ed5aea8220b181527c98584cb46085789d675e5d3291f6b08,1080,1440,16170075_frame_000009.jpg,True,1,3,3,True,True,9e4c7cb11045a1f42c26182efb14d80b734a4d41b9b8bc9ef334d09296676a60,,,True,True,1,be91e9a191ebab7ac99bef85b1e9e045eda9bd0a257432db686d7d709a761787,12.044617646069126,10.205517370605435,True
16170075_frame_000012,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000012.json,65c7408abcd2e1a2980431e21692fb928f4f0d38236ed20de37cc6dd731b88a5,1080,1440,16170075_frame_000012.jpg,True,1,3,3,True,True,b612731b90fd1e8f5feff0accdc81e76a514b5d7dcac9f9ce87f484b7bbd89f9,,,True,True,1,0139d31956147b4868c3ab9a4dfc5d2145bee5c109ef872761de4a8a44ed1332,15.29643129099072,4.021359576415989,True
16170075_frame_000015,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000015.json,8c7f4fce1e03547ad6a6ef4c53885492613cfbc4257d09b267209b59549970f8,1080,1440,16170075_frame_000015.jpg,True,1,3,3,True,True,db05cfa677366636ad1ed6c78132f75a587e7385cb286f994faa8a3eca667891,,,True,True,1,923cd875a7450bd0bf5c5154bfd13741fc6eb5a57449a477b8ef6fbc70c98233,7.618084588661373,6.795294653320298,True
16170075_frame_000018,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000018.json,d56c70e959352b564e5a6d907bb68f3bdcf9eac036fdb8fe888e604f125a7c80,1080,1440,16170075_frame_000018.jpg,True,1,3,3,True,True,64fd2b489e2892358d0a8644d1e4ee7acc34dbd8ef1516bef819114c30e268f4,,,True,True,1,6dff51306bdebd2532df0191b83632a8cd2a5c2cddaf8a94f1cadc13ed4b58d7,12.372809414195299,11.739883447265584,True
16170075_frame_000021,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000021.json,6efc4e9039cdf2c88a34ee3a4d05578c292a749856575eb4aea5a44bbd9ed1ae,1080,1440,16170075_frame_000021.jpg,True,1,3,3,True,True,0301aec4323d5eaa86600067bfbf75ff2e832e8c7e2ee412bec2c298aae0f1c6,,,True,True,1,234fb4a97606aa80e68518909292d094e0292cb1ddf3bc5784acb1311ef42f5b,11.704837399981301,4.179747436523371,True
16170075_frame_000024,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000024.json,44445c5589629d7b00a937d2e4f43508a17bed3e7d01b56f299e913549dee524,1080,1440,16170075_frame_000024.jpg,True,1,3,3,True,True,e2660df5ffadbc193df9e33045642872fd088d37a285fd93718cccf7406816ba,,,True,True,1,67817c6ae5230dcd54b1795d5b72f990db02b0fb148ff09e5e408c9fccd83d6b,6.078949435552115,10.234501391601611,True
16170075_frame_000027,16170075,E:\real\use_code\yoloV8\Dataset_new\label_labelme_手工标注\16170075_frame_000027.json,1837e5d4e9b8d5092142b3b618fa5c1b060cf2be480cf649a8be4a1c3e1e7885,1080,1440,16170075_frame_000027.jpg,True,1,3,3,True,True,f6e47a4531fa0835db9b2a55f85658abd1539e670b4fbd5919761923f1300ae4,,,True,True,1,821acb3fda86b1084fb0fb74b0e221db0f2bd0e52c20c05d5cf81b95c1f355be,12.998400221565733,9.912139892578125,True
