grid_index,time_seconds,is_human_reference
8,0.9195402298850576,False
21,2.4137931034482762,False
31,3.563218390804598,False
49,5.6321839080459775,False
62,7.126436781609196,False
73,8.39080459770115,False
83,9.540229885057473,False
100,11.49425287356322,False
113,12.988505747126437,False
126,14.482758620689657,False
134,15.402298850574715,False
150,17.24137931034483,False
159,18.27586206896552,False
175,20.114942528735632,False
187,21.49425287356322,False
207,23.793103448275865,False
218,25.05747126436782,False
242,27.81609195402299,False
