grid_index,time_seconds,is_human_reference
8,0.9195402298850576,False
17,1.9540229885057472,False
28,3.218390804597701,False
38,4.367816091954023,False
45,5.172413793103448,False
57,6.551724137931035,False
65,7.471264367816093,False
76,8.735632183908047,False
92,10.574712643678161,False
103,11.839080459770116,False
114,13.10344827586207,False
138,15.862068965517242,False
156,17.931034482758623,False
165,18.965517241379313,False
174,20.0,False
186,21.379310344827587,False
198,22.758620689655174,False
215,24.712643678160923,False
