cohort,n,clusters,delta_mae_on_minus_off,ci95_low,ci95_high
jiufu271,173,126,-0.17341040462427745,-0.7368421052631579,0.36464250893727657
lindian49,47,47,-1.4490913418719293,-2.897589369567627,-0.21373015017274902
