cohort,arm,tp,fp,fn,precision,recall,f1,clusters,draws,seed,delta_f1_ci_low,delta_f1_ci_high,n,rr_r2,rr_mae_bpm,rr_rmse_bpm,count_mae,exact_count,within_one_count,mean_count_accuracy_percent,bias_bpm,loa_low_bpm,loa_high_bpm
lindian49,F_off,824,263,303,0.7580496780128795,0.7311446317657497,0.7443541102077688,47.0,2000.0,20260921.0,-0.02642801111089601,0.008790610411585183,47,0.60457462737323,4.427146815862863,7.067675125661319,2.2127659574468086,11,24,90.72728598446596,-1.7047491530436378,-15.293727282605202,11.884228976517926
lindian49,F_on,857,292,270,0.7458659704090513,0.7604259094942325,0.7530755711775043,,,,,,47,0.8909020547292684,2.978055473990933,3.712381482817837,1.4893617021276595,9,26,93.61415010361091,0.9353518966966645,-6.1823032277526915,8.053007021146021
jiufu271,F_off,1273,998,1757,0.5605460149713782,0.42013201320132015,0.48028673835125446,144.0,2000.0,20260921.0,-0.027947472967174147,0.0035972904686949886,173,0.39028481394367043,5.329479768786127,8.053290714327888,2.6647398843930636,35,77,80.17807667930528,-2.161849710982659,-17.41107696327015,13.087377541304832
jiufu271,F_on,1324,1028,1706,0.5629251700680272,0.43696369636963694,0.4920104050538833,,,,,,173,0.4196293950907666,5.15606936416185,7.857105322333587,2.578034682080925,38,77,80.70793828218315,-1.2254335260115607,-16.481059901010426,14.030192848987303
