video_id,tp,fp,fn
16170075,17,9,11
170272,19,7,5
170333,11,7,5
170334,5,13,13
177395,34,1,2
190546,7,17,14
190588,14,10,9
196434,6,9,10
200713,16,4,2
200718,14,6,3
210989,17,2,1
211056,17,9,7
211070,19,9,9
ba170296,15,3,3
ba177610,20,3,3
ba455,22,7,5
ba6516,17,7,5
bs0514,17,5,4
bs170227,13,5,6
bs177611,14,5,5
bs189556,5,7,8
bs190624,25,3,2
bs200673,33,0,0
bs200794,20,9,9
bs210974,13,9,15
bs211046,13,6,6
bs211063,30,2,2
bs450,27,4,6
bs455,17,5,4
bs4717,26,5,4
bs6516,15,3,3
ns170082,27,2,2
ns179166,33,2,1
ns196527,27,10,6
ns200886,24,6,4
ns210947,16,10,8
ns211003,17,3,4
ns211095,16,10,7
ns211146,21,10,7
zs170236,25,8,5
zs170416,17,4,5
zs170554,20,3,3
zs190621,14,6,7
zs197000,17,3,9
zs200751,27,2,2
zs200783,15,7,6
zs211062,13,7,3
