video_id,frame_index,image,sha256
170333,82,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\170333\frame_000082.jpg,fd82a38c97d1fa08af9d70b8b859e50b17d9cbb15b651b0117a9a588facbf5d7
170333,83,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\170333\frame_000083.jpg,74cd3b34f6c717fe98ffeabc1dc4092afdb0606b045d0706ed4ce8c2cd5b7e34
200713,230,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200713\frame_000230.jpg,36037ee6d44effa8ff1b5d4ddb94da2ef12753377b0c06d948e015d7e50b4269
200718,167,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000167.jpg,e9e0acf7e828c6f08167deb3151728a6fc71ff616138058608e7efbef6bf0c52
200718,189,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000189.jpg,24fb0ec14cff0090f7ac1597fa3e98054add9ad687b647ec1cd006266dfb3cdd
200718,191,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000191.jpg,aee4794f374e4b553b84d4a587b376b6da51a147a59cb79edbef185f79b0c4f0
200718,197,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000197.jpg,b1328763476463427194867c6b44206b9aa1e1533f8e5dff90b511010d31cff9
200718,198,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000198.jpg,67eecfb1e15233b989bc0d708a2b9dff246955826e60adefc919c83bccf992bc
200718,199,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\200718\frame_000199.jpg,5ad130532be7bce1a757f23017db94ca351bc2eccd00c8e87a3c8fd63b32f7ff
ba455,121,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ba455\frame_000121.jpg,d85db3e0dac838c4bf7537168c182742470453922ae9cba1ab11f5e92ddac76a
ba455,122,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ba455\frame_000122.jpg,33fff33df290de019e298390d0ed565fcfb8c6dc19769f3ab0b409db4ce208bf
ba455,123,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ba455\frame_000123.jpg,856304efa1d2cbf4667e66fc1f2082903dbe34593e47ea19ed56f6c5a4e0ea12
bs455,42,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\bs455\frame_000042.jpg,502c80eecc3ef125e432211f15849d6197cca27a0df7eab4b3e892855694252c
ns170082,253,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns170082\frame_000253.jpg,1b61a7e4c2884494876299ad0043196f3e499f4709729514af7fe83b5ddf7470
ns170082,254,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns170082\frame_000254.jpg,4098376c375a1e6c7b1c945ee51d181160aa230ec0d38692987f81cd93aa8eeb
ns200886,31,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns200886\frame_000031.jpg,0e289edc8e4dccd2766263438b4417353c78502374fb1f54ad9b890d258b6dbe
ns200886,32,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns200886\frame_000032.jpg,31a346ef841680a4c49a2eb52844528a09e6f174f06b9af92e81db3379482658
ns200886,180,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns200886\frame_000180.jpg,ade694f0ab9d0920c5ae0759a7eb4f58b43d8c3510752c988a95e00c07060c6a
ns210947,238,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns210947\frame_000238.jpg,216d0663778ed86a749a40087f2e52f633fa4227132bb7162adceff0452d0024
ns210947,239,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\ns210947\frame_000239.jpg,976cc2d0b8d96d27e8bc79f700cb0d7b6f81dd6d21b542b1c3a673ae45b26e74
zs211062,9,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\zs211062\frame_000009.jpg,f50c674ae5ece210f58f3ac9bef24be96a30ed71a76cc4e5201eb955c807c796
zs211062,10,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\zs211062\frame_000010.jpg,207dfcad791cea3ac56ec6eb78814871344f1a92eec5aad61fcc791c01b01064
zs211062,9,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\zs211062\frame_000009.jpg,f50c674ae5ece210f58f3ac9bef24be96a30ed71a76cc4e5201eb955c807c796
zs211062,10,E:\real\use_code\yoloV8\Dataset_new\72video\lindian_anchored30_frames\zs211062\frame_000010.jpg,207dfcad791cea3ac56ec6eb78814871344f1a92eec5aad61fcc791c01b01064
