cohort,candidate,control,delta_mae_bpm,delta_mae_ci95_low,delta_mae_ci95_high,bootstrap_clusters,bootstrap_draws,bootstrap_seed
anchored49,C1P0,C0P0,-0.42720391068610153,-1.8326083929497663,0.6801011131548406,47,10000,20260924
anchored49,C0P1,C0P0,-0.08586248841842417,-0.5966769764006379,0.42421307081282655,47,10000,20260924
anchored49,C1P1,C0P0,-0.42779525594283885,-1.8338182566022612,0.7223948849441058,47,10000,20260924
anchored49,C1P1,C0P1,-0.34193276752441465,-1.5343854088645303,0.6365448396842157,47,10000,20260924
anchored49,C1P1,C1P0,-0.0005913452567372883,-0.6387326616401968,0.6379641749555318,47,10000,20260924
internal73,C1P0,C0P0,-0.41392397556781113,-1.1919527960623848,0.3479526181580974,73,10000,20260924
internal73,C0P1,C0P0,-0.4379707050939929,-1.0320494573919232,0.09996738421395938,73,10000,20260924
internal73,C1P1,C0P0,-1.2521793275217932,-2.0972914072229143,-0.48161841012868434,73,10000,20260924
internal73,C1P1,C0P1,-0.8142086224278005,-1.4431388246456738,-0.22246931151040747,73,10000,20260924
internal73,C1P1,C1P0,-0.8382553519539822,-1.4999340271600548,-0.2631797426317975,73,10000,20260924
