grid_index,time_seconds,is_human_reference
10,1.149425287356322,False
32,3.6781609195402303,False
44,5.057471264367816,False
65,7.471264367816093,False
81,9.310344827586208,False
89,10.229885057471265,False
101,11.609195402298852,False
115,13.218390804597702,False
131,15.057471264367818,False
145,16.666666666666668,False
163,18.73563218390805,False
177,20.344827586206897,False
189,21.724137931034484,False
205,23.5632183908046,False
224,25.74712643678161,False
237,27.24137931034483,False
254,29.195402298850578,False
