frame_id,seed_variant,keypoint,choice,score
R3-02_t00,baseline,0,0,0.0226225173444341
R3-02_t00,baseline,0,1,0.48124394738065845
R3-02_t00,baseline,0,2,0.5591162180414919
R3-02_t00,baseline,0,3,0.23793266989123651
R3-02_t00,baseline,0,4,0.5368529254908019
R3-02_t00,frozen_roi,0,0,0.0226225173444341
R3-02_t00,frozen_roi,0,1,0.48124394738065845
R3-02_t00,frozen_roi,0,2,0.5591162180414919
R3-02_t00,frozen_roi,0,3,0.23793266989123651
R3-02_t00,frozen_roi,0,4,0.5368529254908019
R3-02_t00,frozen_roi,1,0,0.028285279219325332
R3-02_t00,frozen_roi,1,1,0.37399325202360956
R3-02_t00,frozen_roi,1,2,0.03577986049195658
R3-02_t00,frozen_roi,1,3,0.23198782306656085
R3-02_t00,frozen_roi,1,4,0.504614960588583
R3-02_t10,baseline,0,0,0.33303657274242937
R3-02_t10,baseline,0,1,0.20047714056791577
R3-02_t10,baseline,0,2,0.6429740469439693
R3-02_t10,baseline,0,3,0.46166692012827326
R3-02_t10,baseline,0,4,0.21094140689519847
R3-02_t10,baseline,1,0,0.7576931737145358
R3-02_t10,baseline,1,1,1.2814233973856268
R3-02_t10,baseline,1,2,0.0932031971221221
R3-02_t10,baseline,1,3,0.6911760480345635
R3-02_t10,baseline,1,4,0.7005310193226109
R3-02_t10,frozen_roi,0,0,0.3616516434205188
R3-02_t10,frozen_roi,0,1,0.25263738384819234
R3-02_t10,frozen_roi,0,2,0.7891031825891979
R3-02_t10,frozen_roi,0,3,0.405497201779788
R3-02_t10,frozen_roi,0,4,0.25581917034382684
R3-02_t10,frozen_roi,1,0,0.7982240713610977
R3-02_t10,frozen_roi,1,1,1.3854271429189815
R3-02_t10,frozen_roi,1,2,0.10991311043714802
R3-02_t10,frozen_roi,1,3,0.7137452871892016
R3-02_t10,frozen_roi,1,4,0.7266535842509327
R3-02_t15,baseline,0,0,0.42431188528746944
R3-02_t15,baseline,0,1,0.024890300322574888
R3-02_t15,baseline,0,2,0.6234291945679367
R3-02_t15,baseline,0,3,0.26863253147707766
R3-02_t15,baseline,0,4,0.005044428959358527
R3-02_t15,baseline,1,0,0.4313293993430669
R3-02_t15,baseline,1,1,0.7004710586776248
R3-02_t15,baseline,1,2,0.13023636718460097
R3-02_t15,baseline,1,3,0.5655520590987031
R3-02_t15,baseline,1,4,0.4096099806719238
R3-02_t15,frozen_roi,0,0,0.406796276865542
R3-02_t15,frozen_roi,0,1,0.023069768067944807
R3-02_t15,frozen_roi,0,2,0.7309798308305986
R3-02_t15,frozen_roi,0,3,0.1293916553464669
R3-02_t15,frozen_roi,0,4,0.0233910039262355
R3-02_t15,frozen_roi,1,0,0.44432262957248625
R3-02_t15,frozen_roi,1,1,0.7980044032775737
R3-02_t15,frozen_roi,1,2,0.15869472346991387
R3-02_t15,frozen_roi,1,3,0.5386429229687266
R3-02_t15,frozen_roi,1,4,0.43984284036991284
R3-02_t20,baseline,0,0,0.14148346592298466
R3-02_t20,baseline,0,1,0.3072573320597094
R3-02_t20,baseline,0,2,0.631552224760533
R3-02_t20,baseline,0,3,0.06193907103765284
R3-02_t20,baseline,0,4,0.12485025542532213
R3-02_t20,baseline,1,0,0.324905873781951
R3-02_t20,baseline,1,1,0.9806417664294464
R3-02_t20,baseline,1,2,0.3920885994174199
R3-02_t20,baseline,1,3,0.3872022698565729
R3-02_t20,baseline,1,4,0.20997370014535477
R3-02_t20,frozen_roi,0,0,0.14148346592298466
R3-02_t20,frozen_roi,0,1,0.3072573320597094
R3-02_t20,frozen_roi,0,2,0.631552224760533
R3-02_t20,frozen_roi,0,3,0.06193907103765284
R3-02_t20,frozen_roi,0,4,0.12485025542532213
R3-02_t20,frozen_roi,1,0,0.324905873781951
R3-02_t20,frozen_roi,1,1,0.9806417664294464
R3-02_t20,frozen_roi,1,2,0.3920885994174199
R3-02_t20,frozen_roi,1,3,0.3872022698565729
R3-02_t20,frozen_roi,1,4,0.20997370014535477
R3-03_t00,baseline,0,0,0.6175460006097708
R3-03_t00,baseline,0,1,0.8959626454796776
R3-03_t00,baseline,0,2,1.1896416131987522
R3-03_t00,baseline,0,3,1.319808840592387
R3-03_t00,baseline,0,4,0.17888951992091506
R3-03_t25,baseline,0,0,0.3499342707626738
R3-03_t25,baseline,0,1,0.6091235794448124
R3-03_t25,baseline,0,2,0.9113936956653745
R3-03_t25,baseline,0,3,0.6587240535018104
R3-03_t25,baseline,0,4,0.4332507175624123
R3-03_t25,baseline,1,0,0.35521694026678574
R3-03_t25,baseline,1,1,0.48110758670403087
R3-03_t25,baseline,1,2,0.1299073965006734
R3-03_t25,baseline,1,3,0.08441701643861066
R3-03_t25,baseline,1,4,0.6446920479070428
R3-05_t10,baseline,1,0,0.08800147411482229
R3-05_t10,baseline,1,1,0.059337426276808714
R3-05_t10,baseline,1,2,0.2147098717223912
R3-05_t10,baseline,1,3,0.16032274355897513
R3-05_t10,baseline,1,4,0.17701223760885654
R3-05_t10,frozen_roi,1,0,0.035892578473625036
R3-05_t10,frozen_roi,1,1,0.01389796563920953
R3-05_t10,frozen_roi,1,2,0.15235409126078991
R3-05_t10,frozen_roi,1,3,0.10434729425282896
