video_id,arm,truth_count,predicted_count,count_error,tp,fp,fn,missing_direct_left,missing_direct_right
211056,C1P0,24,25,1,17,8,7,2,22
211056,C0P1,24,26,2,16,10,8,2,22
211056,C1P1,24,26,2,17,9,7,2,22
211070,C0P0,28,31,3,20,11,8,14,35
211070,C1P0,28,28,0,19,9,9,14,35
211070,C0P1,28,31,3,20,11,8,14,35
211070,C1P1,28,28,0,19,9,9,14,35
ba170296,C0P0,18,18,0,15,3,3,2,53
ba170296,C1P0,18,18,0,15,3,3,2,53
ba170296,C0P1,18,18,0,15,3,3,2,53
ba170296,C1P1,18,18,0,15,3,3,2,53
ba177610,C0P0,23,23,0,20,3,3,0,60
ba177610,C1P0,23,23,0,20,3,3,0,60
ba177610,C0P1,23,23,0,20,3,3,0,60
ba177610,C1P1,23,23,0,20,3,3,0,60
ba455,C0P0,27,30,3,23,7,4,0,14
ba455,C1P0,27,29,2,22,7,5,0,14
ba455,C0P1,27,30,3,23,7,4,0,14
ba455,C1P1,27,29,2,22,7,5,0,14
ba6516,C0P0,22,23,1,16,7,6,33,22
ba6516,C1P0,22,25,3,18,7,4,33,22
ba6516,C0P1,22,24,2,16,8,6,33,22
ba6516,C1P1,22,24,2,17,7,5,33,22
bs0514,C0P0,21,24,3,18,6,3,13,23
bs0514,C1P0,21,23,2,17,6,4,13,23
bs0514,C0P1,21,24,3,18,6,3,13,23
bs0514,C1P1,21,22,1,17,5,4,13,23
bs170227,C0P0,19,19,0,14,5,5,59,0
bs170227,C1P0,19,18,-1,13,5,6,59,0
bs170227,C0P1,19,19,0,14,5,5,59,0
bs170227,C1P1,19,18,-1,13,5,6,59,0
bs177611,C0P0,19,18,-1,14,4,5,12,12
bs177611,C1P0,19,18,-1,14,4,5,12,12
bs177611,C0P1,19,19,0,14,5,5,12,12
bs177611,C1P1,19,19,0,14,5,5,12,12
bs189556,C0P0,13,12,-1,6,6,7,46,43
bs189556,C1P0,13,12,-1,5,7,8,46,43
bs189556,C0P1,13,12,-1,6,6,7,46,43
bs189556,C1P1,13,12,-1,5,7,8,46,43
bs190624,C0P0,27,29,2,25,4,2,70,55
bs190624,C1P0,27,28,1,25,3,2,70,55
bs190624,C0P1,27,29,2,25,4,2,70,55
bs190624,C1P1,27,28,1,25,3,2,70,55
bs200673,C0P0,33,33,0,33,0,0,0,22
bs200673,C1P0,33,33,0,33,0,0,0,22
bs200673,C0P1,33,33,0,33,0,0,0,22
bs200673,C1P1,33,33,0,33,0,0,0,22
bs200794,C0P0,29,29,0,20,9,9,0,0
bs200794,C1P0,29,29,0,20,9,9,0,0
bs200794,C0P1,29,29,0,20,9,9,0,0
bs200794,C1P1,29,29,0,20,9,9,0,0
bs210974,C0P0,28,23,-5,12,11,16,32,28
bs210974,C1P0,28,22,-6,12,10,16,32,28
bs210974,C0P1,28,23,-5,13,10,15,32,28
bs210974,C1P1,28,22,-6,13,9,15,32,28
bs211046,C0P0,19,19,0,13,6,6,2,14
bs211046,C1P0,19,19,0,13,6,6,2,14
bs211046,C0P1,19,19,0,13,6,6,2,14
bs211046,C1P1,19,19,0,13,6,6,2,14
bs211063,C0P0,32,31,-1,29,2,3,0,0
bs211063,C1P0,32,31,-1,30,1,2,0,0
bs211063,C0P1,32,31,-1,29,2,3,0,0
bs211063,C1P1,32,32,0,30,2,2,0,0
bs450,C0P0,33,31,-2,28,3,5,30,36
bs450,C1P0,33,29,-4,26,3,7,30,36
bs450,C0P1,33,32,-1,28,4,5,30,36
