grid_index,time_seconds,is_human_reference
11,1.264367816091954,False
27,3.1034482758620694,False
38,4.367816091954023,False
49,5.6321839080459775,False
62,7.126436781609196,False
73,8.39080459770115,False
88,10.114942528735632,False
104,11.954022988505749,False
119,13.67816091954023,False
126,14.482758620689657,False
140,16.091954022988507,False
153,17.586206896551726,False
167,19.195402298850578,False
180,20.689655172413794,False
217,24.942528735632187,False
232,26.666666666666668,False
247,28.390804597701152,False
