grid_index,time_seconds,is_human_reference
5,0.574712643678161,False
20,2.298850574712644,False
48,5.517241379310345,False
61,7.011494252873564,False
70,8.045977011494253,False
94,10.804597701149426,False
113,12.988505747126437,False
129,14.827586206896553,False
145,16.666666666666668,False
154,17.70114942528736,False
167,19.195402298850578,False
174,20.0,False
187,21.49425287356322,False
192,22.06896551724138,False
200,22.98850574712644,False
205,23.5632183908046,False
225,25.862068965517242,False
241,27.70114942528736,False
