target_index,target_time_seconds,source_frame_index,source_time_seconds,nearest_time_error_seconds,reused_source_frame
0,0.0,0,0.0,0.0,False
1,0.1149425287356322,1,0.07166666666666667,0.043275862068965526,False
2,0.2298850574712644,2,0.22166666666666668,0.008218390804597714,False
3,0.3448275862068966,3,0.32666666666666666,0.018160919540229914,False
4,0.4597701149425288,4,0.45333333333333337,0.006436781609195419,False
5,0.574712643678161,5,0.515,0.05971264367816098,False
6,0.6896551724137931,6,0.685,0.004655172413793096,False
7,0.8045977011494253,7,0.7766666666666667,0.027931034482758577,False
8,0.9195402298850576,8,0.9033333333333334,0.016206896551724137,False
9,1.0344827586206897,9,0.9750000000000001,0.059482758620689635,False
10,1.149425287356322,10,1.1416666666666668,0.00775862068965516,False
11,1.264367816091954,11,1.2733333333333334,0.008965517241379395,False
12,1.3793103448275863,12,1.3216666666666668,0.05764367816091953,False
13,1.4942528735632186,13,1.5333333333333334,0.03908045977011487,False
14,1.6091954022988506,14,1.5850000000000002,0.02419540229885042,False
15,1.7241379310344829,15,1.7000000000000002,0.024137931034482696,False
16,1.8390804597701151,16,1.8250000000000002,0.014080459770114961,False
17,1.9540229885057472,17,1.9316666666666669,0.022356321839080318,False
18,2.0689655172413794,18,2.0683333333333334,0.0006321839080460911,False
19,2.1839080459770117,19,2.2883333333333336,0.10442528735632184,False
20,2.298850574712644,19,2.2883333333333336,0.010517241379310427,True
21,2.4137931034482762,21,2.3883333333333336,0.025459770114942604,False
22,2.528735632183908,22,2.5283333333333333,0.0004022988505747449,False
23,2.6436781609195403,24,2.646666666666667,0.002988505747126613,False
24,2.7586206896551726,25,2.8483333333333336,0.08971264367816101,False
25,2.873563218390805,25,2.8483333333333336,0.025229885057471257,True
26,2.988505747126437,26,2.966666666666667,0.021839080459770344,False
27,3.1034482758620694,27,3.0283333333333333,0.07511494252873607,False
28,3.218390804597701,28,3.2383333333333337,0.019942528735632514,False
29,3.3333333333333335,30,3.33,0.0033333333333334103,False
30,3.4482758620689657,31,3.4916666666666667,0.04339080459770095,False
31,3.563218390804598,31,3.4916666666666667,0.07155172413793132,True
32,3.6781609195402303,32,3.6683333333333334,0.009827586206896832,False
33,3.7931034482758625,33,3.711666666666667,0.08143678160919565,False
34,3.9080459770114944,34,3.891666666666667,0.016379310344827314,False
35,4.022988505747127,35,3.9383333333333335,0.08465517241379317,False
36,4.137931034482759,36,4.12,0.01793103448275879,False
37,4.252873563218391,37,4.171666666666667,0.0812068965517243,False
38,4.367816091954023,38,4.348333333333334,0.019482758620689822,False
39,4.482758620689656,39,4.431666666666667,0.05109195402298905,False
40,4.597701149425288,40,4.545,0.05270114942528803,False
41,4.71264367816092,41,4.673333333333334,0.03931034482758644,False
42,4.8275862068965525,42,4.836666666666667,0.009080459770114402,False
43,4.942528735632185,43,4.8933333333333335,0.04919540229885122,False
44,5.057471264367816,45,5.023333333333333,0.034137931034482705,False
45,5.172413793103448,46,5.305000000000001,0.1325862068965522,False
46,5.287356321839081,46,5.305000000000001,0.01764367816091994,True
47,5.402298850574713,48,5.453333333333334,0.0510344827586211,False
48,5.517241379310345,49,5.576666666666667,0.05942528735632191,False
49,5.6321839080459775,49,5.576666666666667,0.055517241379310356,True
50,5.74712643678161,50,5.748333333333334,0.0012068965517242347,False
51,5.862068965517242,52,5.908333333333334,0.04626436781609211,False
52,5.977011494252874,53,6.020000000000001,0.04298850574712709,False
53,6.0919540229885065,53,6.020000000000001,0.07195402298850517,True
54,6.206896551724139,54,6.196666666666667,0.010229885057471577,False
55,6.321839080459771,56,6.371666666666667,0.04982758620689598,False
56,6.436781609195402,57,6.3916666666666675,0.045114942528734936,False
57,6.551724137931035,58,6.5600000000000005,0.0082758620689658,False
58,6.666666666666667,59,6.721666666666667,0.054999999999999716,False
59,6.781609195402299,60,6.821666666666667,0.04005747126436798,False
60,6.8965517241379315,61,6.943333333333333,0.04678160919540186,False
61,7.011494252873564,62,7.0183333333333335,0.006839080459769775,False
62,7.126436781609196,63,7.173333333333334,0.04689655172413776,False
63,7.241379310344828,63,7.173333333333334,0.06804597701149451,True
64,7.356321839080461,65,7.356666666666667,0.0003448275862067973,False
65,7.471264367816093,66,7.581666666666667,0.11040229885057418,False
66,7.586206896551725,66,7.581666666666667,0.004540229885058089,True
67,7.701149425287357,68,7.736666666666667,0.035517241379309894,False
68,7.816091954022989,69,7.86,0.04390804597701159,False
69,7.931034482758621,70,7.995,0.06396551724137911,False
70,8.045977011494253,71,8.085,0.03902298850574759,False
71,8.160919540229886,72,8.193333333333333,0.03241379310344783,False
72,8.275862068965518,73,8.305,0.029137931034481923,False
73,8.39080459770115,74,8.393333333333334,0.0025287356321843646,False
74,8.505747126436782,75,8.543333333333333,0.03758620689655068,False
75,8.620689655172415,76,8.651666666666667,0.030977011494252693,False
76,8.735632183908047,77,8.776666666666667,0.04103448275862043,False
77,8.85057471264368,78,8.881666666666668,0.031091954022988588,False
78,8.965517241379311,79,9.006666666666668,0.04114942528735632,False
79,9.080459770114944,80,9.073333333333334,0.007126436781609513,False
80,9.195402298850576,81,9.143333333333334,0.052068965517241494,False
81,9.310344827586208,81,9.143333333333334,0.16701149425287376,True
82,9.42528735632184,82,9.635,0.20971264367815934,False
83,9.540229885057473,82,9.635,0.09477011494252707,True
84,9.655172413793105,83,9.651666666666667,0.003505747126437697,False
85,9.770114942528737,84,9.738333333333333,0.03178160919540396,False
86,9.88505747126437,86,9.936666666666667,0.051609195402297914,False
87,10.0,87,9.993333333333334,0.0066666666666659324,False
88,10.114942528735632,88,10.166666666666668,0.051724137931035585,False
89,10.229885057471265,89,10.206666666666667,0.023218390804597533,False
90,10.344827586206897,90,10.39,0.04517241379310377,False
91,10.459770114942529,91,10.440000000000001,0.019770114942527783,False
92,10.574712643678161,92,10.586666666666668,0.011954022988506452,False
93,10.689655172413794,93,10.716666666666667,0.02701149425287319,False
94,10.804597701149426,94,10.781666666666668,0.022931034482757795,False
95,10.919540229885058,95,10.936666666666667,0.0171264367816093,False
96,11.03448275862069,96,11.038333333333334,0.0038505747126436063,False
97,11.149425287356323,97,11.163333333333334,0.01390804597701134,False
98,11.264367816091955,98,11.235000000000001,0.029367816091953713,False
99,11.379310344827587,99,11.4,0.02068965517241317,False
100,11.49425287356322,100,11.493333333333334,0.000919540229885385,False
101,11.609195402298852,101,11.626666666666667,0.01747126436781521,False
102,11.724137931034484,102,11.791666666666668,0.06752873563218387,False
103,11.839080459770116,103,11.845,0.00591954022988439,False
104,11.954022988505749,104,11.956666666666667,0.0026436781609184834,False
105,12.06896551724138,105,11.993333333333334,0.07563218390804671,False
106,12.183908045977013,106,12.258333333333335,0.07442528735632159,False
107,12.298850574712645,107,12.301666666666668,0.002816091954022326,False
108,12.413793103448278,108,12.421666666666667,0.007873563218389279,False
109,12.52873563218391,109,12.436666666666667,0.09206896551724242,False
110,12.643678160919542,110,12.711666666666668,0.06798850574712567,False
111,12.758620689655173,111,12.755,0.003620689655171816,False
