target_index,target_time_seconds,source_frame_index,source_time_seconds,nearest_time_error_seconds,reused_source_frame
0,0.0,0,0.0,0.0,False
1,0.1149425287356322,1,0.10333333333333335,0.01160919540229885,False
2,0.2298850574712644,2,0.20500000000000002,0.024885057471264377,False
3,0.3448275862068966,3,0.33,0.01482758620689656,False
4,0.4597701149425288,4,0.4,0.05977011494252876,False
5,0.574712643678161,5,0.5583333333333333,0.016379310344827647,False
6,0.6896551724137931,6,0.68,0.0096551724137931,False
7,0.8045977011494253,7,0.7916666666666667,0.012931034482758563,False
8,0.9195402298850576,8,0.8916666666666667,0.02787356321839085,False
9,1.0344827586206897,9,1.0183333333333333,0.01614942528735641,False
10,1.149425287356322,10,1.1800000000000002,0.03057471264367817,False
11,1.264367816091954,11,1.2516666666666667,0.012701149425287328,False
12,1.3793103448275863,12,1.3050000000000002,0.07431034482758614,False
13,1.4942528735632186,13,1.4716666666666667,0.022586206896551886,False
14,1.6091954022988506,14,1.5833333333333335,0.025862068965517127,False
15,1.7241379310344829,15,1.6916666666666669,0.032471264367816,False
16,1.8390804597701151,16,1.8266666666666669,0.012413793103448256,False
17,1.9540229885057472,17,1.9566666666666668,0.0026436781609195936,False
18,2.0689655172413794,18,2.0433333333333334,0.025632183908046002,False
19,2.1839080459770117,19,2.1383333333333336,0.04557471264367807,False
20,2.298850574712644,20,2.27,0.02885057471264396,False
21,2.4137931034482762,22,2.4116666666666666,0.0021264367816096197,False
22,2.528735632183908,23,2.6166666666666667,0.08793103448275863,False
23,2.6436781609195403,23,2.6166666666666667,0.027011494252873636,True
24,2.7586206896551726,24,2.8216666666666668,0.06304597701149417,False
25,2.873563218390805,26,2.8850000000000007,0.011436781609195812,False
26,2.988505747126437,27,3.0733333333333337,0.08482758620689657,False
27,3.1034482758620694,27,3.0733333333333337,0.0301149425287357,True
28,3.218390804597701,28,3.1833333333333336,0.035057471264367646,False
29,3.3333333333333335,29,3.31,0.023333333333333428,False
30,3.4482758620689657,30,3.3666666666666667,0.08160919540229905,False
31,3.563218390804598,32,3.56,0.0032183908045979592,False
32,3.6781609195402303,33,3.7550000000000003,0.07683908045977006,False
33,3.7931034482758625,34,3.8200000000000003,0.02689655172413774,False
34,3.9080459770114944,35,3.99,0.08195402298850585,False
35,4.022988505747127,35,3.99,0.03298850574712642,True
36,4.137931034482759,36,4.088333333333334,0.04959770114942508,False
37,4.252873563218391,37,4.198333333333333,0.05454022988505791,False
38,4.367816091954023,38,4.323333333333333,0.04448275862069018,False
39,4.482758620689656,39,4.433333333333334,0.04942528735632212,False
40,4.597701149425288,40,4.550000000000001,0.04770114942528725,False
41,4.71264367816092,41,4.681666666666667,0.03097701149425358,False
42,4.8275862068965525,43,4.833333333333334,0.005747126436781436,False
43,4.942528735632185,44,5.036666666666667,0.09413793103448231,False
44,5.057471264367816,44,5.036666666666667,0.020804597701149063,True
45,5.172413793103448,45,5.125,0.0474137931034484,False
46,5.287356321839081,46,5.238333333333333,0.04902298850574738,False
47,5.402298850574713,48,5.415,0.012701149425287106,False
48,5.517241379310345,49,5.546666666666667,0.02942528735632166,False
49,5.6321839080459775,50,5.611666666666667,0.020517241379310214,False
50,5.74712643678161,51,5.816666666666667,0.06954022988505759,False
51,5.862068965517242,51,5.816666666666667,0.045402298850574674,True
52,5.977011494252874,52,5.918333333333334,0.05867816091954037,False
53,6.0919540229885065,54,6.106666666666667,0.01471264367816083,False
54,6.206896551724139,55,6.178333333333334,0.028563218390805112,False
55,6.321839080459771,56,6.343333333333334,0.021494252873562658,False
56,6.436781609195402,57,6.398333333333333,0.038448275862069003,False
57,6.551724137931035,58,6.621666666666667,0.06994252873563234,False
58,6.666666666666667,59,6.683333333333334,0.016666666666666607,False
59,6.781609195402299,60,6.838333333333334,0.05672413793103459,False
60,6.8965517241379315,60,6.838333333333334,0.058218390804597675,True
61,7.011494252873564,62,7.0600000000000005,0.04850574712643674,False
62,7.126436781609196,63,7.176666666666667,0.050229885057470725,False
63,7.241379310344828,64,7.24,0.0013793103448280775,False
64,7.356321839080461,65,7.413333333333334,0.05701149425287344,False
65,7.471264367816093,66,7.526666666666667,0.05540229885057446,False
66,7.586206896551725,67,7.545000000000001,0.04120689655172427,False
67,7.701149425287357,68,7.758333333333334,0.057183908045976395,False
68,7.816091954022989,68,7.758333333333334,0.05775862068965498,True
69,7.931034482758621,69,7.901666666666667,0.029367816091953713,False
70,8.045977011494253,71,8.083333333333334,0.037356321839080664,False
71,8.160919540229886,72,8.211666666666668,0.05074712643678225,False
72,8.275862068965518,73,8.306666666666667,0.03080459770114885,False
73,8.39080459770115,74,8.421666666666667,0.030862068965516798,False
74,8.505747126436782,75,8.546666666666667,0.04091954022988453,False
75,8.620689655172415,76,8.611666666666666,0.00902298850574823,False
76,8.735632183908047,77,8.673333333333334,0.06229885057471307,False
77,8.85057471264368,78,8.891666666666667,0.041091954022988375,False
78,8.965517241379311,79,8.988333333333333,0.0228160919540219,False
79,9.080459770114944,80,9.061666666666667,0.018793103448276227,False
80,9.195402298850576,81,9.131666666666668,0.06373563218390821,False
81,9.310344827586208,82,9.353333333333333,0.042988505747125316,False
82,9.42528735632184,83,9.406666666666668,0.018620689655172384,False
83,9.540229885057473,84,9.568333333333333,0.028103448275860643,False
84,9.655172413793105,85,9.686666666666667,0.031494252873562445,False
85,9.770114942528737,86,9.746666666666668,0.023448275862069323,False
86,9.88505747126437,87,9.92,0.03494252873563042,False
87,10.0,88,10.018333333333334,0.018333333333334423,False
88,10.114942528735632,89,10.126666666666667,0.011724137931034662,False
89,10.229885057471265,90,10.158333333333333,0.07155172413793132,False
90,10.344827586206897,91,10.383333333333335,0.03850574712643784,False
91,10.459770114942529,91,10.383333333333335,0.07643678160919443,True
92,10.574712643678161,93,10.595,0.02028735632183931,False
93,10.689655172413794,94,10.686666666666667,0.002988505747126169,False
94,10.804597701149426,95,10.823333333333334,0.01873563218390828,False
95,10.919540229885058,96,10.941666666666668,0.02212643678161008,False
96,11.03448275862069,97,11.05,0.01551724137931032,False
97,11.149425287356323,98,11.158333333333333,0.008908045977010559,False
98,11.264367816091955,99,11.286666666666667,0.022298850574712148,False
99,11.379310344827587,100,11.388333333333334,0.009022988505746454,False
100,11.49425287356322,101,11.506666666666668,0.012413793103448256,False
101,11.609195402298852,102,11.553333333333335,0.05586206896551715,False
102,11.724137931034484,103,11.721666666666668,0.002471264367816417,False
103,11.839080459770116,104,11.806666666666667,0.032413793103449606,False
104,11.954022988505749,105,11.876666666666667,0.07735632183908159,False
105,12.06896551724138,106,12.086666666666668,0.017701149425287,False
106,12.183908045977013,108,12.211666666666668,0.027758620689654734,False
107,12.298850574712645,108,12.211666666666668,0.08718390804597753,True
108,12.413793103448278,109,12.426666666666668,0.01287356321839006,False
109,12.52873563218391,110,12.518333333333334,0.01040229885057542,False
110,12.643678160919542,111,12.598333333333334,0.045344827586207614,False
111,12.758620689655173,112,12.761666666666667,0.0030459770114941165,False
112,12.873563218390805,113,12.861666666666668,0.011896551724136728,False
113,12.988505747126437,114,12.938333333333334,0.05017241379310278,False
114,13.10344827586207,115,13.100000000000001,0.003448275862067973,False
115,13.218390804597702,116,13.223333333333334,0.004942528735632834,False
116,13.333333333333334,117,13.236666666666668,0.09666666666666579,False
117,13.448275862068966,118,13.456666666666667,0.008390804597700807,False
118,13.563218390804598,119,13.551666666666668,0.011551724137930819,False
119,13.67816091954023,120,13.658333333333335,0.01982758620689573,False
120,13.793103448275863,121,13.788333333333334,0.004770114942528991,False
121,13.908045977011495,122,13.893333333333334,0.01471264367816083,False
122,14.022988505747128,123,14.003333333333334,0.019655172413793665,False
123,14.13793103448276,124,14.196666666666667,0.05873563218390743,False
124,14.252873563218392,125,14.243333333333334,0.009540229885057983,False
125,14.367816091954024,126,14.343333333333334,0.024482758620690603,False
126,14.482758620689657,128,14.486666666666668,0.003908045977011554,False
127,14.597701149425289,129,14.696666666666667,0.09896551724137836,False
128,14.712643678160921,129,14.696666666666667,0.0159770114942539,True
129,14.827586206896553,130,14.853333333333333,0.02574712643678012,False
130,14.942528735632186,132,14.946666666666667,0.004137931034481568,False
131,15.057471264367818,133,15.146666666666668,0.08919540229885037,False
132,15.17241379310345,133,15.146666666666668,0.025747126436781897,True
133,15.287356321839082,134,15.260000000000002,0.027356321839080877,False
134,15.402298850574715,136,15.398333333333335,0.0039655172413795015,False
135,15.517241379310347,137,15.608333333333334,0.09109195402298731,False
136,15.632183908045977,137,15.608333333333334,0.02385057471264318,True
137,15.74712643678161,138,15.675,0.07212643678160902,False
138,15.862068965517242,139,15.836666666666668,0.025402298850574212,False
139,15.977011494252874,140,15.938333333333334,0.038678160919539906,False
140,16.091954022988507,141,16.058333333333334,0.03362068965517295,False
141,16.20689655172414,142,16.138333333333335,0.06856321839080337,False
142,16.32183908045977,143,16.28666666666667,0.03517241379310221,False
143,16.436781609195403,145,16.48166666666667,0.04488505747126581,False
144,16.551724137931036,145,16.48166666666667,0.07005747126436646,True
145,16.666666666666668,146,16.62666666666667,0.03999999999999915,False
146,16.7816091954023,147,16.73166666666667,0.04994252873563099,False
147,16.896551724137932,148,16.861666666666668,0.03488505747126425,False
148,17.011494252873565,149,16.976666666666667,0.034827586206898076,False
149,17.126436781609197,150,17.085,0.04143678160919606,False
150,17.24137931034483,151,17.26,0.018620689655172384,False
151,17.35632183908046,152,17.316666666666666,0.039655172413795015,False
152,17.471264367816094,153,17.42666666666667,0.044597701149424296,False
153,17.586206896551726,154,17.546666666666667,0.03954022988505912,False
154,17.70114942528736,155,17.671666666666667,0.029482758620691385,False
155,17.81609195402299,156,17.76,0.056091954022988944,False
156,17.931034482758623,157,17.888333333333335,0.042701149425287355,False
157,18.045977011494255,159,18.093333333333334,0.047356321839078674,False
158,18.160919540229887,160,18.228333333333335,0.06741379310344797,False
159,18.27586206896552,161,18.303333333333335,0.027471264367814996,False
160,18.390804597701152,162,18.37,0.02080459770115084,False
161,18.505747126436784,163,18.538333333333334,0.032586206896549896,False
162,18.620689655172416,164,18.60666666666667,0.014022988505747236,False
163,18.73563218390805,165,18.818333333333335,0.0827011494252865,False
164,18.85057471264368,166,18.868333333333336,0.017758620689654947,False
165,18.965517241379313,167,19.026666666666667,0.06114942528735412,False
166,19.080459770114945,167,19.026666666666667,0.053793103448278146,True
167,19.195402298850578,169,19.215,0.019597701149422164,False
168,19.31034482758621,170,19.368333333333336,0.057988505747125885,False
169,19.425287356321842,170,19.368333333333336,0.05695402298850638,True
170,19.540229885057474,172,19.505000000000003,0.03522988505747193,False
171,19.655172413793107,173,19.718333333333334,0.06316091954022696,False
172,19.77011494252874,174,19.82166666666667,0.051551724137929966,False
173,19.885057471264368,174,19.82166666666667,0.06339080459769875,True
174,20.0,175,19.950000000000003,0.04999999999999716,False
175,20.114942528735632,177,20.168333333333333,0.053390804597700736,False
176,20.229885057471265,178,20.285,0.05511494252873561,False
177,20.344827586206897,179,20.298333333333336,0.04649425287356124,False
178,20.45977011494253,180,20.525000000000002,0.06522988505747307,False
179,20.57471264367816,181,20.616666666666667,0.04195402298850581,False
180,20.689655172413794,182,20.738333333333333,0.04867816091953969,False
181,20.804597701149426,183,20.853333333333335,0.048735632183909416,False
182,20.919540229885058,184,20.958333333333336,0.03879310344827758,False
183,21.03448275862069,185,21.080000000000005,0.04551724137931501,False
184,21.149425287356323,185,21.080000000000005,0.06942528735631726,True
185,21.264367816091955,187,21.268333333333334,0.0039655172413795015,False
186,21.379310344827587,188,21.331666666666667,0.04764367816092019,False
187,21.49425287356322,189,21.541666666666668,0.0474137931034484,False
188,21.60919540229885,190,21.638333333333335,0.0291379310344837,False
189,21.724137931034484,191,21.740000000000002,0.015862068965518006,False
190,21.839080459770116,192,21.84166666666667,0.002586206896552312,False
191,21.95402298850575,193,22.01666666666667,0.06264367816092076,False
192,22.06896551724138,194,22.063333333333336,0.005632183908044652,False
193,22.183908045977013,195,22.221666666666668,0.03775862068965452,False
194,22.298850574712645,196,22.33666666666667,0.037816091954024245,False
195,22.413793103448278,197,22.398333333333333,0.015459770114944149,False
196,22.52873563218391,198,22.561666666666667,0.03293103448275758,False
197,22.643678160919542,199,22.68166666666667,0.03798850574712631,False
198,22.758620689655174,199,22.68166666666667,0.07695402298850595,True
199,22.873563218390807,201,22.903333333333336,0.029770114942529347,False
200,22.98850574712644,202,23.006666666666668,0.018160919540228804,False
