target_index,target_time_seconds,source_frame_index,source_time_seconds,nearest_time_error_seconds,reused_source_frame
0,0.0,0,0.0,0.0,False
1,0.1149425287356322,1,0.03666666666666667,0.07827586206896553,False
2,0.2298850574712644,2,0.225,0.004885057471264387,False
3,0.3448275862068966,3,0.3516666666666667,0.006839080459770108,False
4,0.4597701149425288,4,0.5116666666666667,0.05189655172413793,False
5,0.574712643678161,5,0.5266666666666667,0.04804597701149427,False
6,0.6896551724137931,6,0.6900000000000002,0.00034482758620701937,False
7,0.8045977011494253,8,0.8116666666666668,0.0070689655172414545,False
8,0.9195402298850576,8,0.8116666666666668,0.10787356321839081,True
9,1.0344827586206897,9,1.0333333333333334,0.0011494252873562871,False
10,1.149425287356322,10,1.0516666666666667,0.09775862068965524,False
11,1.264367816091954,11,1.33,0.06563218390804604,False
12,1.3793103448275863,12,1.36,0.0193103448275862,False
13,1.4942528735632186,13,1.4416666666666667,0.05258620689655191,False
14,1.6091954022988506,14,1.5966666666666667,0.01252873563218393,False
15,1.7241379310344829,15,1.6533333333333335,0.07080459770114933,False
16,1.8390804597701151,17,1.8416666666666668,0.002586206896551646,False
17,1.9540229885057472,18,2.0533333333333337,0.0993103448275865,False
18,2.0689655172413794,18,2.0533333333333337,0.01563218390804577,True
19,2.1839080459770117,19,2.1166666666666667,0.06724137931034502,False
20,2.298850574712644,21,2.295,0.0038505747126440504,False
21,2.4137931034482762,22,2.4033333333333333,0.010459770114942923,False
22,2.528735632183908,22,2.4033333333333333,0.12540229885057474,True
23,2.6436781609195403,23,2.6900000000000004,0.04632183908046006,False
24,2.7586206896551726,24,2.7033333333333336,0.05528735632183901,False
25,2.873563218390805,25,2.841666666666667,0.03189655172413808,False
26,2.988505747126437,26,2.961666666666667,0.026839080459770237,False
27,3.1034482758620694,27,3.125,0.021551724137930606,False
28,3.218390804597701,28,3.181666666666667,0.03672413793103413,False
29,3.3333333333333335,29,3.2883333333333336,0.04499999999999993,False
30,3.4482758620689657,30,3.4033333333333338,0.04494252873563198,False
31,3.563218390804598,31,3.591666666666667,0.028448275862068773,False
32,3.6781609195402303,32,3.6033333333333335,0.07482758620689678,False
33,3.7931034482758625,33,3.7533333333333334,0.03977011494252913,False
34,3.9080459770114944,34,3.8850000000000007,0.02304597701149369,False
35,4.022988505747127,35,4.045,0.022011494252873298,False
36,4.137931034482759,37,4.208333333333334,0.07040229885057503,False
37,4.252873563218391,37,4.208333333333334,0.044540229885057236,True
38,4.367816091954023,39,4.396666666666667,0.02885057471264396,False
39,4.482758620689656,40,4.5633333333333335,0.08057471264367777,False
40,4.597701149425288,40,4.5633333333333335,0.034367816091954495,True
41,4.71264367816092,41,4.656666666666667,0.05597701149425305,False
42,4.8275862068965525,43,4.841666666666667,0.014080459770114295,False
43,4.942528735632185,44,5.026666666666667,0.08413793103448253,False
44,5.057471264367816,45,5.041666666666667,0.01580459770114917,False
45,5.172413793103448,46,5.238333333333333,0.06591954022988489,False
