date,cow_id,source_path,file_bytes,metadata_frames,metadata_fps,metadata_duration_seconds,width,height,known_source_path,known_cow_id,disposition
0805,200718,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160223n200718\20230805T160223n200718.MP4,39720018,2711,8.65060920157632,313.3883333333333,1080,1440,True,True,known_source
0805,200713,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T160920n200713\20230805T160920n200713.MP4,43724520,2972,8.640372129082275,343.9666666666667,1080,1440,True,True,known_source
0805,210994,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T161529n210994\20230805T161529n210994.MP4,15716774,1095,8.744842273392786,125.21666666666667,1080,1440,True,True,known_source
0805,211049,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T161802n211049\20230805T161802n211049.MP4,26509780,1805,8.664554531490015,208.32,1080,1440,True,True,known_source
0805,200937,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162156n200937\20230805T162156n200937.MP4,15159634,1050,8.753404101595065,119.95333333333333,1080,1440,True,True,known_source
0805,170272,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T162420n170272\20230805T162420n170272.MP4,40302499,2748,8.694826767916469,316.05,1080,1440,True,True,known_source
0805,211056,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163001n211056\20230805T163001n211056.MP4,43023907,2956,8.710086138312397,339.37666666666667,1080,1440,True,True,known_source
0805,16170075,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T163542n16170075\20230805T163542n16170075.MP4,44359536,3015,8.651114745631402,348.51000000000005,1080,1440,True,True,known_source
0805,170334,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164143n170334\20230805T164143n170334.MP4,32906299,2226,8.61188486536676,258.48,1080,1440,True,True,known_source
0805,210944,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164618n210944\20230805T164618n210944.MP4,18980091,1301,8.626272225967224,150.81833333333333,1080,1440,True,True,known_source
0805,190588,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,44091063,2987,8.64506606080778,345.515,1080,1440,True,True,known_source
0805,200653,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T165553n200653\20230805T165553n200653.MP4,42163297,2872,8.635083534611491,332.5966666666667,1080,1440,True,True,known_source
