arm,windows,mae_bpm,exact_count,tp,fp,fn,event_precision,event_recall,event_f1
C0P0,3,4.0,0,51,6,6,0.8947368421052632,0.8947368421052632,0.8947368421052632
C1P0,3,6.666666666666667,0,44,5,13,0.8979591836734694,0.7719298245614035,0.8301886792452831
C0P1,3,3.3333333333333335,0,52,6,5,0.896551724137931,0.9122807017543859,0.9043478260869565
C1P1,3,4.666666666666667,2,45,5,12,0.9,0.7894736842105263,0.8411214953271028
