video_id,arm,kind,predicted_time,reference_time,time_error_seconds
190588_000_030,C0P0,TP,3.068181818181818,3.207,0.13881818181818195
190588_000_030,C0P0,TP,4.090909090909091,4.283,0.19209090909090953
190588_000_030,C0P0,TP,5.0,5.058,0.05799999999999983
190588_000_030,C0P0,TP,5.795454545454545,5.772,0.02345454545454473
190588_000_030,C0P0,TP,15.227272727272728,15.269,0.041727272727271725
190588_000_030,C0P0,TP,16.25,16.18,0.07000000000000028
190588_000_030,C0P0,TP,17.27272727272727,17.337,0.06427272727272992
190588_000_030,C0P0,TP,18.295454545454543,18.455,0.1595454545454551
190588_000_030,C0P0,TP,21.25,21.547,0.2970000000000006
190588_000_030,C0P0,TP,22.386363636363637,22.605,0.21863636363636374
190588_000_030,C0P0,TP,23.295454545454543,23.58,0.2845454545454551
190588_000_030,C0P0,TP,25.227272727272727,25.418,0.19072727272727263
190588_000_030,C0P0,TP,26.25,26.33,0.0799999999999983
190588_000_030,C0P0,TP,28.295454545454543,28.29,0.005454545454544046
190588_000_030,C0P0,FP,20.34090909090909,,
190588_000_030,C0P0,FN,,19.682,
190588_000_030,C0P0,FN,,24.513,
190588_000_030,C0P0,FN,,27.296,
190588_000_030,C0P0,FN,,29.151,
190588_000_030,C1P0,TP,3.068181818181818,3.207,0.13881818181818195
190588_000_030,C1P0,TP,18.52272727272727,18.455,0.06772727272727153
190588_000_030,C1P0,TP,21.25,21.547,0.2970000000000006
190588_000_030,C1P0,TP,22.386363636363637,22.605,0.21863636363636374
190588_000_030,C1P0,TP,23.295454545454543,23.58,0.2845454545454551
190588_000_030,C1P0,TP,25.227272727272727,25.418,0.19072727272727263
190588_000_030,C1P0,TP,26.25,26.33,0.0799999999999983
190588_000_030,C1P0,TP,28.409090909090907,28.29,0.11909090909090736
190588_000_030,C1P0,FP,3.977272727272727,,
190588_000_030,C1P0,FP,20.34090909090909,,
190588_000_030,C1P0,FN,,4.283,
190588_000_030,C1P0,FN,,5.058,
190588_000_030,C1P0,FN,,5.772,
190588_000_030,C1P0,FN,,15.269,
190588_000_030,C1P0,FN,,16.18,
190588_000_030,C1P0,FN,,17.337,
190588_000_030,C1P0,FN,,19.682,
190588_000_030,C1P0,FN,,24.513,
190588_000_030,C1P0,FN,,27.296,
190588_000_030,C1P0,FN,,29.151,
190588_000_030,C0P1,TP,3.068181818181818,3.207,0.13881818181818195
190588_000_030,C0P1,TP,4.090909090909091,4.283,0.19209090909090953
190588_000_030,C0P1,TP,5.0,5.058,0.05799999999999983
190588_000_030,C0P1,TP,5.795454545454545,5.772,0.02345454545454473
190588_000_030,C0P1,TP,15.227272727272728,15.269,0.041727272727271725
190588_000_030,C0P1,TP,16.25,16.18,0.07000000000000028
190588_000_030,C0P1,TP,17.27272727272727,17.337,0.06427272727272992
190588_000_030,C0P1,TP,18.295454545454543,18.455,0.1595454545454551
190588_000_030,C0P1,TP,21.25,21.547,0.2970000000000006
190588_000_030,C0P1,TP,22.386363636363637,22.605,0.21863636363636374
190588_000_030,C0P1,TP,23.295454545454543,23.58,0.2845454545454551
190588_000_030,C0P1,TP,25.227272727272727,25.418,0.19072727272727263
190588_000_030,C0P1,TP,26.25,26.33,0.0799999999999983
190588_000_030,C0P1,TP,28.295454545454543,28.29,0.005454545454544046
190588_000_030,C0P1,TP,29.318181818181817,29.151,0.16718181818181677
190588_000_030,C0P1,FP,20.34090909090909,,
190588_000_030,C0P1,FN,,19.682,
190588_000_030,C0P1,FN,,24.513,
190588_000_030,C0P1,FN,,27.296,
190588_000_030,C1P1,TP,3.068181818181818,3.207,0.13881818181818195
190588_000_030,C1P1,TP,18.52272727272727,18.455,0.06772727272727153
190588_000_030,C1P1,TP,21.25,21.547,0.2970000000000006
190588_000_030,C1P1,TP,22.386363636363637,22.605,0.21863636363636374
190588_000_030,C1P1,TP,23.295454545454543,23.58,0.2845454545454551
190588_000_030,C1P1,TP,25.227272727272727,25.418,0.19072727272727263
190588_000_030,C1P1,TP,26.25,26.33,0.0799999999999983
190588_000_030,C1P1,TP,28.409090909090907,28.29,0.11909090909090736
190588_000_030,C1P1,TP,29.318181818181817,29.151,0.16718181818181677
190588_000_030,C1P1,FP,3.977272727272727,,
190588_000_030,C1P1,FP,20.34090909090909,,
190588_000_030,C1P1,FN,,4.283,
190588_000_030,C1P1,FN,,5.058,
190588_000_030,C1P1,FN,,5.772,
190588_000_030,C1P1,FN,,15.269,
190588_000_030,C1P1,FN,,16.18,
190588_000_030,C1P1,FN,,17.337,
190588_000_030,C1P1,FN,,19.682,
190588_000_030,C1P1,FN,,24.513,
190588_000_030,C1P1,FN,,27.296,
190588_030_060,C0P0,TP,1.1406844106463878,1.297,0.15631558935361212
190588_030_060,C0P0,TP,2.053231939163498,2.199,0.14576806083650196
190588_030_060,C0P0,TP,2.965779467680608,3.173,0.20722053231939208
190588_030_060,C0P0,TP,7.984790874524714,8.007,0.02220912547528542
190588_030_060,C0P0,TP,8.783269961977185,8.855,0.07173003802281563
190588_030_060,C0P0,TP,9.695817490494296,9.839,0.14318250950570466
190588_030_060,C0P0,TP,11.634980988593156,11.679,0.044019011406843944
190588_030_060,C0P0,TP,12.661596958174904,12.734,0.07240304182509583
190588_030_060,C0P0,TP,14.600760456273765,14.769,0.1682395437262354
190588_030_060,C0P0,TP,15.627376425855513,15.745,0.11762357414448665
190588_030_060,C0P0,TP,16.65399239543726,16.713,0.05900760456274057
190588_030_060,C0P0,TP,17.68060836501901,17.72,0.03939163498099063
190588_030_060,C0P0,TP,18.70722433460076,18.68,0.027224334600759903
190588_030_060,C0P0,TP,19.733840304182507,19.791,0.05715969581749292
190588_030_060,C0P0,TP,20.76045627376425,20.87,0.10954372623574926
190588_030_060,C0P0,FP,6.273764258555133,,
190588_030_060,C0P0,FP,21.55893536121673,,
190588_030_060,C0P0,FP,28.403041825095052,,
190588_030_060,C0P0,FN,,10.744,
190588_030_060,C0P0,FN,,13.554,
190588_030_060,C1P0,TP,1.1406844106463878,1.297,0.15631558935361212
190588_030_060,C1P0,TP,2.1673003802281365,2.199,0.03169961977186331
190588_030_060,C1P0,TP,7.984790874524714,8.007,0.02220912547528542
190588_030_060,C1P0,TP,8.783269961977185,8.855,0.07173003802281563
190588_030_060,C1P0,TP,10.608365019011408,10.744,0.13563498098859128
190588_030_060,C1P0,TP,11.634980988593156,11.679,0.044019011406843944
190588_030_060,C1P0,TP,12.661596958174904,12.734,0.07240304182509583
190588_030_060,C1P0,TP,14.600760456273765,14.769,0.1682395437262354
190588_030_060,C1P0,TP,15.627376425855513,15.745,0.11762357414448665
190588_030_060,C1P0,TP,16.65399239543726,16.713,0.05900760456274057
190588_030_060,C1P0,TP,17.794676806083647,17.72,0.07467680608364802
190588_030_060,C1P0,TP,18.70722433460076,18.68,0.027224334600759903
190588_030_060,C1P0,TP,19.847908745247143,19.791,0.05690874524714218
