video_id,arm,frame_index,source_frame,time_seconds
190588_030_060,C0P0,10,274,1.1406844106463878
190588_030_060,C0P0,18,282,2.053231939163498
190588_030_060,C0P0,26,290,2.965779467680608
190588_030_060,C0P0,55,319,6.273764258555133
190588_030_060,C0P0,70,334,7.984790874524714
190588_030_060,C0P0,77,341,8.783269961977185
190588_030_060,C0P0,85,349,9.695817490494296
190588_030_060,C0P0,102,366,11.634980988593156
190588_030_060,C0P0,111,375,12.661596958174904
190588_030_060,C0P0,128,392,14.600760456273765
190588_030_060,C0P0,137,401,15.627376425855513
190588_030_060,C0P0,146,410,16.65399239543726
190588_030_060,C0P0,155,419,17.68060836501901
190588_030_060,C0P0,164,428,18.70722433460076
190588_030_060,C0P0,173,437,19.733840304182507
190588_030_060,C0P0,182,446,20.76045627376425
190588_030_060,C0P0,189,453,21.55893536121673
190588_030_060,C0P0,249,513,28.403041825095052
190588_030_060,C1P0,10,274,1.1406844106463878
190588_030_060,C1P0,19,283,2.1673003802281365
190588_030_060,C1P0,70,334,7.984790874524714
190588_030_060,C1P0,77,341,8.783269961977185
190588_030_060,C1P0,93,357,10.608365019011408
190588_030_060,C1P0,102,366,11.634980988593156
190588_030_060,C1P0,111,375,12.661596958174904
190588_030_060,C1P0,128,392,14.600760456273765
190588_030_060,C1P0,137,401,15.627376425855513
190588_030_060,C1P0,146,410,16.65399239543726
190588_030_060,C1P0,156,420,17.794676806083647
190588_030_060,C1P0,164,428,18.70722433460076
190588_030_060,C1P0,174,438,19.847908745247143
190588_030_060,C1P0,182,446,20.76045627376425
190588_030_060,C1P0,190,454,21.673003802281368
190588_030_060,C1P0,249,513,28.403041825095052
190588_030_060,C0P1,10,274,1.1406844106463878
190588_030_060,C0P1,18,282,2.053231939163498
190588_030_060,C0P1,26,290,2.965779467680608
190588_030_060,C0P1,55,319,6.273764258555133
190588_030_060,C0P1,70,334,7.984790874524714
190588_030_060,C0P1,77,341,8.783269961977185
190588_030_060,C0P1,85,349,9.695817490494296
190588_030_060,C0P1,93,357,10.608365019011408
190588_030_060,C0P1,102,366,11.634980988593156
190588_030_060,C0P1,111,375,12.661596958174904
190588_030_060,C0P1,128,392,14.600760456273765
190588_030_060,C0P1,137,401,15.627376425855513
190588_030_060,C0P1,146,410,16.65399239543726
190588_030_060,C0P1,155,419,17.68060836501901
190588_030_060,C0P1,164,428,18.70722433460076
190588_030_060,C0P1,173,437,19.733840304182507
190588_030_060,C0P1,182,446,20.76045627376425
190588_030_060,C0P1,189,453,21.55893536121673
190588_030_060,C0P1,249,513,28.403041825095052
190588_030_060,C1P1,10,274,1.1406844106463878
190588_030_060,C1P1,19,283,2.1673003802281365
190588_030_060,C1P1,70,334,7.984790874524714
190588_030_060,C1P1,77,341,8.783269961977185
190588_030_060,C1P1,85,349,9.695817490494296
190588_030_060,C1P1,93,357,10.608365019011408
190588_030_060,C1P1,102,366,11.634980988593156
190588_030_060,C1P1,111,375,12.661596958174904
190588_030_060,C1P1,128,392,14.600760456273765
190588_030_060,C1P1,137,401,15.627376425855513
190588_030_060,C1P1,146,410,16.65399239543726
190588_030_060,C1P1,156,420,17.794676806083647
190588_030_060,C1P1,164,428,18.70722433460076
190588_030_060,C1P1,174,438,19.847908745247143
190588_030_060,C1P1,182,446,20.76045627376425
190588_030_060,C1P1,190,454,21.673003802281368
190588_030_060,C1P1,249,513,28.403041825095052
190588_180_210,C0P0,7,1566,0.801526717557252
190588_180_210,C0P0,15,1574,1.717557251908397
190588_180_210,C0P0,23,1582,2.6335877862595423
190588_180_210,C0P0,30,1589,3.435114503816794
190588_180_210,C0P0,38,1597,4.35114503816794
190588_180_210,C0P0,45,1604,5.152671755725192
190588_180_210,C0P0,53,1612,6.068702290076336
190588_180_210,C0P0,61,1620,6.984732824427482
190588_180_210,C0P0,68,1627,7.786259541984734
190588_180_210,C0P0,76,1635,8.70229007633588
190588_180_210,C0P0,82,1641,9.389312977099236
190588_180_210,C0P0,91,1650,10.419847328244275
190588_180_210,C0P0,98,1657,11.221374045801529
190588_180_210,C0P0,106,1665,12.137404580152673
190588_180_210,C0P0,114,1673,13.053435114503818
190588_180_210,C0P0,121,1680,13.85496183206107
190588_180_210,C0P0,130,1689,14.885496183206108
190588_180_210,C0P0,138,1697,15.801526717557254
190588_180_210,C0P0,145,1704,16.603053435114507
190588_180_210,C0P0,154,1713,17.633587786259543
190588_180_210,C0P0,161,1720,18.435114503816795
190588_180_210,C0P0,169,1728,19.351145038167942
190588_180_210,C0P0,243,1802,27.824427480916032
190588_180_210,C0P0,256,1815,29.312977099236644
190588_180_210,C1P0,7,1566,0.801526717557252
190588_180_210,C1P0,15,1574,1.717557251908397
190588_180_210,C1P0,23,1582,2.6335877862595423
190588_180_210,C1P0,30,1589,3.435114503816794
190588_180_210,C1P0,38,1597,4.35114503816794
190588_180_210,C1P0,45,1604,5.152671755725192
190588_180_210,C1P0,53,1612,6.068702290076336
190588_180_210,C1P0,61,1620,6.984732824427482
190588_180_210,C1P0,68,1627,7.786259541984734
190588_180_210,C1P0,76,1635,8.70229007633588
190588_180_210,C1P0,82,1641,9.389312977099236
190588_180_210,C1P0,91,1650,10.419847328244275
190588_180_210,C1P0,98,1657,11.221374045801529
190588_180_210,C1P0,106,1665,12.137404580152673
190588_180_210,C1P0,114,1673,13.053435114503818
190588_180_210,C1P0,121,1680,13.85496183206107
190588_180_210,C1P0,130,1689,14.885496183206108
190588_180_210,C1P0,138,1697,15.801526717557254
190588_180_210,C1P0,145,1704,16.603053435114507
190588_180_210,C1P0,154,1713,17.633587786259543
190588_180_210,C1P0,161,1720,18.435114503816795
190588_180_210,C1P0,248,1807,28.3969465648855
190588_180_210,C1P0,256,1815,29.312977099236644
190588_180_210,C0P1,7,1566,0.801526717557252
190588_180_210,C0P1,15,1574,1.717557251908397
190588_180_210,C0P1,23,1582,2.6335877862595423
190588_180_210,C0P1,30,1589,3.435114503816794
190588_180_210,C0P1,38,1597,4.35114503816794
190588_180_210,C0P1,45,1604,5.152671755725192
190588_180_210,C0P1,53,1612,6.068702290076336
190588_180_210,C0P1,61,1620,6.984732824427482
190588_180_210,C0P1,68,1627,7.786259541984734
190588_180_210,C0P1,76,1635,8.70229007633588
190588_180_210,C0P1,91,1650,10.419847328244275
190588_180_210,C0P1,98,1657,11.221374045801529
190588_180_210,C0P1,106,1665,12.137404580152673
190588_180_210,C0P1,114,1673,13.053435114503818
190588_180_210,C0P1,121,1680,13.85496183206107
190588_180_210,C0P1,130,1689,14.885496183206108
190588_180_210,C0P1,138,1697,15.801526717557254
190588_180_210,C0P1,145,1704,16.603053435114507
190588_180_210,C0P1,154,1713,17.633587786259543
190588_180_210,C0P1,161,1720,18.435114503816795
190588_180_210,C0P1,169,1728,19.351145038167942
190588_180_210,C0P1,243,1802,27.824427480916032
190588_180_210,C0P1,256,1815,29.312977099236644
190588_180_210,C1P1,7,1566,0.801526717557252
190588_180_210,C1P1,15,1574,1.717557251908397
190588_180_210,C1P1,23,1582,2.6335877862595423
190588_180_210,C1P1,30,1589,3.435114503816794
190588_180_210,C1P1,38,1597,4.35114503816794
190588_180_210,C1P1,45,1604,5.152671755725192
190588_180_210,C1P1,53,1612,6.068702290076336
190588_180_210,C1P1,61,1620,6.984732824427482
190588_180_210,C1P1,68,1627,7.786259541984734
190588_180_210,C1P1,76,1635,8.70229007633588
190588_180_210,C1P1,91,1650,10.419847328244275
190588_180_210,C1P1,98,1657,11.221374045801529
190588_180_210,C1P1,106,1665,12.137404580152673
190588_180_210,C1P1,114,1673,13.053435114503818
190588_180_210,C1P1,121,1680,13.85496183206107
190588_180_210,C1P1,130,1689,14.885496183206108
190588_180_210,C1P1,138,1697,15.801526717557254
190588_180_210,C1P1,145,1704,16.603053435114507
190588_180_210,C1P1,154,1713,17.633587786259543
190588_180_210,C1P1,161,1720,18.435114503816795
190588_180_210,C1P1,248,1807,28.3969465648855
190588_180_210,C1P1,256,1815,29.312977099236644
