video_id,arm,frame_index,source_frame,time_seconds
190588_000_030,C0P0,27,27,3.068181818181818
190588_000_030,C0P0,36,36,4.090909090909091
190588_000_030,C0P0,44,44,5.0
190588_000_030,C0P0,51,51,5.795454545454545
190588_000_030,C0P0,134,134,15.227272727272728
190588_000_030,C0P0,143,143,16.25
190588_000_030,C0P0,152,152,17.27272727272727
190588_000_030,C0P0,161,161,18.295454545454543
190588_000_030,C0P0,179,179,20.34090909090909
190588_000_030,C0P0,187,187,21.25
190588_000_030,C0P0,197,197,22.386363636363637
190588_000_030,C0P0,205,205,23.295454545454543
190588_000_030,C0P0,222,222,25.227272727272727
190588_000_030,C0P0,231,231,26.25
190588_000_030,C0P0,249,249,28.295454545454543
190588_000_030,C1P0,27,27,3.068181818181818
190588_000_030,C1P0,35,35,3.977272727272727
190588_000_030,C1P0,163,163,18.52272727272727
190588_000_030,C1P0,179,179,20.34090909090909
190588_000_030,C1P0,187,187,21.25
190588_000_030,C1P0,197,197,22.386363636363637
190588_000_030,C1P0,205,205,23.295454545454543
190588_000_030,C1P0,222,222,25.227272727272727
190588_000_030,C1P0,231,231,26.25
190588_000_030,C1P0,250,250,28.409090909090907
190588_000_030,C0P1,27,27,3.068181818181818
190588_000_030,C0P1,36,36,4.090909090909091
190588_000_030,C0P1,44,44,5.0
190588_000_030,C0P1,51,51,5.795454545454545
190588_000_030,C0P1,134,134,15.227272727272728
190588_000_030,C0P1,143,143,16.25
190588_000_030,C0P1,152,152,17.27272727272727
190588_000_030,C0P1,161,161,18.295454545454543
190588_000_030,C0P1,179,179,20.34090909090909
190588_000_030,C0P1,187,187,21.25
190588_000_030,C0P1,197,197,22.386363636363637
190588_000_030,C0P1,205,205,23.295454545454543
190588_000_030,C0P1,222,222,25.227272727272727
190588_000_030,C0P1,231,231,26.25
190588_000_030,C0P1,249,249,28.295454545454543
190588_000_030,C0P1,258,258,29.318181818181817
190588_000_030,C1P1,27,27,3.068181818181818
190588_000_030,C1P1,35,35,3.977272727272727
190588_000_030,C1P1,163,163,18.52272727272727
190588_000_030,C1P1,179,179,20.34090909090909
190588_000_030,C1P1,187,187,21.25
190588_000_030,C1P1,197,197,22.386363636363637
190588_000_030,C1P1,205,205,23.295454545454543
190588_000_030,C1P1,222,222,25.227272727272727
190588_000_030,C1P1,231,231,26.25
190588_000_030,C1P1,250,250,28.409090909090907
190588_000_030,C1P1,258,258,29.318181818181817
