Model,mAP@0.5,mAP@0.5:0.95,Inference Speed(ms)
YOLOv8n,0.9949396378269619,0.9949396378269618,2.0033744822953667
YOLO11n,0.994959866220736,0.994959866220736,2.045049098211511
YOLO26n,0.9949798428274929,0.9949798428274927,2.334829993315356
