grid_index,time_seconds,is_human_reference
9,1.0344827586206897,False
15,1.7241379310344829,False
26,2.988505747126437,False
33,3.7931034482758625,False
40,4.597701149425288,False
47,5.402298850574713,False
59,6.781609195402299,False
72,8.275862068965518,False
87,10.0,False
96,11.03448275862069,False
105,12.06896551724138,False
116,13.333333333333334,False
145,16.666666666666668,False
157,18.045977011494255,False
170,19.540229885057474,False
182,20.919540229885058,False
193,22.183908045977013,False
208,23.908045977011497,False
220,25.287356321839084,False
236,27.126436781609197,False
251,28.85057471264368,False
