grid_index,time_seconds,is_human_reference
8,0.9195402298850576,False
21,2.4137931034482762,False
64,7.356321839080461,False
92,10.574712643678161,False
102,11.724137931034484,False
115,13.218390804597702,False
122,14.022988505747128,False
131,15.057471264367818,False
144,16.551724137931036,False
162,18.620689655172416,False
173,19.885057471264368,False
185,21.264367816091955,False
190,21.839080459770116,False
215,24.712643678160923,False
225,25.862068965517242,False
240,27.586206896551726,False
255,29.31034482758621,False
