cohort,tolerance_seconds,tp,fp,fn,precision,recall,f1
lindian49,0.1,357,792,770,0.31070496083550914,0.3167701863354037,0.31370826010544817
lindian49,0.2,655,494,472,0.5700609225413403,0.5811889973380656,0.5755711775043937
lindian49,0.3,857,292,270,0.7458659704090513,0.7604259094942325,0.7530755711775043
lindian49,0.5,1011,138,116,0.8798955613577023,0.8970718722271517,0.8884007029876977
lindian49,0.75,1057,92,70,0.9199303742384682,0.937888198757764,0.9288224956063269
lindian49,1.0,1070,79,57,0.9312445604873804,0.9494232475598935,0.9402460456942003
jiufu271,0.1,473,1879,2557,0.20110544217687074,0.1561056105610561,0.17577108881456707
jiufu271,0.2,960,1392,2070,0.40816326530612246,0.31683168316831684,0.35674470457079155
jiufu271,0.3,1324,1028,1706,0.5629251700680272,0.43696369636963694,0.4920104050538833
jiufu271,0.5,1724,628,1306,0.7329931972789115,0.568976897689769,0.6406540319583798
jiufu271,0.75,1910,442,1120,0.8120748299319728,0.6303630363036303,0.7097733184689706
jiufu271,1.0,1984,368,1046,0.8435374149659864,0.6547854785478547,0.7372723894463025
