cohort,band,n,rr_mae_bpm,bias_bpm,tp,fp,fn,precision,recall,f1
lindian49,"[0,20)",0,,,0,0,0,0.0,0.0,0.0
lindian49,"[20,40)",13,2.3058883676173156,1.0752011539965056,154,78,71,0.6637931034482759,0.6844444444444444,0.6739606126914661
lindian49,"[40,60)",26,3.3077850829855686,1.000081666587242,472,182,169,0.7217125382262997,0.7363494539781591,0.728957528957529
lindian49,"[60,inf)",8,2.998705792615498,0.4977251014400501,231,32,30,0.8783269961977186,0.8850574712643678,0.8816793893129771
jiufu271,"[0,20)",29,3.1724137931034484,2.4827586206896552,104,130,94,0.4444444444444444,0.5252525252525253,0.48148148148148145
jiufu271,"[20,40)",115,4.886956521739131,-0.8521739130434782,795,764,813,0.5099422706863374,0.4944029850746269,0.5020524155352069
jiufu271,"[40,60)",28,8.142857142857142,-6.285714285714286,403,131,219,0.7546816479400749,0.6479099678456591,0.6972318339100346
jiufu271,"[60,inf)",1,10.0,-10.0,22,3,8,0.88,0.7333333333333333,0.8
