cohort,variant,windows,tp,fp,fn,precision,recall,f1,delta_f1,clusters,draws,seed,delta_f1_ci_low,delta_f1_ci_high,full_count_output_windows,disposition
jiufu271,local_event_guard,216,900,551,2130,0.6202618883528601,0.297029702970297,0.4016960499888418,-0.09031435506504154,144,2000,20260921,-0.1096182006270352,-0.07340457090533614,3,DIAGNOSTIC_ONLY_PENDING_R3_NO_DEFAULT_CHANGE
jiufu271,whole_window_guard,216,16,26,3014,0.38095238095238093,0.005280528052805281,0.010416666666666666,-0.48159373838721664,144,2000,20260921,-0.5184107264243261,-0.444323954856057,3,DIAGNOSTIC_ONLY_PENDING_R3_NO_DEFAULT_CHANGE
lindian49,local_event_guard,47,835,261,292,0.7618613138686131,0.7409050576752441,0.7512370670265407,-0.001838504150963649,47,2000,20260921,-0.009353403483274176,0.004371189914170568,17,DIAGNOSTIC_ONLY_PENDING_R3_NO_DEFAULT_CHANGE
lindian49,whole_window_guard,47,321,108,806,0.7482517482517482,0.28482697426796805,0.41259640102827766,-0.3404791701492267,47,2000,20260921,-0.46744116592910495,-0.22816141901334921,17,DIAGNOSTIC_ONLY_PENDING_R3_NO_DEFAULT_CHANGE
