cohort,window_id,predicted_minus_reference_seconds,scope
lindian49,190546_anchored_30s,-0.16927173034745735,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190546_anchored_30s,-0.2585037515872095,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.04922440717177601,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.11316020821284134,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.2773152111046855,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.05225101214575112,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.10286061307114025,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.11879641411220376,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.08940601503759638,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.12001561596298416,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.2662990167727024,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.17556101792943934,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.22684441873916228,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.1414540196645504,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,-0.029389820705610248,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,0.19578137651821592,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,190588_anchored_30s,0.22101677270098108,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,196434_anchored_30s,0.2663714917899149,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,196434_anchored_30s,0.07046745079771721,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,196434_anchored_30s,0.031838942587632424,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,196434_anchored_30s,0.2626902294165596,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,196434_anchored_30s,0.18518854081751712,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,196434_anchored_30s,0.09310492605100862,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,0.11148148148147996,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,0.02088888888888718,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,0.038777777777776024,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.2408148148148168,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.15966666666666818,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,0.1647037037037009,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.17162962962963135,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,-0.005740740740741046,matched_at_0.30_only_truncated_not_latency_estimate
lindian49,200713_anchored_30s,0.016407407407406538,matched_at_0.30_only_truncated_not_latency_estimate
