cohort,window_id,selected_mode,direct_support_fraction,safe_context_fraction,longest_gap_frames,nostril_spacing_median_px,frame_count,rr_error
lindian49,16170075_anchored_30s,min,0.9076923076923077,0.8846153846153846,24,137.34071392347028,260,-1.996411095145703
lindian49,170272_anchored_30s,left,1.0,1.0,0,96.45892726325036,261,3.9976215024903325
lindian49,170333_anchored_30s,right,0.8538461538461538,0.8192307692307692,20,165.6755765623602,260,3.994370416501795
lindian49,170334_anchored_30s,right,1.0,1.0,0,107.41533295564224,258,0.0
lindian49,177395_anchored_30s,left,0.9961389961389961,1.0,1,133.78889262939026,259,-2.000128723168217
lindian49,190546_anchored_30s,right,1.0,1.0,0,136.85897880504916,260,3.998424670454959
lindian49,190588_anchored_30s,min,0.7876447876447876,0.749034749034749,34,185.29556720370996,259,4.005436012729476
lindian49,196434_anchored_30s,left,0.9341085271317829,0.9108527131782945,17,205.248700295572,258,-1.996951314438391
lindian49,200713_anchored_30s,max,0.7181467181467182,0.6911196911196911,66,134.61542524292108,259,4.003261218107625
lindian49,200718_anchored_30s,right,0.823076923076923,0.7730769230769231,27,106.90707485273444,260,1.9962944311329949
lindian49,210989_anchored_30s,right,1.0,1.0,0,128.63226825872184,260,1.997480148186817
lindian49,211056_anchored_30s,left,0.9923371647509579,1.0,1,151.11825981340556,261,4.004637304971219
lindian49,211070_anchored_30s,left,0.9465648854961832,0.9236641221374046,14,140.25849983897322,262,-6.00945624655602
lindian49,ba170296_anchored_30s,left,0.9923076923076923,1.0,2,131.21846581368348,260,0.0
lindian49,ba177610_anchored_30s,left,1.0,1.0,0,133.74804748623853,257,0.0
lindian49,ba455_anchored_30s,max,0.9461538461538461,0.9346153846153846,11,131.37880287993823,260,6.002082996007239
lindian49,ba6516_anchored_30s,right,0.9153846153846154,0.9230769230769231,14,113.38362098314495,260,3.99813295325
lindian49,bs0514_anchored_30s,min,0.8615384615384616,0.8384615384615385,17,123.32635687815215,260,-2.001500233240783
lindian49,bs170227_anchored_30s,right,1.0,1.0,0,182.02579482524843,260,-1.9967954373009107
lindian49,bs177611_anchored_30s,right,0.9538461538461539,0.9423076923076923,12,103.21671049363954,260,0.0
lindian49,bs189556_anchored_30s,right,0.8346153846153846,0.823076923076923,43,189.12300026817422,260,0.0
lindian49,bs190624_anchored_30s,max,0.7307692307692307,0.7076923076923077,67,195.13129755885058,260,0.0
lindian49,bs200673_anchored_30s,min,0.9163498098859315,0.9049429657794676,22,150.00248761170997,263,-3.9973369039956097
lindian49,bs200794_anchored_30s,left,1.0,1.0,0,158.93845773324796,260,0.0
lindian49,bs210974_anchored_30s,min,0.8730769230769231,0.85,33,161.85999620154593,260,-5.993740552279164
lindian49,bs211046_anchored_30s,left,0.9923076923076923,0.9807692307692307,2,122.93799422161925,260,-4.005720136795965
lindian49,bs211063_anchored_30s,left,1.0,1.0,0,115.19152833041873,259,0.0
lindian49,bs450_anchored_30s,right,0.8625954198473282,0.8015267175572519,22,155.84212856789836,262,-4.006457137537964
lindian49,bs455_anchored_30s,right,0.7846153846153846,0.7461538461538462,31,115.86774560752086,260,-1.9991577047765574
lindian49,bs4717_anchored_30s,right,1.0,1.0,0,131.4135836960666,260,2.000694332002425
lindian49,bs6516_anchored_30s,min,0.7384615384615385,0.6923076923076923,62,172.2825930199521,260,1.9971785889774765
lindian49,ns170082_anchored_30s,max,0.8846153846153846,0.8769230769230769,29,123.83862429876348,260,3.9967922398569655
lindian49,ns179166_anchored_30s,left,0.9573643410852714,0.937984496124031,10,125.84752462508494,258,1.996984332205443
lindian49,ns196527_anchored_30s,left,1.0,1.0,0,147.31457980041128,263,7.986870788792629
lindian49,ns200886_anchored_30s,left,0.9619771863117871,0.9505703422053232,10,178.34477237078104,263,3.995066781077405
lindian49,ns210947_anchored_30s,min,0.8384615384615385,0.8346153846153846,37,127.90424212586619,260,4.002364265811032
lindian49,ns211003_anchored_30s,right,0.9,0.8884615384615384,26,133.5357124207952,260,1.9973117775677878
lindian49,ns211095_anchored_30s,right,1.0,1.0,0,98.81328326595889,260,5.996402406239142
lindian49,ns211146_anchored_30s,min,0.9186046511627907,0.8837209302325582,11,163.65509036163462,258,8.007694302757834
lindian49,zs170236_anchored_30s,min,0.9429657794676806,0.9315589353612167,15,148.51509396289194,263,2.001174123221695
lindian49,zs170416_anchored_30s,right,1.0,1.0,0,162.45407286113021,260,-1.9968865746953597
lindian49,zs170554_anchored_30s,right,0.926923076923077,0.9153846153846154,16,165.74216036962954,260,-2.0021954665950403
lindian49,zs190621_anchored_30s,min,0.8269230769230769,0.7692307692307693,22,120.70863531741253,260,-6.004437516216754
lindian49,zs197000_anchored_30s,mean,1.0,1.0,0,150.72798946883876,259,-1.9963590236728663
