cohort,window_id,event_id,event_time_seconds,frame_index,kept,reason
lindian49,16170075_anchored_30s,p12,1.3871228759680962,12,True,supported_context
lindian49,16170075_anchored_30s,p21,2.4274650329441685,21,True,supported_context
lindian49,16170075_anchored_30s,p30,3.4678071899202405,30,True,supported_context
lindian49,16170075_anchored_30s,p38,4.392555773898971,38,True,supported_context
lindian49,16170075_anchored_30s,p54,6.242052941856433,54,False,near_long_or_boundary_provenance_gap
lindian49,16170075_anchored_30s,p69,7.975956536816553,69,False,near_long_or_boundary_provenance_gap
lindian49,16170075_anchored_30s,p76,8.785111547797943,76,True,supported_context
lindian49,16170075_anchored_30s,p83,9.594266558779331,83,True,supported_context
lindian49,16170075_anchored_30s,p91,10.519015142758064,91,True,supported_context
lindian49,16170075_anchored_30s,p99,11.443763726736794,99,True,supported_context
lindian49,16170075_anchored_30s,p106,12.252918737718185,106,True,supported_context
lindian49,16170075_anchored_30s,p117,13.524448040688938,117,True,supported_context
lindian49,16170075_anchored_30s,p128,14.795977343659692,128,True,supported_context
lindian49,16170075_anchored_30s,p137,15.836319500635764,137,True,supported_context
lindian49,16170075_anchored_30s,p147,16.992255230609178,147,True,supported_context
lindian49,16170075_anchored_30s,p157,18.148190960582596,157,True,supported_context
lindian49,16170075_anchored_30s,p166,19.188533117558663,166,True,supported_context
lindian49,16170075_anchored_30s,p176,20.34446884753208,176,True,supported_context
lindian49,16170075_anchored_30s,p185,21.38481100450815,185,True,supported_context
lindian49,16170075_anchored_30s,p194,22.42515316148422,194,True,supported_context
lindian49,16170075_anchored_30s,p202,23.34990174546295,202,True,supported_context
lindian49,16170075_anchored_30s,p211,24.390243902439025,211,True,supported_context
lindian49,16170075_anchored_30s,p219,25.314992486417754,219,True,supported_context
lindian49,16170075_anchored_30s,p227,26.239741070396487,227,True,supported_context
lindian49,16170075_anchored_30s,p235,27.164489654375217,235,True,supported_context
lindian49,16170075_anchored_30s,p243,28.089238238353943,243,True,supported_context
lindian49,16170075_anchored_30s,p251,29.01398682233268,251,True,supported_context
lindian49,170272_anchored_30s,p7,0.8050603795284647,7,True,supported_context
lindian49,170272_anchored_30s,p18,2.0701552616446235,18,True,supported_context
lindian49,170272_anchored_30s,p26,2.9902242668200114,26,True,supported_context
lindian49,170272_anchored_30s,p33,3.795284646348476,33,True,supported_context
lindian49,170272_anchored_30s,p46,5.290396779758482,46,True,supported_context
lindian49,170272_anchored_30s,p58,6.670500287521564,58,True,supported_context
lindian49,170272_anchored_30s,p68,7.820586543990799,68,True,supported_context
lindian49,170272_anchored_30s,p77,8.85566417481311,77,True,supported_context
lindian49,170272_anchored_30s,p86,9.890741805635423,86,True,supported_context
lindian49,170272_anchored_30s,p97,11.15583668775158,97,True,supported_context
lindian49,170272_anchored_30s,p106,12.190914318573894,106,True,supported_context
lindian49,170272_anchored_30s,p118,13.571017826336975,118,True,supported_context
lindian49,170272_anchored_30s,p129,14.836112708453134,129,True,supported_context
lindian49,170272_anchored_30s,p139,15.98619896492237,139,True,supported_context
lindian49,170272_anchored_30s,p149,17.136285221391603,149,True,supported_context
lindian49,170272_anchored_30s,p160,18.40138010350776,160,True,supported_context
lindian49,170272_anchored_30s,p174,20.01150086256469,174,True,supported_context
lindian49,170272_anchored_30s,p182,20.93156986774008,182,True,supported_context
lindian49,170272_anchored_30s,p195,22.426682001150088,195,True,supported_context
lindian49,170272_anchored_30s,p201,23.11673375503163,201,True,supported_context
lindian49,170272_anchored_30s,p207,23.80678550891317,207,True,supported_context
lindian49,170272_anchored_30s,p215,24.72685451408856,215,True,supported_context
lindian49,170272_anchored_30s,p226,25.99194939620472,226,True,supported_context
lindian49,170272_anchored_30s,p233,26.79700977573318,233,True,supported_context
lindian49,170272_anchored_30s,p244,28.06210465784934,244,True,supported_context
lindian49,170272_anchored_30s,p255,29.3271995399655,255,True,supported_context
lindian49,170333_anchored_30s,p7,0.8088745088976196,7,True,supported_context
lindian49,170333_anchored_30s,p25,2.888837531777213,25,True,supported_context
lindian49,170333_anchored_30s,p37,4.275479547030275,37,True,supported_context
lindian49,170333_anchored_30s,p49,5.662121562283337,49,True,supported_context
lindian49,170333_anchored_30s,p69,7.973191587705108,69,True,supported_context
lindian49,170333_anchored_30s,p83,9.590940605500348,83,True,supported_context
lindian49,170333_anchored_30s,p95,10.97758262075341,95,True,supported_context
lindian49,170333_anchored_30s,p108,12.47977813727756,108,True,supported_context
lindian49,170333_anchored_30s,p120,13.866420152530624,120,True,supported_context
lindian49,170333_anchored_30s,p144,16.639704183036745,144,False,near_long_or_boundary_provenance_gap
lindian49,170333_anchored_30s,p160,18.488560203374163,160,True,supported_context
lindian49,170333_anchored_30s,p176,20.33741622371158,176,True,supported_context
lindian49,170333_anchored_30s,p189,21.83961174023573,189,True,supported_context
lindian49,170333_anchored_30s,p202,23.34180725675988,202,True,supported_context
lindian49,170333_anchored_30s,p216,24.95955627455512,216,True,supported_context
lindian49,170333_anchored_30s,p229,26.46175179107927,229,False,near_long_or_boundary_provenance_gap
lindian49,170333_anchored_30s,p240,27.73284030506125,240,True,supported_context
lindian49,170333_anchored_30s,p250,28.88837531777213,250,True,supported_context
lindian49,170334_anchored_30s,p9,1.0450534138411518,9,True,supported_context
lindian49,170334_anchored_30s,p49,5.689735253135161,49,True,supported_context
lindian49,170334_anchored_30s,p73,8.476544356711566,73,True,supported_context
lindian49,170334_anchored_30s,p90,10.45053413841152,90,True,supported_context
lindian49,170334_anchored_30s,p105,12.192289828146771,105,True,supported_context
lindian49,170334_anchored_30s,p113,13.121226196005574,113,True,supported_context
lindian49,170334_anchored_30s,p118,13.701811425917326,118,True,supported_context
lindian49,170334_anchored_30s,p132,15.327450069670228,132,True,supported_context
