cohort,window_id,cluster,variant,base_tp,base_fp,base_fn,count_status,tp,fp,fn,precision,recall,f1
lindian49,bs6516_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T081757n6516\20230807T081757n6516.MP4,local_event_guard,15,4,3,partial_events_no_full_RR,15,1,3,0.9375,0.8333333333333334,0.8823529411764706
lindian49,bs6516_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍病牛区\20230807T081757n6516\20230807T081757n6516.MP4,whole_window_guard,15,4,3,partial_events_no_full_RR,0,0,18,0.0,0.0,0.0
lindian49,ns170082_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T081727n170082\20230806T081727n170082.MP4,local_event_guard,26,5,3,partial_events_no_full_RR,26,2,3,0.9285714285714286,0.896551724137931,0.9122807017543859
lindian49,ns170082_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T081727n170082\20230806T081727n170082.MP4,whole_window_guard,26,5,3,partial_events_no_full_RR,0,0,29,0.0,0.0,0.0
lindian49,ns179166_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T071859n179166\20230807T071859n179166.MP4,local_event_guard,33,2,1,partial_events_no_full_RR,33,1,1,0.9705882352941176,0.9705882352941176,0.9705882352941176
lindian49,ns179166_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T071859n179166\20230807T071859n179166.MP4,whole_window_guard,33,2,1,partial_events_no_full_RR,0,0,34,0.0,0.0,0.0
lindian49,ns196527_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T073230n196527\20230807T073230n196527.MP4,local_event_guard,27,10,6,complete_output,27,10,6,0.7297297297297297,0.8181818181818182,0.7714285714285715
lindian49,ns196527_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T073230n196527\20230807T073230n196527.MP4,whole_window_guard,27,10,6,complete_output,27,10,6,0.7297297297297297,0.8181818181818182,0.7714285714285715
lindian49,ns200886_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T072548n200886\20230807T072548n200886.MP4,local_event_guard,24,6,4,partial_events_no_full_RR,24,6,4,0.8,0.8571428571428571,0.8275862068965517
lindian49,ns200886_anchored_30s,E:\real\use_code\林甸红外视频\0807\上午\B三舍新产牛\20230807T072548n200886\20230807T072548n200886.MP4,whole_window_guard,24,6,4,partial_events_no_full_RR,0,0,28,0.0,0.0,0.0
lindian49,ns210947_anchored_30s,E:\real\use_code\林甸红外视频\0806\B0806新产牛\20230806T073953n210947\20230806T073953n210947.MP4,local_event_guard,16,10,8,partial_events_no_full_RR,16,7,8,0.6956521739130435,0.6666666666666666,0.6808510638297872
