cohort,window_id,full_support,removed_events,total_events
lindian49,16170075_anchored_30s,False,2,27
lindian49,170272_anchored_30s,True,0,26
lindian49,170333_anchored_30s,False,2,18
lindian49,170334_anchored_30s,True,0,18
lindian49,177395_anchored_30s,True,0,35
lindian49,190546_anchored_30s,True,0,23
lindian49,190588_anchored_30s,False,2,25
lindian49,196434_anchored_30s,False,0,15
lindian49,200713_anchored_30s,False,2,20
lindian49,200718_anchored_30s,False,6,18
lindian49,210989_anchored_30s,True,0,19
lindian49,211056_anchored_30s,True,0,26
lindian49,211070_anchored_30s,False,1,25
lindian49,ba170296_anchored_30s,True,0,18
lindian49,ba177610_anchored_30s,True,0,23
lindian49,ba455_anchored_30s,False,3,30
lindian49,ba6516_anchored_30s,False,1,24
lindian49,bs0514_anchored_30s,False,3,20
lindian49,bs170227_anchored_30s,True,0,18
lindian49,bs177611_anchored_30s,False,0,19
lindian49,bs189556_anchored_30s,False,0,13
lindian49,bs190624_anchored_30s,False,1,27
lindian49,bs200673_anchored_30s,False,1,31
lindian49,bs200794_anchored_30s,True,0,29
lindian49,bs210974_anchored_30s,False,4,25
lindian49,bs211046_anchored_30s,False,0,17
lindian49,bs211063_anchored_30s,True,0,32
lindian49,bs450_anchored_30s,False,2,31
lindian49,bs455_anchored_30s,False,2,20
lindian49,bs4717_anchored_30s,True,0,31
lindian49,bs6516_anchored_30s,False,3,19
lindian49,ns170082_anchored_30s,False,3,31
lindian49,ns179166_anchored_30s,False,1,35
lindian49,ns196527_anchored_30s,True,0,37
lindian49,ns200886_anchored_30s,False,0,30
lindian49,ns210947_anchored_30s,False,3,26
lindian49,ns211003_anchored_30s,False,2,22
lindian49,ns211095_anchored_30s,True,0,26
lindian49,ns211146_anchored_30s,False,4,32
lindian49,zs170236_anchored_30s,False,0,31
lindian49,zs170416_anchored_30s,True,0,21
lindian49,zs170554_anchored_30s,False,1,22
lindian49,zs190621_anchored_30s,False,2,18
lindian49,zs197000_anchored_30s,True,0,25
lindian49,zs200751_anchored_30s,False,1,29
lindian49,zs200783_anchored_30s,True,0,22
lindian49,zs211062_anchored_30s,False,1,20
jiufu271,jiufu_aed96a8cd6dde3_first30,False,2,9
jiufu271,jiufu_d57a389e370ce5_first30,False,2,20
jiufu271,jiufu_b79d91910dc17a_first30,False,3,9
jiufu271,jiufu_8db6ed7f9c3ad8_first30,False,5,16
jiufu271,jiufu_75a484b3f5253b_first30,False,2,10
jiufu271,jiufu_35f0adf19ed368_first30,False,8,21
jiufu271,jiufu_21e342957e0fd7_first30,False,5,22
jiufu271,jiufu_c92bd308748a09_first30,False,5,15
jiufu271,jiufu_551d99f2e9c264_first30,False,12,12
jiufu271,jiufu_c95ae69597cc50_first30,False,1,10
jiufu271,jiufu_94796ccea127be_first30,False,5,14
jiufu271,jiufu_3ac83315834f77_first30,False,2,7
jiufu271,jiufu_c68c62cb67dede_first30,False,4,13
jiufu271,jiufu_3721f7cf5a844c_first30,False,2,6
jiufu271,jiufu_65b745e540b8c7_first30,False,3,12
jiufu271,jiufu_2e919f7b4ce7d4_first30,False,0,0
jiufu271,jiufu_f7266533e3399d_first30,False,2,17
jiufu271,jiufu_bd77cfa7950eaa_first30,False,14,15
jiufu271,jiufu_90ed4ac916a295_first30,False,4,4
jiufu271,jiufu_cd5eea76388f30_first30,False,11,11
jiufu271,jiufu_6cbcb0311b3ebf_first30,False,4,17
jiufu271,jiufu_6a641dd078f572_first30,False,3,17
jiufu271,jiufu_edd9eebe6de991_first30,False,9,20
jiufu271,jiufu_58c38973aff558_first30,False,8,14
jiufu271,jiufu_665326590feedb_first30,False,8,8
jiufu271,jiufu_124bf365605cd6_first30,False,3,10
jiufu271,jiufu_cc565ea0bfa396_first30,False,14,17
jiufu271,jiufu_0a14da4ad52431_first30,False,13,17
jiufu271,jiufu_abada3dda3e8b7_first30,False,7,16
jiufu271,jiufu_0ef3b83bc00130_first30,False,10,16
jiufu271,jiufu_a6ed80c55f7be6_first30,False,2,6
jiufu271,jiufu_6fa0bbd661c8bb_first30,False,12,15
jiufu271,jiufu_9eb853207f9233_first30,False,1,14
jiufu271,jiufu_494e84a71f0d53_first30,False,4,5
jiufu271,jiufu_8953d49083882b_first30,False,7,25
jiufu271,jiufu_577eb87b4ec0fa_first30,False,14,16
jiufu271,jiufu_ac7d209f2a6aec_first30,False,5,7
jiufu271,jiufu_45e262858c1edf_first30,False,8,13
jiufu271,jiufu_59f7f9462f2c30_first30,False,3,17
jiufu271,jiufu_6454a9e613172b_first30,False,11,25
jiufu271,jiufu_80fa8dbe195b66_first30,False,3,18
jiufu271,jiufu_012d9efb7d8d4c_first30,False,4,10
jiufu271,jiufu_5623dc263f1364_first30,False,3,14
jiufu271,jiufu_8254fd394c755d_first30,False,9,12
jiufu271,jiufu_33ff2c90bde0a7_first30,False,7,11
jiufu271,jiufu_c37db5cf8c7d4e_first30,False,3,6
jiufu271,jiufu_8ac17622997976_first30,False,6,10
jiufu271,jiufu_ee2427b1f91c14_first30,False,5,14
jiufu271,jiufu_d40d50640e24a1_first30,False,2,29
jiufu271,jiufu_e20abde4e3a043_first30,False,3,18
jiufu271,jiufu_fffa829b4cfc5f_first30,False,3,11
jiufu271,jiufu_39742bec07007b_first30,False,7,10
jiufu271,jiufu_a7f96cc7661e4a_first30,False,4,14
jiufu271,jiufu_f5a7ada186a785_first30,False,1,18
jiufu271,jiufu_8f2aab0fc1ae4b_first30,False,1,30
jiufu271,jiufu_05aaedc28c6708_first30,False,4,11
jiufu271,jiufu_0d1522aef374ec_first30,False,2,14
jiufu271,jiufu_2cdb051142d5ab_first30,False,4,14
jiufu271,jiufu_d4707a9c23271d_first30,False,3,14
jiufu271,jiufu_2f0c90ece853b4_first30,False,3,17
jiufu271,jiufu_57c74728570ec9_first30,False,4,18
jiufu271,jiufu_2fc7ddf8f284e4_first30,False,5,18
jiufu271,jiufu_a04e9f770a2bb9_first30,False,1,20
jiufu271,jiufu_333df78fe49441_first30,False,5,15
jiufu271,jiufu_4263d1ee2b7d38_first30,False,1,20
jiufu271,jiufu_7cb985938d0a6a_first30,False,1,12
jiufu271,jiufu_7c448f9ef64639_first30,False,11,16
jiufu271,jiufu_bc495978774317_first30,False,11,13
jiufu271,jiufu_e3cef2504bbb4a_first30,False,11,15
jiufu271,jiufu_d7a117e86dae24_first30,False,5,15
jiufu271,jiufu_f339ead1fdb0ac_first30,False,4,18
jiufu271,jiufu_92e9f652faa64a_first30,False,1,18
jiufu271,jiufu_fe09caa146ddbd_first30,False,4,13
jiufu271,jiufu_f6c192eaf6c290_first30,False,3,8
jiufu271,jiufu_42e874dae20aee_first30,False,2,7
jiufu271,jiufu_b45e99f5e3803e_first30,False,4,23
jiufu271,jiufu_fbbccb98b40ed8_first30,False,6,8
jiufu271,jiufu_b7367092cbf12f_first30,False,10,12
jiufu271,jiufu_fbaed9c05fdf1a_first30,False,1,19
jiufu271,jiufu_09732493a874e4_first30,False,4,21
jiufu271,jiufu_c2f523dbca4113_first30,False,1,16
jiufu271,jiufu_19a4aa849045e9_first30,False,2,18
jiufu271,jiufu_bfba3aa9a87b7c_first30,False,1,20
jiufu271,jiufu_542013dcb78dc0_first30,False,7,16
jiufu271,jiufu_596ccaaf7a001c_first30,False,4,14
jiufu271,jiufu_9b4d8a24856a9f_first30,False,3,10
jiufu271,jiufu_a1fad2b6534006_first30,False,3,12
jiufu271,jiufu_4923eea2509695_first30,False,18,23
jiufu271,jiufu_ff4c4ac565e3b0_first30,False,7,10
jiufu271,jiufu_24afbde80aa2d4_first30,False,2,7
jiufu271,jiufu_135fcf30e11031_first30,False,5,19
jiufu271,jiufu_21792037472910_first30,False,7,7
jiufu271,jiufu_fdc3b301cd9ef1_first30,False,3,6
jiufu271,jiufu_b1efccc0572872_first30,False,1,11
jiufu271,jiufu_cbf053d260a726_first30,False,7,12
jiufu271,jiufu_b7a3631a4e36ce_first30,False,6,10
jiufu271,jiufu_4cadeee3a7496f_first30,False,5,15
jiufu271,jiufu_0bede2d3d6e2ef_first30,False,3,18
jiufu271,jiufu_771e73351d8f0d_first30,False,8,25
jiufu271,jiufu_ed4591eaed0b3f_first30,False,3,18
jiufu271,jiufu_39c814598b6c9a_first30,False,2,15
jiufu271,jiufu_72f9214b6e39c9_first30,False,7,9
jiufu271,jiufu_44a8b44ef7ff55_first30,False,1,15
jiufu271,jiufu_46aefc048b6969_first30,True,0,12
jiufu271,jiufu_f19803e664a7cb_first30,True,0,12
jiufu271,jiufu_ca838441c991bb_first30,False,4,21
jiufu271,jiufu_366cb8600d5450_first30,False,5,9
jiufu271,jiufu_a72be27aa4d574_first30,False,6,15
jiufu271,jiufu_cc8f24e9070eb6_first30,False,5,10
jiufu271,jiufu_658fffa214f378_first30,False,1,24
jiufu271,jiufu_a005ae733f6503_first30,False,4,10
jiufu271,jiufu_1f9c8c3925bc30_first30,False,4,14
jiufu271,jiufu_2b9099fd06d9e1_first30,False,14,17
jiufu271,jiufu_370ef65c280bd7_first30,False,15,17
jiufu271,jiufu_931fb29cee6b4b_first30,False,9,9
jiufu271,jiufu_b01f0755dc6a1f_first30,False,6,12
jiufu271,jiufu_f242385ce55e15_first30,False,3,10
jiufu271,jiufu_f920435ef76ec4_first30,False,6,8
jiufu271,jiufu_7f52d294468aa5_first30,False,8,16
jiufu271,jiufu_11acdc6d1c6ccc_first30,False,1,10
jiufu271,jiufu_cc60214ff2d564_first30,False,10,10
jiufu271,jiufu_f23fd2fe9eb848_first30,False,4,9
jiufu271,jiufu_126bdac0bd036b_first30,False,0,12
jiufu271,jiufu_c6e5a206ad0c30_first30,False,1,17
jiufu271,jiufu_0f7af9c769fda5_first30,False,7,10
jiufu271,jiufu_42402108cd09a9_first30,False,3,7
jiufu271,jiufu_a97a8ff157139f_first30,False,3,11
jiufu271,jiufu_a45d837f891e44_first30,False,5,7
jiufu271,jiufu_3a993354ebd1c7_first30,False,12,17
jiufu271,jiufu_13f838ff73e069_first30,False,4,5
jiufu271,jiufu_7388b7efc8afb3_first30,False,7,13
jiufu271,jiufu_2fdd36fbe9a8ce_first30,False,6,16
jiufu271,jiufu_ef58cd171d4783_first30,False,7,14
jiufu271,jiufu_dfa58f3a711e47_first30,False,7,10
jiufu271,jiufu_a1ceaa6025ff79_first30,False,5,10
jiufu271,jiufu_9a1c40cbb80bb1_first30,False,2,9
jiufu271,jiufu_161f93bfffbe11_first30,False,1,9
jiufu271,jiufu_014c9b6a274fed_first30,False,10,12
jiufu271,jiufu_028724ccc9868d_first30,False,12,17
jiufu271,jiufu_0c053f837a8b23_first30,False,8,17
jiufu271,jiufu_8f6eabd7f2cb6e_first30,False,4,10
jiufu271,jiufu_21b4c4c26061d0_first30,False,5,15
jiufu271,jiufu_37333d1afc0ec2_first30,False,9,15
jiufu271,jiufu_b273cec8024eb2_first30,False,2,13
jiufu271,jiufu_d1a9a7ab944633_first30,False,12,12
jiufu271,jiufu_908496549f5b42_first30,False,4,6
jiufu271,jiufu_04fd6f8dc56a73_first30,False,4,10
jiufu271,jiufu_440a29cebcae1c_first30,False,2,11
jiufu271,jiufu_e2821e37ff899d_first30,True,0,18
jiufu271,jiufu_b80d393ca25ef8_first30,False,4,5
jiufu271,jiufu_adb9b6776eb349_first30,False,5,19
jiufu271,jiufu_d837d576df8e43_first30,False,4,9
jiufu271,jiufu_281bc808f4d3ff_first30,False,2,8
jiufu271,jiufu_4206de92a27bce_first30,False,1,15
jiufu271,jiufu_43743cb152c168_first30,False,6,13
jiufu271,jiufu_d7498380edb383_first30,False,11,12
jiufu271,jiufu_512d98136d6412_first30,False,1,14
jiufu271,jiufu_1b1d8d9b6faec7_first30,False,7,10
jiufu271,jiufu_1a11fc33fcb6cf_first30,False,6,14
jiufu271,jiufu_993a2261c33ae0_first30,False,10,15
jiufu271,jiufu_15023a4d62f18e_first30,False,3,24
jiufu271,jiufu_bcea2687a6b788_first30,False,14,15
jiufu271,jiufu_fe965ff4644d07_first30,False,7,14
jiufu271,jiufu_f6bca344b2c8ce_first30,False,1,18
jiufu271,jiufu_ce6ff507b22ee9_first30,False,13,19
jiufu271,jiufu_075ed4d93c9959_first30,False,5,9
jiufu271,jiufu_234cbf6b627421_first30,False,4,4
jiufu271,jiufu_0f85cab7ac58ae_first30,False,7,14
jiufu271,jiufu_55441b4c6fe974_first30,False,9,13
jiufu271,jiufu_d074036ef96d31_first30,False,9,15
jiufu271,jiufu_cdaa16888fda03_first30,False,5,9
jiufu271,jiufu_b7ed63dc0d8295_first30,False,2,15
jiufu271,jiufu_9ddfe0afe06424_first30,False,3,13
