cohort,status,windows,truth_events,tp,fp,fn,precision,recall,f1
lindian49,ok,47,1127,857,292,270,0.7458659704090513,0.7604259094942325,0.7530755711775043
jiufu271,abstain,43,572,0,0,572,0.0,0.0,0.0
jiufu271,ok,173,2458,1324,1028,1134,0.5629251700680272,0.5386493083807974,0.5505197505197506
