cohort,n,scope,mean,sd,min,max,variance_population,mse,rr_r2,below20,mae
lindian49,47,complete_and_output_only,47.952683920451605,11.360941544470894,26.003282862119796,72.00463403405602,126.32480144120632,13.781776273968768,0.8909020547292683,0,2.9780554739909335
jiufu271,173,complete_and_output_only,28.416184971098264,10.343528108582131,6.0,60.0,106.370142670988,61.73410404624278,0.41962939509076647,29,5.15606936416185
