cohort,window_id,status,count_error,unmatched_events,cancelling_pairs,exact_count,f1
jiufu271,jiufu_8f2aab0fc1ae4b_first30,ok,4,18,7,False,0.6785714285714286
jiufu271,jiufu_b230c11bab398b_first30,abstain,-18,18,0,False,0.0
jiufu271,jiufu_05aaedc28c6708_first30,ok,2,10,4,False,0.5
jiufu271,jiufu_0d1522aef374ec_first30,ok,0,12,6,True,0.5714285714285714
jiufu271,jiufu_2cdb051142d5ab_first30,ok,0,2,1,True,0.9285714285714286
jiufu271,jiufu_d4707a9c23271d_first30,ok,0,6,3,True,0.7857142857142857
jiufu271,jiufu_2f0c90ece853b4_first30,ok,0,6,3,True,0.8235294117647058
jiufu271,jiufu_57c74728570ec9_first30,ok,-2,14,6,False,0.631578947368421
jiufu271,jiufu_2fc7ddf8f284e4_first30,ok,-1,17,8,False,0.5405405405405406
jiufu271,jiufu_a04e9f770a2bb9_first30,ok,-3,25,11,False,0.4186046511627907
jiufu271,jiufu_333df78fe49441_first30,ok,1,7,3,False,0.7586206896551724
jiufu271,jiufu_4263d1ee2b7d38_first30,ok,-2,4,1,False,0.9047619047619048
jiufu271,jiufu_7cb985938d0a6a_first30,ok,0,20,10,True,0.16666666666666666
jiufu271,jiufu_7c448f9ef64639_first30,ok,1,15,7,False,0.5161290322580645
jiufu271,jiufu_bc495978774317_first30,ok,3,11,4,False,0.5217391304347826
jiufu271,jiufu_e3cef2504bbb4a_first30,ok,-1,11,5,False,0.6451612903225806
jiufu271,jiufu_d7a117e86dae24_first30,ok,0,10,5,True,0.6666666666666666
jiufu271,jiufu_f339ead1fdb0ac_first30,ok,2,16,7,False,0.5294117647058824
jiufu271,jiufu_92e9f652faa64a_first30,ok,-7,11,2,False,0.7441860465116279
jiufu271,jiufu_fe09caa146ddbd_first30,ok,-1,15,7,False,0.4444444444444444
jiufu271,jiufu_f6c192eaf6c290_first30,ok,-5,11,3,False,0.47619047619047616
jiufu271,jiufu_42e874dae20aee_first30,ok,-2,14,6,False,0.125
jiufu271,jiufu_b45e99f5e3803e_first30,ok,1,7,3,False,0.8444444444444444
jiufu271,jiufu_fbbccb98b40ed8_first30,ok,0,10,5,True,0.375
jiufu271,jiufu_b7367092cbf12f_first30,ok,-6,8,1,False,0.7333333333333333
jiufu271,jiufu_61a3c1628d9017_first30,abstain,-22,22,0,False,0.0
jiufu271,jiufu_fbaed9c05fdf1a_first30,ok,7,19,6,False,0.3870967741935484
jiufu271,jiufu_09732493a874e4_first30,ok,11,19,4,False,0.3870967741935484
jiufu271,jiufu_afbc3c7536759a_first30,abstain,-20,20,0,False,0.0
jiufu271,jiufu_c2f523dbca4113_first30,ok,0,20,10,True,0.375
jiufu271,jiufu_19a4aa849045e9_first30,ok,1,7,3,False,0.8
jiufu271,jiufu_bfba3aa9a87b7c_first30,ok,4,12,4,False,0.6666666666666666
jiufu271,jiufu_542013dcb78dc0_first30,ok,3,17,7,False,0.41379310344827586
jiufu271,jiufu_596ccaaf7a001c_first30,ok,-1,9,4,False,0.6896551724137931
jiufu271,jiufu_9b4d8a24856a9f_first30,ok,4,10,3,False,0.375
jiufu271,jiufu_a1fad2b6534006_first30,ok,-6,12,3,False,0.6
jiufu271,jiufu_1686565c1da471_first30,abstain,-10,10,0,False,0.0
jiufu271,jiufu_4923eea2509695_first30,ok,2,16,7,False,0.6363636363636364
jiufu271,jiufu_ff4c4ac565e3b0_first30,ok,0,14,7,True,0.3
jiufu271,jiufu_24afbde80aa2d4_first30,ok,0,4,2,True,0.7142857142857143
jiufu271,jiufu_6434f8ad9b4978_first30,abstain,-17,17,0,False,0.0
jiufu271,jiufu_0f495ca37676e0_first30,abstain,-17,17,0,False,0.0
jiufu271,jiufu_135fcf30e11031_first30,ok,3,9,3,False,0.7428571428571429
jiufu271,jiufu_21792037472910_first30,ok,1,5,2,False,0.6153846153846154
jiufu271,jiufu_fdc3b301cd9ef1_first30,ok,0,6,3,True,0.5
jiufu271,jiufu_b1efccc0572872_first30,ok,2,4,1,False,0.8
jiufu271,jiufu_cbf053d260a726_first30,ok,-5,15,5,False,0.4827586206896552
jiufu271,jiufu_b7a3631a4e36ce_first30,ok,-1,15,7,False,0.2857142857142857
jiufu271,jiufu_4cadeee3a7496f_first30,ok,5,15,5,False,0.4
jiufu271,jiufu_0bede2d3d6e2ef_first30,ok,-5,13,4,False,0.6829268292682927
jiufu271,jiufu_771e73351d8f0d_first30,ok,-5,11,3,False,0.8
jiufu271,jiufu_ed4591eaed0b3f_first30,ok,-5,13,4,False,0.6829268292682927
jiufu271,jiufu_39c814598b6c9a_first30,ok,-3,19,8,False,0.42424242424242425
jiufu271,jiufu_c79b86b8813e90_first30,abstain,-12,12,0,False,0.0
jiufu271,jiufu_d0a278abbce35d_first30,abstain,-17,17,0,False,0.0
jiufu271,jiufu_72f9214b6e39c9_first30,ok,4,12,4,False,0.14285714285714285
jiufu271,jiufu_24b7bfc0889845_first30,abstain,-14,14,0,False,0.0
jiufu271,jiufu_44a8b44ef7ff55_first30,ok,5,11,3,False,0.56
