reference,rr_mae_delta,rr_mae_ci_low,rr_mae_ci_high,event_f1_ci_low,event_f1_ci_high
R2,-0.20809248554913296,-0.6285978835978836,0.2,-0.010419614632191413,0.01516672002416946
R3,1.1428571428571428,-0.2857142857142857,2.2857142857142856,0.0015116032756564367,0.1008151653253754
