reference,window_id,cluster,method,truth_count,predicted_count,truth_rr,predicted_rr
R2,jiufu_aed96a8cd6dde3_first30,A1022198,frozen,11.0,9.0,22.0,18.0
R2,jiufu_aed96a8cd6dde3_first30,A1022198,observed_periodicity,11.0,10.0,22.0,20.0
R2,jiufu_d57a389e370ce5_first30,508,frozen,20.0,20.0,40.0,40.0
R2,jiufu_d57a389e370ce5_first30,508,observed_periodicity,20.0,21.0,40.0,42.0
R2,jiufu_b79d91910dc17a_first30,681,frozen,13.0,9.0,26.0,18.0
R2,jiufu_b79d91910dc17a_first30,681,observed_periodicity,13.0,8.0,26.0,16.0
R2,jiufu_8db6ed7f9c3ad8_first30,677,frozen,12.0,16.0,24.0,32.0
R2,jiufu_8db6ed7f9c3ad8_first30,677,observed_periodicity,12.0,15.0,24.0,30.0
R2,jiufu_75a484b3f5253b_first30,1425,frozen,7.0,10.0,14.0,20.0
R2,jiufu_75a484b3f5253b_first30,1425,observed_periodicity,7.0,10.0,14.0,20.0
R2,jiufu_35f0adf19ed368_first30,622,frozen,20.0,21.0,40.0,42.0
R2,jiufu_35f0adf19ed368_first30,622,observed_periodicity,20.0,20.0,40.0,40.0
R2,jiufu_21e342957e0fd7_first30,1420,frozen,24.0,22.0,48.0,44.0
R2,jiufu_21e342957e0fd7_first30,1420,observed_periodicity,24.0,23.0,48.0,46.0
R2,jiufu_c92bd308748a09_first30,A1021154,frozen,17.0,15.0,34.0,30.0
R2,jiufu_c92bd308748a09_first30,A1021154,observed_periodicity,17.0,15.0,34.0,30.0
R2,jiufu_551d99f2e9c264_first30,1241,frozen,15.0,12.0,30.0,24.0
R2,jiufu_551d99f2e9c264_first30,1241,observed_periodicity,15.0,12.0,30.0,24.0
R2,jiufu_c95ae69597cc50_first30,1279,frozen,13.0,10.0,26.0,20.0
R2,jiufu_c95ae69597cc50_first30,1279,observed_periodicity,13.0,12.0,26.0,24.0
R2,jiufu_94796ccea127be_first30,989,frozen,13.0,14.0,26.0,28.0
R2,jiufu_94796ccea127be_first30,989,observed_periodicity,13.0,15.0,26.0,30.0
R2,jiufu_3ac83315834f77_first30,713,frozen,7.0,7.0,14.0,14.0
R2,jiufu_3ac83315834f77_first30,713,observed_periodicity,7.0,7.0,14.0,14.0
R2,jiufu_c68c62cb67dede_first30,623,frozen,10.0,13.0,20.0,26.0
R2,jiufu_c68c62cb67dede_first30,623,observed_periodicity,10.0,13.0,20.0,26.0
R2,jiufu_3721f7cf5a844c_first30,653,frozen,6.0,6.0,12.0,12.0
R2,jiufu_3721f7cf5a844c_first30,653,observed_periodicity,6.0,6.0,12.0,12.0
R2,jiufu_65b745e540b8c7_first30,281,frozen,11.0,12.0,22.0,24.0
R2,jiufu_65b745e540b8c7_first30,281,observed_periodicity,11.0,12.0,22.0,24.0
R2,jiufu_2e919f7b4ce7d4_first30,353,frozen,18.0,0.0,36.0,0.0
R2,jiufu_2e919f7b4ce7d4_first30,353,observed_periodicity,18.0,1.0,36.0,2.0
R2,jiufu_f7266533e3399d_first30,558,frozen,17.0,17.0,34.0,34.0
R2,jiufu_f7266533e3399d_first30,558,observed_periodicity,17.0,17.0,34.0,34.0
R2,jiufu_bd77cfa7950eaa_first30,743,frozen,15.0,15.0,30.0,30.0
R2,jiufu_bd77cfa7950eaa_first30,743,observed_periodicity,15.0,16.0,30.0,32.0
R2,jiufu_90ed4ac916a295_first30,179,frozen,22.0,4.0,44.0,8.0
R2,jiufu_90ed4ac916a295_first30,179,observed_periodicity,22.0,4.0,44.0,8.0
R2,jiufu_cd5eea76388f30_first30,728,frozen,14.0,11.0,28.0,22.0
R2,jiufu_cd5eea76388f30_first30,728,observed_periodicity,14.0,10.0,28.0,20.0
R2,jiufu_6cbcb0311b3ebf_first30,956,frozen,14.0,17.0,28.0,34.0
R2,jiufu_6cbcb0311b3ebf_first30,956,observed_periodicity,14.0,17.0,28.0,34.0
R2,jiufu_6a641dd078f572_first30,753,frozen,20.0,17.0,40.0,34.0
R2,jiufu_6a641dd078f572_first30,753,observed_periodicity,20.0,19.0,40.0,38.0
R2,jiufu_edd9eebe6de991_first30,943,frozen,19.0,20.0,38.0,40.0
R2,jiufu_edd9eebe6de991_first30,943,observed_periodicity,19.0,21.0,38.0,42.0
R2,jiufu_58c38973aff558_first30,771,frozen,10.0,14.0,20.0,28.0
R2,jiufu_58c38973aff558_first30,771,observed_periodicity,10.0,11.0,20.0,22.0
R2,jiufu_665326590feedb_first30,447,frozen,16.0,8.0,32.0,16.0
R2,jiufu_665326590feedb_first30,447,observed_periodicity,16.0,6.0,32.0,12.0
R2,jiufu_124bf365605cd6_first30,1299,frozen,17.0,10.0,34.0,20.0
R2,jiufu_124bf365605cd6_first30,1299,observed_periodicity,17.0,10.0,34.0,20.0
R2,jiufu_cc565ea0bfa396_first30,1246,frozen,15.0,17.0,30.0,34.0
R2,jiufu_cc565ea0bfa396_first30,1246,observed_periodicity,15.0,14.0,30.0,28.0
R2,jiufu_0a14da4ad52431_first30,1134,frozen,18.0,17.0,36.0,34.0
R2,jiufu_0a14da4ad52431_first30,1134,observed_periodicity,18.0,17.0,36.0,34.0
R2,jiufu_abada3dda3e8b7_first30,846,frozen,18.0,16.0,36.0,32.0
R2,jiufu_abada3dda3e8b7_first30,846,observed_periodicity,18.0,14.0,36.0,28.0
R2,jiufu_0ef3b83bc00130_first30,1428,frozen,17.0,16.0,34.0,32.0
R2,jiufu_0ef3b83bc00130_first30,1428,observed_periodicity,17.0,13.0,34.0,26.0
R2,jiufu_a6ed80c55f7be6_first30,1436,frozen,3.0,6.0,6.0,12.0
R2,jiufu_a6ed80c55f7be6_first30,1436,observed_periodicity,3.0,6.0,6.0,12.0
R2,jiufu_6fa0bbd661c8bb_first30,1423,frozen,19.0,15.0,38.0,30.0
R2,jiufu_6fa0bbd661c8bb_first30,1423,observed_periodicity,19.0,16.0,38.0,32.0
R2,jiufu_9eb853207f9233_first30,640,frozen,13.0,14.0,26.0,28.0
R2,jiufu_9eb853207f9233_first30,640,observed_periodicity,13.0,14.0,26.0,28.0
R2,jiufu_494e84a71f0d53_first30,1268,frozen,4.0,5.0,8.0,10.0
R2,jiufu_494e84a71f0d53_first30,1268,observed_periodicity,4.0,4.0,8.0,8.0
R2,jiufu_8953d49083882b_first30,1150,frozen,24.0,25.0,48.0,50.0
R2,jiufu_8953d49083882b_first30,1150,observed_periodicity,24.0,25.0,48.0,50.0
R2,jiufu_577eb87b4ec0fa_first30,1442,frozen,14.0,16.0,28.0,32.0
R2,jiufu_577eb87b4ec0fa_first30,1442,observed_periodicity,14.0,17.0,28.0,34.0
R2,jiufu_ac7d209f2a6aec_first30,214,frozen,6.0,7.0,12.0,14.0
R2,jiufu_ac7d209f2a6aec_first30,214,observed_periodicity,6.0,7.0,12.0,14.0
R2,jiufu_45e262858c1edf_first30,1146,frozen,20.0,13.0,40.0,26.0
R2,jiufu_45e262858c1edf_first30,1146,observed_periodicity,20.0,13.0,40.0,26.0
R2,jiufu_59f7f9462f2c30_first30,165,frozen,19.0,17.0,38.0,34.0
R2,jiufu_59f7f9462f2c30_first30,165,observed_periodicity,19.0,15.0,38.0,30.0
R2,jiufu_6454a9e613172b_first30,A1022182,frozen,23.0,25.0,46.0,50.0
