reference,window_id,cluster,method,tp,fp,fn,precision,recall,f1
R2,jiufu_aed96a8cd6dde3_first30,A1022198,frozen,2,7,9,0.2222222222222222,0.18181818181818182,0.2
R2,jiufu_aed96a8cd6dde3_first30,A1022198,observed_periodicity,3,7,8,0.3,0.2727272727272727,0.2857142857142857
R2,jiufu_d57a389e370ce5_first30,508,frozen,15,5,5,0.75,0.75,0.75
R2,jiufu_d57a389e370ce5_first30,508,observed_periodicity,12,9,8,0.5714285714285714,0.6,0.5853658536585366
R2,jiufu_b79d91910dc17a_first30,681,frozen,2,7,11,0.2222222222222222,0.15384615384615385,0.18181818181818182
R2,jiufu_b79d91910dc17a_first30,681,observed_periodicity,2,6,11,0.25,0.15384615384615385,0.19047619047619047
R2,jiufu_d31bd7d7642ce6_first30,921,frozen,0,0,11,0.0,0.0,0.0
R2,jiufu_d31bd7d7642ce6_first30,921,observed_periodicity,0,0,11,0.0,0.0,0.0
R2,jiufu_73db0107967f0e_first30,683,frozen,0,0,5,0.0,0.0,0.0
R2,jiufu_73db0107967f0e_first30,683,observed_periodicity,0,0,5,0.0,0.0,0.0
R2,jiufu_8db6ed7f9c3ad8_first30,677,frozen,7,9,5,0.4375,0.5833333333333334,0.5
R2,jiufu_8db6ed7f9c3ad8_first30,677,observed_periodicity,7,8,5,0.4666666666666667,0.5833333333333334,0.5185185185185185
R2,jiufu_75a484b3f5253b_first30,1425,frozen,5,5,2,0.5,0.7142857142857143,0.5882352941176471
R2,jiufu_75a484b3f5253b_first30,1425,observed_periodicity,5,5,2,0.5,0.7142857142857143,0.5882352941176471
R2,jiufu_35f0adf19ed368_first30,622,frozen,16,5,4,0.7619047619047619,0.8,0.7804878048780488
R2,jiufu_35f0adf19ed368_first30,622,observed_periodicity,15,5,5,0.75,0.75,0.75
R2,jiufu_7045c3900be0cc_first30,921,frozen,0,0,9,0.0,0.0,0.0
R2,jiufu_7045c3900be0cc_first30,921,observed_periodicity,0,0,9,0.0,0.0,0.0
R2,jiufu_21e342957e0fd7_first30,1420,frozen,22,0,2,1.0,0.9166666666666666,0.9565217391304348
R2,jiufu_21e342957e0fd7_first30,1420,observed_periodicity,22,1,2,0.9565217391304348,0.9166666666666666,0.9361702127659575
R2,jiufu_36ee658c295629_first30,1469,frozen,0,0,13,0.0,0.0,0.0
R2,jiufu_36ee658c295629_first30,1469,observed_periodicity,0,0,13,0.0,0.0,0.0
R2,jiufu_c92bd308748a09_first30,A1021154,frozen,8,7,9,0.5333333333333333,0.47058823529411764,0.5
R2,jiufu_c92bd308748a09_first30,A1021154,observed_periodicity,9,6,8,0.6,0.5294117647058824,0.5625
R2,jiufu_551d99f2e9c264_first30,1241,frozen,4,8,11,0.3333333333333333,0.26666666666666666,0.2962962962962963
R2,jiufu_551d99f2e9c264_first30,1241,observed_periodicity,6,6,9,0.5,0.4,0.4444444444444444
R2,jiufu_c95ae69597cc50_first30,1279,frozen,8,2,5,0.8,0.6153846153846154,0.6956521739130435
R2,jiufu_c95ae69597cc50_first30,1279,observed_periodicity,7,5,6,0.5833333333333334,0.5384615384615384,0.56
R2,jiufu_94796ccea127be_first30,989,frozen,9,5,4,0.6428571428571429,0.6923076923076923,0.6666666666666666
R2,jiufu_94796ccea127be_first30,989,observed_periodicity,9,6,4,0.6,0.6923076923076923,0.6428571428571429
R2,jiufu_56e83ecf9a14bb_first30,1574,frozen,0,0,14,0.0,0.0,0.0
