segment_id,source_start_seconds,source_end_seconds,first_source_frame,stop_source_frame_exclusive,source_frame_count,first_source_pts_seconds,last_source_pts_seconds,max_interframe_gap_seconds,status,reason,playback_fps,clip_path,source_path,source_sha256,source_fps_metadata,view_codec
000_030,0.0,30.0,0,264,264,0.0,29.990000000000002,0.33500000000000085,CUT,,8.8,E:\real\use_code\yoloV8\Experiment\06_林甸扩展试验\190588_browser_vp8_v1\20230805T164945n190588_000_030.webm,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
030_060,30.0,60.0,264,527,263,30.083333333333336,59.955000000000005,0.24499999999999744,CUT,,8.766666666666667,E:\real\use_code\yoloV8\Experiment\06_林甸扩展试验\190588_browser_vp8_v1\20230805T164945n190588_030_060.webm,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
060_090,60.0,90.0,527,768,241,60.068333333333335,89.78333333333335,2.576666666666668,SKIP,timestamp_gap,,,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
090_120,90.0,120.0,768,1033,265,90.075,119.92166666666668,0.25,CUT,,8.833333333333334,E:\real\use_code\yoloV8\Experiment\06_林甸扩展试验\190588_browser_vp8_v1\20230805T164945n190588_090_120.webm,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
120_150,120.0,150.0,1033,1295,262,120.13333333333334,149.95333333333335,0.4399999999999977,CUT,,8.733333333333333,E:\real\use_code\yoloV8\Experiment\06_林甸扩展试验\190588_browser_vp8_v1\20230805T164945n190588_120_150.webm,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
150_180,150.0,180.0,1295,1559,264,150.11,179.99,0.24833333333333485,CUT,,8.8,E:\real\use_code\yoloV8\Experiment\06_林甸扩展试验\190588_browser_vp8_v1\20230805T164945n190588_150_180.webm,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
180_210,180.0,210.0,1559,1821,262,180.12166666666667,209.94333333333336,0.23499999999998522,CUT,,8.733333333333333,E:\real\use_code\yoloV8\Experiment\06_林甸扩展试验\190588_browser_vp8_v1\20230805T164945n190588_180_210.webm,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
210_240,210.0,240.0,1821,2084,263,210.0016666666667,239.83,0.40166666666667084,CUT,,8.766666666666667,E:\real\use_code\yoloV8\Experiment\06_林甸扩展试验\190588_browser_vp8_v1\20230805T164945n190588_210_240.webm,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
240_270,240.0,270.0,2084,2329,245,240.00333333333336,269.99333333333334,2.346666666666664,SKIP,timestamp_gap,,,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
270_300,270.0,300.0,2329,2591,262,270.1066666666667,299.9716666666667,0.29000000000002046,CUT,,8.733333333333333,E:\real\use_code\yoloV8\Experiment\06_林甸扩展试验\190588_browser_vp8_v1\20230805T164945n190588_270_300.webm,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
300_330,300.0,330.0,2591,2854,263,300.0816666666667,329.85,0.3599999999999568,CUT,,8.766666666666667,E:\real\use_code\yoloV8\Experiment\06_林甸扩展试验\190588_browser_vp8_v1\20230805T164945n190588_300_330.webm,E:\real\use_code\林甸红外视频\0805\B1号舍泌乳牛下午0805时间405挤奶之后进食\20230805T164945n190588\20230805T164945n190588.MP4,48a355a2850dc5637b1310a5c4441cd787db43bd030c68de7a0d17081f4c0c79,8.64506606080778,VP8/WebM
