cohort,review_id,window_id,strict_visible_phase,tolerance_seconds,tp,fp,fn,precision,recall,f1
jiufu271,R3-06,jiufu_6328167f32f25e_first30,False,1.0,11,2,1,0.8461538461538461,0.9166666666666666,0.88
lindian49,R3-07,bs200794_anchored_30s,True,0.1,15,14,12,0.5172413793103449,0.5555555555555556,0.5357142857142857
lindian49,R3-07,bs200794_anchored_30s,True,0.2,24,5,3,0.8275862068965517,0.8888888888888888,0.8571428571428571
lindian49,R3-07,bs200794_anchored_30s,True,0.3,26,3,1,0.896551724137931,0.9629629629629629,0.9285714285714286
lindian49,R3-07,bs200794_anchored_30s,True,0.5,27,2,0,0.9310344827586207,1.0,0.9642857142857143
lindian49,R3-07,bs200794_anchored_30s,True,0.75,27,2,0,0.9310344827586207,1.0,0.9642857142857143
lindian49,R3-07,bs200794_anchored_30s,True,1.0,27,2,0,0.9310344827586207,1.0,0.9642857142857143
lindian49,R3-08,bs211063_anchored_30s,True,0.1,13,19,18,0.40625,0.41935483870967744,0.4126984126984127
lindian49,R3-08,bs211063_anchored_30s,True,0.2,20,12,11,0.625,0.6451612903225806,0.6349206349206349
lindian49,R3-08,bs211063_anchored_30s,True,0.3,28,4,3,0.875,0.9032258064516129,0.8888888888888888
lindian49,R3-08,bs211063_anchored_30s,True,0.5,30,2,1,0.9375,0.967741935483871,0.9523809523809523
lindian49,R3-08,bs211063_anchored_30s,True,0.75,30,2,1,0.9375,0.967741935483871,0.9523809523809523
lindian49,R3-08,bs211063_anchored_30s,True,1.0,30,2,1,0.9375,0.967741935483871,0.9523809523809523
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,True,0.1,3,10,9,0.23076923076923078,0.25,0.24
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,True,0.2,8,5,4,0.6153846153846154,0.6666666666666666,0.64
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,True,0.3,10,3,2,0.7692307692307693,0.8333333333333334,0.8
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,True,0.5,11,2,1,0.8461538461538461,0.9166666666666666,0.88
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,True,0.75,12,1,0,0.9230769230769231,1.0,0.96
jiufu271,R3-09,jiufu_440a29cebcae1c_first30,True,1.0,12,1,0,0.9230769230769231,1.0,0.96
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,True,0.1,5,3,5,0.625,0.5,0.5555555555555556
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,True,0.2,5,3,5,0.625,0.5,0.5555555555555556
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,True,0.3,6,2,4,0.75,0.6,0.6666666666666666
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,True,0.5,8,0,2,1.0,0.8,0.8888888888888888
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,True,0.75,8,0,2,1.0,0.8,0.8888888888888888
jiufu271,R3-10,jiufu_f920435ef76ec4_first30,True,1.0,8,0,2,1.0,0.8,0.8888888888888888
lindian49,R3-12,ns211095_anchored_30s,False,0.1,3,20,19,0.13043478260869565,0.13636363636363635,0.13333333333333333
lindian49,R3-12,ns211095_anchored_30s,False,0.2,12,11,10,0.5217391304347826,0.5454545454545454,0.5333333333333333
lindian49,R3-12,ns211095_anchored_30s,False,0.3,17,6,5,0.7391304347826086,0.7727272727272727,0.7555555555555555
lindian49,R3-12,ns211095_anchored_30s,False,0.5,19,4,3,0.8260869565217391,0.8636363636363636,0.8444444444444444
lindian49,R3-12,ns211095_anchored_30s,False,0.75,20,3,2,0.8695652173913043,0.9090909090909091,0.8888888888888888
lindian49,R3-12,ns211095_anchored_30s,False,1.0,21,2,1,0.9130434782608695,0.9545454545454546,0.9333333333333333
lindian49,R3-13,bs210974_anchored_30s,True,0.1,5,23,26,0.17857142857142858,0.16129032258064516,0.1694915254237288
lindian49,R3-13,bs210974_anchored_30s,True,0.2,12,16,19,0.42857142857142855,0.3870967741935484,0.4067796610169492
lindian49,R3-13,bs210974_anchored_30s,True,0.3,24,4,7,0.8571428571428571,0.7741935483870968,0.8135593220338984
