cohort,review_id,window_id,cluster,strict_visible_phase,prediction_status,version,method,tolerance_seconds,tp,fp,fn,precision,recall,f1
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1414,True,abstain,R3,previously_rejected_local_guard,0.3,0,0,16,0.0,0.0,0.0
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R2,frozen_baseline,0.1,0,12,12,0.0,0.0,0.0
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R3,frozen_baseline,0.1,2,10,11,0.16666666666666666,0.15384615384615385,0.16
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R2,frozen_baseline,0.2,1,11,11,0.08333333333333333,0.08333333333333333,0.08333333333333333
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R3,frozen_baseline,0.2,4,8,9,0.3333333333333333,0.3076923076923077,0.32
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R2,frozen_baseline,0.3,2,10,10,0.16666666666666666,0.16666666666666666,0.16666666666666666
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R3,frozen_baseline,0.3,5,7,8,0.4166666666666667,0.38461538461538464,0.4
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R2,frozen_baseline,0.5,7,5,5,0.5833333333333334,0.5833333333333334,0.5833333333333334
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R3,frozen_baseline,0.5,7,5,6,0.5833333333333334,0.5384615384615384,0.56
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R2,frozen_baseline,0.75,9,3,3,0.75,0.75,0.75
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R3,frozen_baseline,0.75,11,1,2,0.9166666666666666,0.8461538461538461,0.88
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R2,frozen_baseline,1.0,10,2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R3,frozen_baseline,1.0,11,1,2,0.9166666666666666,0.8461538461538461,0.88
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,659,True,ok,R3,previously_rejected_local_guard,0.3,4,7,9,0.36363636363636365,0.3076923076923077,0.3333333333333333
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R2,frozen_baseline,0.1,0,0,8,0.0,0.0,0.0
jiufu271,R3-03,jiufu_2aaced556ff39d_first30,957,True,abstain,R3,frozen_baseline,0.1,0,0,9,0.0,0.0,0.0
