review_id,window_id,issue,detail
R3-11,jiufu_13f838ff73e069_first30,complete_vs_unobservable_note,这个没有参考意义，因为从4s开始到结尾鼻子一直在摄像范围外
R3-12,ns211095_anchored_30s,window_event_phase_disagreement,window=thermal_extremum_only; events={'visible_expiration': 22}
