cohort,review_id,window_id,tolerance_seconds,r2_time,r3_time,r2_minus_r3_seconds,caveat
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,13.418,13.298,0.11999999999999922,truncated_matched_subset_not_reaction_latency
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,15.441,15.493,-0.0519999999999996,truncated_matched_subset_not_reaction_latency
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,17.088,17.202,-0.11400000000000077,truncated_matched_subset_not_reaction_latency
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,18.928,18.933,-0.004999999999999005,truncated_matched_subset_not_reaction_latency
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,20.905,20.982,-0.07699999999999818,truncated_matched_subset_not_reaction_latency
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,22.906,22.983,-0.07700000000000173,truncated_matched_subset_not_reaction_latency
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,24.616,24.847,-0.23100000000000165,truncated_matched_subset_not_reaction_latency
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,26.465,26.357,0.10800000000000054,truncated_matched_subset_not_reaction_latency
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,28.089,28.063,0.0259999999999998,truncated_matched_subset_not_reaction_latency
jiufu271,R3-01,jiufu_bb78a10aeab6d5_first30,1.0,29.508,29.412,0.09600000000000009,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.1,9.841,9.915,-0.07399999999999984,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.1,11.905,11.972,-0.06700000000000017,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.1,23.02,23.022,-0.0019999999999988916,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.1,27.296,27.315,-0.019000000000001904,truncated_matched_subset_not_reaction_latency
jiufu271,R3-02,jiufu_7cb985938d0a6a_first30,0.1,29.074,29.058,0.01600000000000179,truncated_matched_subset_not_reaction_latency
