scope,cohort,version,windows,mean_count,paired_windows,rr_mae_bpm,rr_r2
eligible_full_window,jiufu271,R2,11,12.727272727272727,7,1.4285714285714286,0.6941747572815533
eligible_full_window,jiufu271,R3,11,13.0,7,2.5714285714285716,0.34615384615384615
eligible_full_window,lindian49,R2,12,25.166666666666668,12,3.498415365599305,0.829492891214442
eligible_full_window,lindian49,R3,12,25.25,12,3.9996754068935574,0.8016136803851234
strict_visible_phase,jiufu271,R2,9,12.444444444444445,6,1.6666666666666667,0.5680000000000001
strict_visible_phase,jiufu271,R3,9,13.0,6,2.6666666666666665,0.24999999999999978
strict_visible_phase,lindian49,R2,11,25.363636363636363,11,3.271325634632048,0.853303771269869
strict_visible_phase,lindian49,R3,11,25.545454545454547,11,3.6364456067639863,0.832573017361766
