scope,cohort,version,method,tolerance_seconds,windows,output_windows,tp,fp,fn,precision,recall,f1
eligible_full_window,jiufu271,R2,frozen_baseline,0.1,11,7,8,75,132,0.0963855421686747,0.05714285714285714,0.07174887892376682
eligible_full_window,jiufu271,R2,frozen_baseline,0.2,11,7,22,61,118,0.26506024096385544,0.15714285714285714,0.19730941704035873
eligible_full_window,jiufu271,R2,frozen_baseline,0.3,11,7,34,49,106,0.40963855421686746,0.24285714285714285,0.30493273542600896
eligible_full_window,jiufu271,R2,frozen_baseline,0.5,11,7,52,31,88,0.6265060240963856,0.37142857142857144,0.4663677130044843
eligible_full_window,jiufu271,R2,frozen_baseline,0.75,11,7,63,20,77,0.7590361445783133,0.45,0.5650224215246636
eligible_full_window,jiufu271,R2,frozen_baseline,1.0,11,7,69,14,71,0.8313253012048193,0.4928571428571429,0.6188340807174888
eligible_full_window,jiufu271,R3,frozen_baseline,0.1,11,7,13,70,130,0.1566265060240964,0.09090909090909091,0.11504424778761062
eligible_full_window,jiufu271,R3,frozen_baseline,0.2,11,7,29,54,114,0.3493975903614458,0.20279720279720279,0.25663716814159293
eligible_full_window,jiufu271,R3,frozen_baseline,0.3,11,7,41,42,102,0.4939759036144578,0.2867132867132867,0.36283185840707965
eligible_full_window,jiufu271,R3,frozen_baseline,0.5,11,7,54,29,89,0.6506024096385542,0.3776223776223776,0.4778761061946903
eligible_full_window,jiufu271,R3,frozen_baseline,0.75,11,7,64,19,79,0.7710843373493976,0.44755244755244755,0.5663716814159292
eligible_full_window,jiufu271,R3,frozen_baseline,1.0,11,7,70,13,73,0.8433734939759037,0.48951048951048953,0.6194690265486725
eligible_full_window,jiufu271,R3,previously_rejected_local_guard,0.3,11,7,21,18,122,0.5384615384615384,0.14685314685314685,0.23076923076923078
eligible_full_window,lindian49,R2,frozen_baseline,0.1,12,12,70,229,232,0.23411371237458195,0.23178807947019867,0.23294509151414308
eligible_full_window,lindian49,R2,frozen_baseline,0.2,12,12,139,160,163,0.46488294314381273,0.4602649006622517,0.46256239600665555
eligible_full_window,lindian49,R2,frozen_baseline,0.3,12,12,208,91,94,0.6956521739130435,0.6887417218543046,0.6921797004991681
eligible_full_window,lindian49,R2,frozen_baseline,0.5,12,12,261,38,41,0.8729096989966555,0.8642384105960265,0.8685524126455907
eligible_full_window,lindian49,R2,frozen_baseline,0.75,12,12,277,22,25,0.9264214046822743,0.9172185430463576,0.9217970049916805
eligible_full_window,lindian49,R2,frozen_baseline,1.0,12,12,282,17,20,0.9431438127090301,0.9337748344370861,0.9384359400998337
eligible_full_window,lindian49,R3,frozen_baseline,0.1,12,12,69,230,234,0.23076923076923078,0.22772277227722773,0.2292358803986711
eligible_full_window,lindian49,R3,frozen_baseline,0.2,12,12,198,101,105,0.6622073578595318,0.6534653465346535,0.6578073089700996
eligible_full_window,lindian49,R3,frozen_baseline,0.3,12,12,244,55,59,0.8160535117056856,0.8052805280528053,0.8106312292358804
eligible_full_window,lindian49,R3,frozen_baseline,0.5,12,12,262,37,41,0.8762541806020067,0.8646864686468647,0.8704318936877077
eligible_full_window,lindian49,R3,frozen_baseline,0.75,12,12,274,25,29,0.9163879598662207,0.9042904290429042,0.9102990033222591
eligible_full_window,lindian49,R3,frozen_baseline,1.0,12,12,278,21,25,0.9297658862876255,0.9174917491749175,0.9235880398671097
eligible_full_window,lindian49,R3,previously_rejected_local_guard,0.3,12,12,240,48,63,0.8333333333333334,0.7920792079207921,0.8121827411167513
strict_visible_phase,jiufu271,R2,frozen_baseline,0.1,9,6,7,61,105,0.10294117647058823,0.0625,0.07777777777777778
strict_visible_phase,jiufu271,R2,frozen_baseline,0.2,9,6,18,50,94,0.2647058823529412,0.16071428571428573,0.2
strict_visible_phase,jiufu271,R2,frozen_baseline,0.3,9,6,27,41,85,0.39705882352941174,0.24107142857142858,0.3
strict_visible_phase,jiufu271,R2,frozen_baseline,0.5,9,6,43,25,69,0.6323529411764706,0.38392857142857145,0.4777777777777778
strict_visible_phase,jiufu271,R2,frozen_baseline,0.75,9,6,52,16,60,0.7647058823529411,0.4642857142857143,0.5777777777777777
strict_visible_phase,jiufu271,R2,frozen_baseline,1.0,9,6,56,12,56,0.8235294117647058,0.5,0.6222222222222222
strict_visible_phase,jiufu271,R3,frozen_baseline,0.1,9,6,12,56,105,0.17647058823529413,0.10256410256410256,0.12972972972972974
strict_visible_phase,jiufu271,R3,frozen_baseline,0.2,9,6,24,44,93,0.35294117647058826,0.20512820512820512,0.2594594594594595
strict_visible_phase,jiufu271,R3,frozen_baseline,0.3,9,6,33,35,84,0.4852941176470588,0.28205128205128205,0.3567567567567568
strict_visible_phase,jiufu271,R3,frozen_baseline,0.5,9,6,44,24,73,0.6470588235294118,0.37606837606837606,0.4756756756756757
strict_visible_phase,jiufu271,R3,frozen_baseline,0.75,9,6,52,16,65,0.7647058823529411,0.4444444444444444,0.5621621621621622
strict_visible_phase,jiufu271,R3,frozen_baseline,1.0,9,6,57,11,60,0.8382352941176471,0.48717948717948717,0.6162162162162163
strict_visible_phase,jiufu271,R3,previously_rejected_local_guard,0.3,9,6,21,17,96,0.5526315789473685,0.1794871794871795,0.2709677419354839
strict_visible_phase,lindian49,R2,frozen_baseline,0.1,11,11,67,206,212,0.2454212454212454,0.24014336917562723,0.2427536231884058
strict_visible_phase,lindian49,R2,frozen_baseline,0.2,11,11,132,141,147,0.4835164835164835,0.4731182795698925,0.4782608695652174
strict_visible_phase,lindian49,R2,frozen_baseline,0.3,11,11,192,81,87,0.7032967032967034,0.6881720430107527,0.6956521739130435
strict_visible_phase,lindian49,R2,frozen_baseline,0.5,11,11,240,33,39,0.8791208791208791,0.8602150537634409,0.8695652173913043
strict_visible_phase,lindian49,R2,frozen_baseline,0.75,11,11,255,18,24,0.9340659340659341,0.9139784946236559,0.9239130434782609
strict_visible_phase,lindian49,R2,frozen_baseline,1.0,11,11,259,14,20,0.9487179487179487,0.9283154121863799,0.9384057971014492
strict_visible_phase,lindian49,R3,frozen_baseline,0.1,11,11,63,210,218,0.23076923076923078,0.22419928825622776,0.22743682310469315
strict_visible_phase,lindian49,R3,frozen_baseline,0.2,11,11,183,90,98,0.6703296703296703,0.6512455516014235,0.6606498194945848
strict_visible_phase,lindian49,R3,frozen_baseline,0.3,11,11,226,47,55,0.8278388278388278,0.8042704626334519,0.8158844765342961
strict_visible_phase,lindian49,R3,frozen_baseline,0.5,11,11,242,31,39,0.8864468864468864,0.8612099644128114,0.8736462093862816
strict_visible_phase,lindian49,R3,frozen_baseline,0.75,11,11,252,21,29,0.9230769230769231,0.896797153024911,0.9097472924187726
strict_visible_phase,lindian49,R3,frozen_baseline,1.0,11,11,256,17,25,0.9377289377289377,0.9110320284697508,0.924187725631769
strict_visible_phase,lindian49,R3,previously_rejected_local_guard,0.3,11,11,222,40,59,0.8473282442748091,0.7900355871886121,0.8176795580110497
