window_id,removed_left,removed_right,fallback,baseline_count,new_count
jiufu_336c6a37c1e8bf_first30,31,116,False,9,2
jiufu_3daca4f99093f5_first30,39,190,False,19,19
jiufu_aed96a8cd6dde3_first30,5,63,False,9,9
jiufu_d57a389e370ce5_first30,14,25,False,20,21
jiufu_c3e3a442b21394_first30,30,56,False,13,13
jiufu_b79d91910dc17a_first30,32,58,False,9,10
jiufu_8db6ed7f9c3ad8_first30,5,24,False,16,16
jiufu_8a93efdf555173_first30,21,36,False,10,14
jiufu_75a484b3f5253b_first30,8,10,False,10,10
jiufu_35f0adf19ed368_first30,25,39,False,21,20
jiufu_21e342957e0fd7_first30,2,33,False,22,22
jiufu_c92bd308748a09_first30,18,16,False,15,15
jiufu_551d99f2e9c264_first30,35,154,False,12,11
jiufu_c95ae69597cc50_first30,17,11,False,10,11
jiufu_94796ccea127be_first30,1,83,False,14,12
jiufu_3cbd345626f05c_first30,7,16,False,6,6
jiufu_3ac83315834f77_first30,6,28,False,7,7
jiufu_c68c62cb67dede_first30,2,19,False,13,12
jiufu_3721f7cf5a844c_first30,6,10,False,6,5
jiufu_65b745e540b8c7_first30,10,110,False,12,12
jiufu_2e919f7b4ce7d4_first30,1,6,False,0,1
jiufu_f7266533e3399d_first30,12,57,False,17,17
jiufu_bd77cfa7950eaa_first30,116,18,False,15,16
jiufu_90ed4ac916a295_first30,17,29,False,4,5
jiufu_cd5eea76388f30_first30,9,92,False,11,7
jiufu_6cbcb0311b3ebf_first30,10,48,False,17,16
jiufu_6a641dd078f572_first30,79,15,False,17,16
jiufu_edd9eebe6de991_first30,16,12,False,20,18
jiufu_58c38973aff558_first30,52,30,False,14,12
jiufu_665326590feedb_first30,22,31,False,8,4
jiufu_124bf365605cd6_first30,4,14,False,10,10
jiufu_cc565ea0bfa396_first30,23,39,False,17,12
jiufu_0a14da4ad52431_first30,28,61,False,17,16
jiufu_abada3dda3e8b7_first30,28,46,False,16,14
jiufu_0ef3b83bc00130_first30,70,21,False,16,17
jiufu_6d14fba7168351_first30,104,60,False,14,12
jiufu_a6ed80c55f7be6_first30,7,49,False,6,6
jiufu_6fa0bbd661c8bb_first30,16,85,False,15,15
jiufu_9eb853207f9233_first30,2,21,False,14,11
jiufu_8c114c09325c47_first30,8,116,False,13,14
jiufu_494e84a71f0d53_first30,8,29,False,5,2
jiufu_ce59136a4ecc21_first30,71,90,False,15,10
jiufu_8953d49083882b_first30,3,36,False,25,24
jiufu_5eaab17afa3dcc_first30,19,14,False,5,6
jiufu_577eb87b4ec0fa_first30,30,90,False,16,7
jiufu_ac7d209f2a6aec_first30,7,19,False,7,6
jiufu_45e262858c1edf_first30,68,39,False,13,14
jiufu_59f7f9462f2c30_first30,32,22,False,17,18
jiufu_1f327de387886e_first30,31,102,False,18,17
jiufu_6454a9e613172b_first30,30,30,False,25,22
jiufu_80fa8dbe195b66_first30,7,13,False,18,17
jiufu_012d9efb7d8d4c_first30,83,6,False,10,9
jiufu_5623dc263f1364_first30,4,71,False,14,16
jiufu_8254fd394c755d_first30,55,81,False,12,9
jiufu_33ff2c90bde0a7_first30,6,73,False,11,7
jiufu_c37db5cf8c7d4e_first30,8,14,False,6,5
jiufu_8ac17622997976_first30,14,52,False,10,11
jiufu_ee2427b1f91c14_first30,3,31,False,14,13
jiufu_d40d50640e24a1_first30,9,80,False,29,29
jiufu_e20abde4e3a043_first30,26,13,False,18,17
jiufu_6c914b8beaa069_first30,99,135,False,13,12
jiufu_fffa829b4cfc5f_first30,25,41,False,11,11
jiufu_39742bec07007b_first30,44,51,False,10,10
jiufu_a7f96cc7661e4a_first30,35,74,False,14,12
jiufu_cae153a2ef6cb6_first30,17,36,False,13,12
jiufu_f5a7ada186a785_first30,10,212,False,18,16
jiufu_8f2aab0fc1ae4b_first30,4,0,False,30,29
jiufu_05aaedc28c6708_first30,14,94,False,11,7
jiufu_0d1522aef374ec_first30,28,3,False,14,15
jiufu_2cdb051142d5ab_first30,21,16,False,14,13
jiufu_d4707a9c23271d_first30,10,15,False,14,13
jiufu_2f0c90ece853b4_first30,12,29,False,17,17
jiufu_57c74728570ec9_first30,0,12,False,18,18
jiufu_2fc7ddf8f284e4_first30,10,40,False,18,22
jiufu_a04e9f770a2bb9_first30,11,27,False,20,20
jiufu_333df78fe49441_first30,1,5,False,15,14
jiufu_4263d1ee2b7d38_first30,0,19,False,20,22
jiufu_7cb985938d0a6a_first30,3,43,False,12,11
jiufu_7c448f9ef64639_first30,1,84,False,16,14
jiufu_bc495978774317_first30,74,49,False,13,11
jiufu_ce8fcc51bec8d3_first30,14,123,False,13,5
jiufu_e3cef2504bbb4a_first30,49,60,False,15,12
jiufu_5a173259b2d81c_first30,4,41,False,6,2
jiufu_d7a117e86dae24_first30,19,29,False,15,13
jiufu_f339ead1fdb0ac_first30,3,43,False,18,18
jiufu_6d3bdd73c6d58a_first30,35,142,False,20,7
jiufu_0095fbf4f8f613_first30,2,43,False,16,15
jiufu_6f2025aac495fd_first30,3,42,False,18,17
jiufu_92e9f652faa64a_first30,21,160,False,18,18
jiufu_fe09caa146ddbd_first30,60,135,False,13,11
jiufu_f6c192eaf6c290_first30,6,40,False,8,12
jiufu_42e874dae20aee_first30,13,33,False,7,10
jiufu_b45e99f5e3803e_first30,6,15,False,23,22
jiufu_250cea481e2ccd_first30,86,64,False,9,9
jiufu_fbbccb98b40ed8_first30,29,27,False,8,9
jiufu_b7367092cbf12f_first30,3,169,False,12,11
jiufu_b42fb594523377_first30,15,13,False,17,18
jiufu_bf9a8ef3c38b6b_first30,12,10,False,11,10
jiufu_fbaed9c05fdf1a_first30,8,124,False,19,20
jiufu_09732493a874e4_first30,19,165,False,21,20
jiufu_ce73dd701d1a38_first30,4,5,False,3,3
jiufu_c2f523dbca4113_first30,2,19,False,16,17
jiufu_19a4aa849045e9_first30,5,23,False,18,17
jiufu_bfba3aa9a87b7c_first30,17,48,False,20,17
jiufu_6a5717214c3e46_first30,52,11,False,9,4
jiufu_542013dcb78dc0_first30,16,15,False,16,14
jiufu_596ccaaf7a001c_first30,51,36,False,14,13
jiufu_9b4d8a24856a9f_first30,14,18,False,10,10
jiufu_58dfb2705d8668_first30,0,0,False,1,1
jiufu_a7efdc57a481f8_first30,7,3,False,10,13
jiufu_a1fad2b6534006_first30,6,6,False,12,13
jiufu_d16072cd12326f_first30,7,14,False,19,18
jiufu_4923eea2509695_first30,66,130,False,23,18
jiufu_ff4c4ac565e3b0_first30,37,16,False,10,8
jiufu_24afbde80aa2d4_first30,7,8,False,7,6
jiufu_3f4fbf87cbf023_first30,23,114,False,23,22
jiufu_135fcf30e11031_first30,21,9,False,19,18
jiufu_21792037472910_first30,27,35,False,7,6
jiufu_fdc3b301cd9ef1_first30,31,4,False,6,6
jiufu_86e7274f6556e4_first30,61,15,False,12,10
jiufu_b1efccc0572872_first30,19,42,False,11,12
jiufu_cbf053d260a726_first30,22,14,False,12,12
jiufu_b7a3631a4e36ce_first30,82,10,False,10,10
jiufu_4cadeee3a7496f_first30,63,13,False,15,12
jiufu_0bede2d3d6e2ef_first30,150,9,False,18,19
jiufu_771e73351d8f0d_first30,45,13,False,25,27
jiufu_ed4591eaed0b3f_first30,18,199,False,18,20
jiufu_39c814598b6c9a_first30,59,37,False,15,19
jiufu_72f9214b6e39c9_first30,28,15,False,9,6
jiufu_44a8b44ef7ff55_first30,26,49,False,15,16
jiufu_46aefc048b6969_first30,0,30,False,12,12
jiufu_f19803e664a7cb_first30,0,174,False,12,12
jiufu_ca838441c991bb_first30,0,16,False,21,22
jiufu_366cb8600d5450_first30,8,76,False,9,11
jiufu_a72be27aa4d574_first30,14,29,False,15,16
jiufu_3c840580af889d_first30,9,15,False,18,23
jiufu_cc8f24e9070eb6_first30,30,29,False,10,7
jiufu_658fffa214f378_first30,5,8,False,24,24
jiufu_080c7e20b51912_first30,58,7,False,12,12
jiufu_a005ae733f6503_first30,33,37,False,10,8
jiufu_8f5bef5fd5a268_first30,51,64,False,12,8
jiufu_1f9c8c3925bc30_first30,28,51,False,14,11
