review_id,window_id,side,segment,eligible_full_window,strict_visible_phase,kind,frame_index,event_time_seconds,normalized_value,prominence,observed_run_start,observed_run_end
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,maximum,21,2.413793103448276,0.8028416903631125,0.29732999001941585,0.574712643678161,3.6781609195402303
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,minimum,15,1.7241379310344829,0.5055117003436966,0.2638022455057618,0.574712643678161,3.6781609195402303
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,maximum,54,6.206896551724139,0.5436542145799088,0.03688225113751409,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,maximum,72,8.275862068965518,0.9183330428861524,0.29011400611808125,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,maximum,88,10.114942528735632,0.8672670656787609,0.20088864346127555,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,maximum,116,13.333333333333334,0.9695209026591138,0.4330845716406758,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,maximum,142,16.32183908045977,0.9148583622734336,0.17547490910914365,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,maximum,159,18.27586206896552,0.8996531555213101,0.20261951866195926,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,maximum,182,20.919540229885055,0.778790563221486,0.20434878394187628,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,maximum,204,23.448275862068968,0.919838189708508,0.11570754693694152,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,minimum,55,6.321839080459771,0.5067719634423947,0.03688225113751409,5.74712643678161,23.793103448275865
R3-02,jiufu_7cb985938d0a6a_first30,left,jiufu_7cb985938d0a6a_first30,True,True,minimum,81,9.310344827586208,0.6663784222174853,0.20088864346127555,5.74712643678161,23.793103448275865
