grid_index,time_seconds,is_human_reference
8,0.9195402298850576,False
16,1.8390804597701151,False
23,2.6436781609195403,False
38,4.367816091954023,False
53,6.0919540229885065,False
62,7.126436781609196,False
73,8.39080459770115,False
82,9.42528735632184,False
97,11.149425287356323,False
110,12.643678160919542,False
122,14.022988505747128,False
137,15.74712643678161,False
153,17.586206896551726,False
165,18.965517241379313,False
176,20.229885057471265,False
191,21.95402298850575,False
204,23.448275862068968,False
240,27.586206896551726,False
