method,frame_id,predicted_index,human_region,normalized_distance,inside
original_pose,R3-02_t00,0,1,0.9510759282910799,True
no_keypoint_fallback_oof,R3-02_t00,0,1,0.9510759282910799,True
original_pose,R3-02_t10,0,1,0.263030368697193,True
original_pose,R3-02_t10,1,0,0.13289302444509515,True
direct_nostril_oof,R3-02_t10,0,1,0.9173110566027611,True
no_keypoint_fallback_oof,R3-02_t10,0,1,0.263030368697193,True
no_keypoint_fallback_oof,R3-02_t10,1,0,0.13289302444509515,True
original_pose,R3-02_t20,0,1,0.5669333412591387,True
original_pose,R3-02_t20,1,0,0.2090861917784841,True
direct_nostril_oof,R3-02_t20,0,0,0.9834163435718706,True
no_keypoint_fallback_oof,R3-02_t20,0,1,0.5669333412591387,True
no_keypoint_fallback_oof,R3-02_t20,1,0,0.2090861917784841,True
original_pose,R3-03_t00,0,0,0.5849290745009026,True
direct_nostril_oof,R3-03_t00,0,0,0.27813483447683907,True
no_keypoint_fallback_oof,R3-03_t00,0,0,0.5849290745009026,True
original_pose,R3-05_t10,0,0,0.24070662671656223,True
direct_nostril_oof,R3-05_t10,0,0,0.7843025951103952,True
no_keypoint_fallback_oof,R3-05_t10,0,0,0.24070662671656223,True
original_pose,R3-06_t00,0,1,0.8059838702387981,True
original_pose,R3-06_t00,1,0,2.216767131239226,False
no_keypoint_fallback_oof,R3-06_t00,0,1,0.8059838702387981,True
no_keypoint_fallback_oof,R3-06_t00,1,0,2.216767131239226,False
original_pose,R3-09_t00,0,1,1.2407087923404092,False
direct_nostril_oof,R3-09_t00,0,1,0.40986461800400553,True
direct_nostril_oof,R3-09_t00,1,0,1.671620031400377,False
no_keypoint_fallback_oof,R3-09_t00,0,1,1.2407087923404092,False
direct_nostril_oof,R3-09_t10,0,1,0.5556608765721175,True
direct_nostril_oof,R3-09_t10,1,0,1.1963427720165711,False
no_keypoint_fallback_oof,R3-09_t10,0,1,0.5556608765721175,True
no_keypoint_fallback_oof,R3-09_t10,1,0,1.1963427720165711,False
original_pose,R3-09_t20,0,1,1.0759627315049543,False
original_pose,R3-09_t20,1,0,0.6738831366709891,True
direct_nostril_oof,R3-09_t20,0,1,0.4062499051320178,True
direct_nostril_oof,R3-09_t20,1,0,0.6803479392693546,True
no_keypoint_fallback_oof,R3-09_t20,0,1,1.0759627315049543,False
no_keypoint_fallback_oof,R3-09_t20,1,0,0.6738831366709891,True
original_pose,R3-10_t00,0,1,0.410338447950985,True
original_pose,R3-10_t00,1,0,0.26709607020494275,True
direct_nostril_oof,R3-10_t00,0,1,0.44696604972915266,True
direct_nostril_oof,R3-10_t00,1,0,0.2957462050674138,True
no_keypoint_fallback_oof,R3-10_t00,0,1,0.410338447950985,True
no_keypoint_fallback_oof,R3-10_t00,1,0,0.26709607020494275,True
original_pose,R3-10_t20,0,1,0.8140731410836085,True
original_pose,R3-10_t20,1,0,0.7707989662811501,True
direct_nostril_oof,R3-10_t20,0,1,1.0841917569677648,False
no_keypoint_fallback_oof,R3-10_t20,0,1,0.8140731410836085,True
no_keypoint_fallback_oof,R3-10_t20,1,0,0.7707989662811501,True
direct_nostril_oof,R3-14_t00,0,1,0.05725019972040508,True
no_keypoint_fallback_oof,R3-14_t00,0,1,0.05725019972040508,True
original_pose,R3-14_t10,0,1,1.5894028274466119,False
direct_nostril_oof,R3-14_t10,0,1,0.08970220514306003,True
direct_nostril_oof,R3-14_t10,1,0,69.33207561932711,False
no_keypoint_fallback_oof,R3-14_t10,0,1,1.5894028274466119,False
original_pose,R3-14_t20,0,1,1.631537945364017,False
original_pose,R3-14_t20,1,0,0.49143273980444824,True
direct_nostril_oof,R3-14_t20,0,1,0.04286654590940811,True
direct_nostril_oof,R3-14_t20,1,0,0.0653667382021456,True
no_keypoint_fallback_oof,R3-14_t20,0,1,1.631537945364017,False
no_keypoint_fallback_oof,R3-14_t20,1,0,0.49143273980444824,True
original_pose,R3-22_t20,0,0,1.1162606250401232,False
no_keypoint_fallback_oof,R3-22_t20,0,0,1.1162606250401232,False
original_pose,R3-23_t00,0,0,0.8160287065522905,True
direct_nostril_oof,R3-23_t00,0,0,0.23125582321794852,True
direct_nostril_oof,R3-23_t00,1,1,0.4857846694969603,True
no_keypoint_fallback_oof,R3-23_t00,0,0,0.8160287065522905,True
original_pose,R3-23_t20,0,0,0.7342609514583068,True
direct_nostril_oof,R3-23_t20,0,0,0.12433800107802093,True
no_keypoint_fallback_oof,R3-23_t20,0,0,0.7342609514583068,True
original_pose,R3-24_t00,0,0,1.1314867281981849,False
no_keypoint_fallback_oof,R3-24_t00,0,0,1.1314867281981849,False
original_pose,R3-24_t10,0,1,2.082364920948936,False
original_pose,R3-24_t10,1,0,0.30957539539485035,True
no_keypoint_fallback_oof,R3-24_t10,0,1,2.082364920948936,False
no_keypoint_fallback_oof,R3-24_t10,1,0,0.30957539539485035,True
original_pose,R3-24_t20,0,0,0.22586282397600868,True
direct_nostril_oof,R3-24_t20,0,0,0.5122301459902752,True
no_keypoint_fallback_oof,R3-24_t20,0,0,0.22586282397600868,True
