method,window_id,checkpoint_sha256,mapping_sha256,temperatures_sha256,detections_sha256
frozen_direct,jiufu_7cb985938d0a6a_first30,0a05b0d725c81e1d13f41f5138b3a531efbbb57f09df70494fc3ba08c09257c8,89beebf0621e88308aeed873a7e7b16a2b88b0236114966c1cef71d019279ab0,78f194a374941281a9ca377874b42c2cb2a05a2dfa7f60150305e664593576ca,37fc436ac933e55e620c597d139e01735dc99d5627d1387f6835fe5544ca27fa
frozen_direct,jiufu_cc60214ff2d564_first30,0a05b0d725c81e1d13f41f5138b3a531efbbb57f09df70494fc3ba08c09257c8,b97734725afd389ead761f5f66c7978a8851bb091dd81fbef5d7fe38e74228b8,0072b108c293caf11f06a353175703372dd1a2a84105a3309f0c5a86837e513d,d53770503eec5a0cb323abd67bb8fb41769a4e2f70faaab115dc84fc611e8195
frozen_direct,jiufu_55441b4c6fe974_first30,0a05b0d725c81e1d13f41f5138b3a531efbbb57f09df70494fc3ba08c09257c8,9aa8fbadf78b3e3226996a28fa2c987811f35aa23c53434a1f5ce016e3663690,b1d8b610ea23fefdd3f6ae610cd9b36cc36729c88858cbdf72657bcf5fd836e8,7d3f9a5c1ac033f263b924b75ab424bb3496812d4699e79e654e7f71480596e8
frozen_direct,jiufu_bb78a10aeab6d5_first30,2356ec8ff8d8ac54ec5a7159fa95a67dc98b0736fae92fe45fb035745097f955,ddb89b36e81228b8272775342c1d8dddad30e167e5fd6d6f60de3fc331c77e52,537d6d9a4e09c98eb403fc005c9cc297a28f37834eff725e00e5749fe50fe192,c99938cde6818dd24b9bf03281856004196ad750adabc6aabe2777f8482e2308
frozen_direct,jiufu_0d1522aef374ec_first30,2356ec8ff8d8ac54ec5a7159fa95a67dc98b0736fae92fe45fb035745097f955,1bb3589acb2fe2e49a5d96778518e870804accee224e11d6a3f8f819c0f1d6c6,ef9b114c67d65f2220f5ba308ecbbeec9a43cc932136e360f3137841b173fefd,09500ca085fbc54062efe38d2d54da169b0a84f09a5fc3fb71ecd9efe9e78773
frozen_direct,jiufu_13f838ff73e069_first30,2356ec8ff8d8ac54ec5a7159fa95a67dc98b0736fae92fe45fb035745097f955,5f669189b7b94905f9a3d53b40879fa67c48bc9dff0edbb385dfcd665d0fa5b3,cd5e486744cda85d53fe2c2223e15a0ab44ee5849e21d76f1c1b8df3921e0fbb,ec0640299b71d68b3d99b7daefa8155692745f00f30c1189763c85c63b07def1
frozen_direct,jiufu_440a29cebcae1c_first30,9d1c2c084412d6efa592ce571c3949ffdeb0b7c820660302d5fb5fd46f4538a2,a7ff46c81c597888863e85f22557a468d5bbede0fbb9f0874c78c3fb031da5c2,b91062de57d2416e12775f5de659ec5a702d30a2f1320e2c1f44c44dc0179d55,bddf3a938edb2bd41fe7ec4887c4097666f2a82efa9da9c02a9b9f3f2d7aa978
frozen_direct,jiufu_f920435ef76ec4_first30,9d1c2c084412d6efa592ce571c3949ffdeb0b7c820660302d5fb5fd46f4538a2,74d3a046ddfff73973c7f94a43e8b74cee982231519e4d5aa9acc54acfd9a75a,53ed6d842e86f55a3937a0d0c7a9b38225ef9bf2c883ae49da5784c8efededfd,86700a65908e18a0ec173c180eb32696b3742829ee955b1632034bb782d77533
frozen_direct,jiufu_bd77cfa7950eaa_first30,9d1c2c084412d6efa592ce571c3949ffdeb0b7c820660302d5fb5fd46f4538a2,cdfb5d9e35f7bf74ad5416c96f76275d1ab42429ad20dc45ceacb8104a4ff892,b4a33f785b3be2d77d7492f5b32bb7d4e478aa3e5f3ad43f2d76cdbe74bbd892,49e8bbadf35b45b23d9ae274f7a1f75da0d8b6685f3d7dd661caeee281ef76ac
unfrozen_direct,jiufu_7cb985938d0a6a_first30,772ca0a11efce463187cd3b1114bc619b60e50bcd8e66b6b959b01fb4c4d17a8,89beebf0621e88308aeed873a7e7b16a2b88b0236114966c1cef71d019279ab0,ac558a650cc30bc0c291dbe7e8203c4fc6814802f746ef66b4fa6418e49b105f,4c94fd54a3c0e31ca4035da688273f8e29b2e87416263b4319b74b5254319d07
