cohort,method,event_windows,output_windows,common_count_pairs,rr_mae_common,rr_r2_common,tp,fp,fn,precision,recall,f1
R3_full11,original_pipeline,11,7,7,2.5714285714285716,0.34615384615384615,41,42,102,0.4939759036144578,0.2867132867132867,0.36283185840707965
R3_full11,frozen_direct,11,8,7,4.0,-0.8461538461538463,45,44,98,0.5056179775280899,0.3146853146853147,0.3879310344827586
R3_full11,unfrozen_direct,11,8,7,4.571428571428571,-1.0,48,46,95,0.5106382978723404,0.3356643356643357,0.4050632911392405
R3_strict9,original_pipeline,9,6,6,2.6666666666666665,0.24999999999999978,33,35,84,0.4852941176470588,0.28205128205128205,0.3567567567567568
R3_strict9,frozen_direct,9,7,6,3.6666666666666665,-0.8281250000000004,38,34,79,0.5277777777777778,0.3247863247863248,0.4021164021164021
R3_strict9,unfrozen_direct,9,7,6,4.0,-0.6875000000000004,40,36,77,0.5263157894736842,0.3418803418803419,0.41450777202072536
