cohort,method,window_id,status,predicted_time,reference_time,absolute_error
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,1.057,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,2.392,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,3.762,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,7.058,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,11.075,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,13.298,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,15.493,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,17.202,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,18.933,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,20.982,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,22.983,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,24.847,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,26.357,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,28.063,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,29.412,
R3_full11,original_pipeline,jiufu_bb78a10aeab6d5_first30,FN,,29.972,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,TP,11.03448275862069,11.075,0.0405172413793089
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,1.057,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,2.392,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,3.762,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,7.058,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,13.298,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,15.493,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,17.202,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,18.933,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,20.982,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,22.983,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,24.847,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,26.357,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,28.063,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,29.412,
R3_full11,frozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,29.972,
R3_full11,unfrozen_direct,jiufu_bb78a10aeab6d5_first30,FP,9.310344827586208,,
R3_full11,unfrozen_direct,jiufu_bb78a10aeab6d5_first30,FP,10.114942528735632,,
R3_full11,unfrozen_direct,jiufu_bb78a10aeab6d5_first30,FN,,1.057,
