method,window_id,status,predicted_time,reference_time,detections_at_peak,near_detection_count_change,near_missing_temperature
frozen_direct,jiufu_55441b4c6fe974_first30,TP,12.643678160919542,12.707,2,True,False
frozen_direct,jiufu_55441b4c6fe974_first30,TP,18.96551724137932,19.045,2,True,False
frozen_direct,jiufu_55441b4c6fe974_first30,TP,22.52873563218391,22.667,1,True,True
frozen_direct,jiufu_55441b4c6fe974_first30,TP,27.70114942528736,27.703,2,True,True
frozen_direct,jiufu_55441b4c6fe974_first30,FP,4.367816091954023,,2,False,False
frozen_direct,jiufu_55441b4c6fe974_first30,FP,7.471264367816093,,1,True,True
frozen_direct,jiufu_55441b4c6fe974_first30,FP,17.586206896551726,,1,True,True
frozen_direct,jiufu_55441b4c6fe974_first30,FP,20.0,,1,True,False
frozen_direct,jiufu_55441b4c6fe974_first30,FP,21.03448275862069,,2,True,False
frozen_direct,jiufu_bb78a10aeab6d5_first30,TP,11.03448275862069,11.075,0,True,True
frozen_direct,jiufu_0d1522aef374ec_first30,TP,7.241379310344828,7.172,2,True,False
frozen_direct,jiufu_0d1522aef374ec_first30,TP,8.735632183908047,8.558,2,False,False
frozen_direct,jiufu_0d1522aef374ec_first30,TP,10.344827586206897,10.242,2,False,False
frozen_direct,jiufu_0d1522aef374ec_first30,TP,11.839080459770116,11.833,2,False,False
frozen_direct,jiufu_0d1522aef374ec_first30,TP,15.977011494252874,15.702,2,True,False
frozen_direct,jiufu_0d1522aef374ec_first30,TP,17.126436781609197,17.418,2,True,False
frozen_direct,jiufu_0d1522aef374ec_first30,TP,20.91954022988505,20.62,1,True,True
frozen_direct,jiufu_0d1522aef374ec_first30,FP,22.75862068965517,,2,True,True
frozen_direct,jiufu_0d1522aef374ec_first30,FP,24.367816091954023,,2,True,False
frozen_direct,jiufu_0d1522aef374ec_first30,FP,26.7816091954023,,1,True,True
frozen_direct,jiufu_440a29cebcae1c_first30,TP,1.9540229885057472,1.845,2,False,False
frozen_direct,jiufu_440a29cebcae1c_first30,TP,4.137931034482759,4.073,1,True,False
frozen_direct,jiufu_440a29cebcae1c_first30,TP,5.6321839080459775,5.607,0,True,True
frozen_direct,jiufu_440a29cebcae1c_first30,TP,14.597701149425289,14.332,2,False,False
frozen_direct,jiufu_440a29cebcae1c_first30,TP,18.620689655172416,18.83,2,True,True
frozen_direct,jiufu_440a29cebcae1c_first30,FP,7.931034482758621,,2,False,False
frozen_direct,jiufu_440a29cebcae1c_first30,FP,10.0,,2,True,False
frozen_direct,jiufu_440a29cebcae1c_first30,FP,11.264367816091957,,1,True,True
frozen_direct,jiufu_440a29cebcae1c_first30,FP,15.977011494252874,,2,True,True
frozen_direct,jiufu_440a29cebcae1c_first30,FP,20.229885057471265,,2,True,False
frozen_direct,jiufu_440a29cebcae1c_first30,FP,22.298850574712645,,1,False,False
frozen_direct,jiufu_440a29cebcae1c_first30,FP,23.10344827586207,,0,True,True
frozen_direct,jiufu_f920435ef76ec4_first30,TP,8.160919540229886,7.978,1,True,True
frozen_direct,jiufu_f920435ef76ec4_first30,TP,20.229885057471265,20.523,1,True,True
frozen_direct,jiufu_f920435ef76ec4_first30,TP,27.70114942528736,27.722,1,True,True
frozen_direct,jiufu_f920435ef76ec4_first30,FP,0.574712643678161,,2,False,False
frozen_direct,jiufu_f920435ef76ec4_first30,FP,7.011494252873564,,1,True,True
frozen_direct,jiufu_f920435ef76ec4_first30,FP,9.88505747126437,,0,True,True
frozen_direct,jiufu_f920435ef76ec4_first30,FP,14.482758620689657,,1,True,True
frozen_direct,jiufu_f920435ef76ec4_first30,FP,17.931034482758623,,0,True,True
frozen_direct,jiufu_f920435ef76ec4_first30,FP,23.448275862068968,,2,False,False
frozen_direct,jiufu_f920435ef76ec4_first30,FP,24.59770114942529,,2,True,True
frozen_direct,jiufu_bd77cfa7950eaa_first30,TP,4.022988505747127,3.877,2,True,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,TP,10.229885057471265,10.333,1,True,True
frozen_direct,jiufu_bd77cfa7950eaa_first30,TP,11.609195402298852,11.733,1,False,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,TP,12.988505747126435,13.053,1,True,True
frozen_direct,jiufu_bd77cfa7950eaa_first30,TP,15.977011494252874,16.022,1,False,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,TP,22.75862068965517,22.737,0,True,True
frozen_direct,jiufu_bd77cfa7950eaa_first30,TP,29.195402298850578,29.33,1,False,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,2.183908045977012,,1,True,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,5.977011494252874,,1,True,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,17.471264367816094,,1,True,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,18.390804597701152,,2,True,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,19.42528735632184,,2,True,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,20.344827586206897,,2,True,True
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,21.60919540229885,,2,True,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,25.17241379310345,,0,True,True
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,26.436781609195403,,2,True,False
frozen_direct,jiufu_bd77cfa7950eaa_first30,FP,27.471264367816094,,2,True,True
unfrozen_direct,jiufu_7cb985938d0a6a_first30,TP,2.413793103448276,2.393,1,True,True
unfrozen_direct,jiufu_7cb985938d0a6a_first30,TP,6.206896551724139,6.042,1,True,True
unfrozen_direct,jiufu_7cb985938d0a6a_first30,TP,8.275862068965518,7.982,1,True,False
unfrozen_direct,jiufu_7cb985938d0a6a_first30,TP,10.114942528735632,9.915,2,True,False
unfrozen_direct,jiufu_7cb985938d0a6a_first30,TP,25.517241379310345,25.523,1,True,False
unfrozen_direct,jiufu_7cb985938d0a6a_first30,TP,27.35632183908046,27.315,0,True,True
unfrozen_direct,jiufu_7cb985938d0a6a_first30,FP,4.137931034482759,,1,True,True
unfrozen_direct,jiufu_7cb985938d0a6a_first30,FP,13.333333333333334,,2,False,False
unfrozen_direct,jiufu_7cb985938d0a6a_first30,FP,16.32183908045977,,2,False,False
unfrozen_direct,jiufu_7cb985938d0a6a_first30,FP,18.27586206896552,,2,False,False
unfrozen_direct,jiufu_7cb985938d0a6a_first30,FP,20.91954022988505,,1,False,False
unfrozen_direct,jiufu_7cb985938d0a6a_first30,FP,22.52873563218391,,1,True,False
unfrozen_direct,jiufu_7cb985938d0a6a_first30,FP,23.448275862068968,,1,True,True
unfrozen_direct,jiufu_7cb985938d0a6a_first30,FP,29.42528735632184,,1,True,True
unfrozen_direct,jiufu_cc60214ff2d564_first30,TP,1.6091954022988506,1.668,0,True,True
unfrozen_direct,jiufu_cc60214ff2d564_first30,TP,3.563218390804598,3.567,2,True,False
unfrozen_direct,jiufu_cc60214ff2d564_first30,TP,4.597701149425288,4.708,2,False,False
unfrozen_direct,jiufu_cc60214ff2d564_first30,TP,12.758620689655173,13.043,0,True,True
unfrozen_direct,jiufu_cc60214ff2d564_first30,TP,14.022988505747128,14.163,0,True,True
unfrozen_direct,jiufu_cc60214ff2d564_first30,TP,25.977011494252874,25.793,2,False,False
