metric,estimate,ci_low,ci_high,verdict
delta_rr_r2,0.03774993181897116,-0.04700223872455411,0.13782749880128375,跨0 -> 无显著差异
delta_rr_mae,0.47121984752846,-0.06065277062456431,0.9996760957451558,跨0 -> 无显著差异
delta_rr_rmse,-0.23437198755956692,-0.8064101480400145,0.3779406272528094,跨0 -> 无显著差异
