epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90997,4.72832,9.70011,3.28312,0,0,0,0,0,0,0,5e-05,5e-05,0.09505
2,3.29889,3.46021,5.46982,1.65305,0,0,0,0,0,0,0,0.000109505,0.000109505,0.0891095
3,4.18192,3.5374,5.12004,1.55871,0,0,0,0,0,0,0,0.00016847,0.00016847,0.0831685
4,5.03023,3.05241,4.69004,1.3687,0,0,0,0,0,0,0,0.000226895,0.000226895,0.0772269
5,5.84936,3.03697,4.32396,1.39376,0,0,0,0,0,0,0,0.00028478,0.00028478,0.0712848
6,6.65645,2.83869,4.17773,1.36672,0,0,0,0,0,0,0,0.000342125,0.000342125,0.0653421
7,7.46986,3.10927,4.10276,1.41042,0,0,0,0,0,0,0,0.00039893,0.00039893,0.0593989
8,8.26523,2.81968,3.97512,1.34039,0,0,0,0,0,0,0,0.000455195,0.000455195,0.0534552
9,9.2209,2.96366,3.64196,1.40836,0,0,0,0,0,0,0,0.00051092,0.00051092,0.0475109
10,10.0327,2.74429,3.63914,1.34005,0,0,0,0,0,0,0,0.000566105,0.000566105,0.0415661
11,10.8143,2.75165,3.35792,1.33464,0,0,0,0,0,0,0,0.00062075,0.00062075,0.0356207
12,11.6083,2.70726,3.59354,1.37501,0,0,0,0,0,0,0,0.000674855,0.000674855,0.0296749
13,12.4647,3.05079,3.07645,1.39924,0,0,0,0,0,0,0,0.00072842,0.00072842,0.0237284
14,13.3261,2.68903,3.19925,1.31225,0,0,0,0,0,0,0,0.000781445,0.000781445,0.0177814
15,14.1643,2.52001,3.09901,1.28867,0,0,0,0,0,0,0,0.00083393,0.00083393,0.0118339
16,14.9917,2.66692,3.00736,1.33578,0,0,0,0,0,0,0,0.000885875,0.000885875,0.00588587
17,15.9114,2.60638,2.60652,1.26889,0,0,0,0,0,0,0,0.000928,0.000928,0.000928
18,16.7198,2.77282,2.49064,1.32455,0,0,0,0,0,0,0,0.0009235,0.0009235,0.0009235
19,17.5403,2.59175,2.46303,1.27588,0,0,0,0,0,0,0,0.000919,0.000919,0.000919
20,18.3718,2.60763,2.63648,1.28053,0,0,0,0,0,0,0,0.0009145,0.0009145,0.0009145
21,19.1521,2.69976,2.35466,1.31219,0,0,0,0,0,0,0,0.00091,0.00091,0.00091
22,19.968,2.47828,2.35239,1.27757,0,0,0,0,0,0,0,0.0009055,0.0009055,0.0009055
23,20.8147,2.48135,2.43987,1.29816,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
24,21.5945,2.63493,2.27028,1.38444,0,0,0,0,0,0,0,0.0008965,0.0008965,0.0008965
25,22.4383,2.51052,2.30611,1.34061,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
26,23.3384,2.48058,2.26923,1.21836,0,0,0,0,0,0,0,0.0008875,0.0008875,0.0008875
27,24.1881,2.43032,2.20364,1.24163,0,0,0,0,0,0,0,0.000883,0.000883,0.000883
28,25.0987,2.41354,2.14598,1.2207,0,0,0,0,0,0,0,0.0008785,0.0008785,0.0008785
29,25.9111,2.43009,1.95122,1.25872,0,0,0,0,0,0,0,0.000874,0.000874,0.000874
30,26.7072,2.38545,1.92658,1.25998,0,0,0,0,0,0,0,0.0008695,0.0008695,0.0008695
31,27.5352,2.36031,1.84876,1.21279,0,0,0,0,0,0,0,0.000865,0.000865,0.000865
32,28.4046,2.49717,1.99667,1.22947,0,0,0,0,0,0,0,0.0008605,0.0008605,0.0008605
33,29.275,2.2128,1.88882,1.17376,0,0,0,0,0,0,0,0.000856,0.000856,0.000856
34,30.1706,2.26666,1.79884,1.1735,0,0,0,0,0,0,0,0.0008515,0.0008515,0.0008515
35,30.9792,2.13915,1.91217,1.18133,0,0,0,0,0,0,0,0.000847,0.000847,0.000847
36,31.8158,2.07712,1.82805,1.14341,0,0,0,0,0,0,0,0.0008425,0.0008425,0.0008425
37,32.6848,2.31075,1.81986,1.24187,0,0,0,0,0,0,0,0.000838,0.000838,0.000838
38,33.5782,2.11174,1.78173,1.20427,0,0,0,0,0,0,0,0.0008335,0.0008335,0.0008335
39,34.4045,2.15547,1.65691,1.13789,0,0,0,0,0,0,0,0.000829,0.000829,0.000829
