epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.906067,5.57887,11.1875,3.75256,0,0,0,0,0,0,0,5e-05,5e-05,0.09505
2,1.66962,3.5684,5.4191,1.60806,0,0,0,0,0,0,0,0.0001067,0.0001067,0.0891067
3,2.38556,3.24377,5.00648,1.39415,0,0,0,0,0,0,0,0.0001598,0.0001598,0.0831598
4,3.12119,3.01576,4.61071,1.28298,0,0,0,0,0,0,0,0.0002093,0.0002093,0.0772093
5,3.79755,3.35169,4.30633,1.43931,0,0,0,0,0,0,0,0.0002552,0.0002552,0.0712552
6,4.50574,3.16344,4.0523,1.37119,0,0,0,0,0,0,0,0.0002975,0.0002975,0.0652975
7,5.27332,3.01428,3.99654,1.30576,0,0,0,0,0,0,0,0.0003362,0.0003362,0.0593362
8,6.08398,3.1019,3.65246,1.33015,0,0,0,0,0,0,0,0.0003713,0.0003713,0.0533713
9,6.79565,3.23894,3.57879,1.37238,0,0,0,0,0,0,0,0.0004028,0.0004028,0.0474028
10,7.51147,3.18044,3.38214,1.39152,0,0,0,0,0,0,0,0.0004307,0.0004307,0.0414307
11,8.26139,3.12728,2.98557,1.33654,0,0,0,0,0,0,0,0.000455,0.000455,0.035455
12,8.98704,3.22777,3.08913,1.39005,0,0,0,0,0,0,0,0.0004757,0.0004757,0.0294757
13,9.72305,3.13888,2.98236,1.34586,0,0,0,0,0,0,0,0.0004928,0.0004928,0.0234928
14,10.4128,3.25769,2.81532,1.40718,0,0,0,0,0,0,0,0.0005063,0.0005063,0.0175063
15,11.1378,3.18558,2.71832,1.37486,0,0,0,0,0,0,0,0.0005162,0.0005162,0.0115162
16,11.8927,3.11577,2.58695,1.35999,0,0,0,0,0,0,0,0.0005225,0.0005225,0.0055225
17,12.6108,2.97722,2.53101,1.28695,0,0,0,0,0,0,0,0.00052,0.00052,0.00052
18,13.2621,3.25835,2.59197,1.41645,0,0,0,0,0,0,0,0.00049,0.00049,0.00049
19,13.9574,3.13023,2.5789,1.32617,0,0,0,0,0,0,0,0.00046,0.00046,0.00046
20,14.6936,3.04721,2.48488,1.3329,0,0,0,0,0,0,0,0.00043,0.00043,0.00043
21,15.3487,3.25255,2.52422,1.3888,0,0,0,0,0,0,0,0.0004,0.0004,0.0004
22,16.0731,2.90872,2.34108,1.27809,0,0,0,0,0,0,0,0.00037,0.00037,0.00037
23,16.7827,3.14811,2.36627,1.37014,0,0,0,0,0,0,0,0.00034,0.00034,0.00034
24,17.4436,3.09227,2.39898,1.32725,0,0,0,0,0,0,0,0.00031,0.00031,0.00031
25,18.1502,2.9342,2.4114,1.32056,0,0,0,0,0,0,0,0.00028,0.00028,0.00028
26,18.8258,3.06998,2.4377,1.31852,0,0,0,0,0,0,0,0.00025,0.00025,0.00025
27,19.4956,3.11375,2.466,1.35624,0,0,0,0,0,0,0,0.00022,0.00022,0.00022
28,20.1861,3.06685,2.4196,1.31908,0,0,0,0,0,0,0,0.00019,0.00019,0.00019
29,20.8517,2.88059,2.50753,1.29967,0,0,0,0,0,0,0,0.00016,0.00016,0.00016
30,21.8044,3.02141,2.34871,1.34278,0.079,0.125,0.02625,0.0059,3.69478,3.42826,1.59371,0.00013,0.00013,0.00013
